,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark
Lat,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926,61.8926
Long,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118,-6.9118
Province/State,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands
apparentTemperatureHigh,37.95,26.7,29.59,33.13,31.1,29.35,31.01,33.07,28.97,32.02,25.21,32.43,25.94,31.08,34.16,37.58,33.34,28.31,31.93,27.92,27.62,28.49,20.1,29.5,29.26,31.02,32.83,34.17,31.52,24.58,27.52,27.71,26.35,30.09,29.26,27.66,26.74,21.17,23.41,24.29,23.78,28.67,28.12,30.12,28.73,32.08,31.83,27.32,35.97,33.02,24.89,25.34,34.72,22.41,28.74
apparentTemperatureHighTime,1579684200,1579762800,1579888680,1579943580,1580022000,1580140860,1580212800,1580306460,1580410800,1580476680,1580563920,1580628360,1580756400,1580815020,1580929200,1580972400,1581077400,1581145200,1581249240,1581361200,1581404400,1581513720,1581620400,1581696540,1581789600,1581879600,1581948600,1582040220,1582101000,1582222680,1582268400,1582398000,1582459620,1582549380,1582654680,1582721460,1582800600,1582906980,1582959600,1583046000,1583175600,1583258640,1583322960,1583409120,1583488380,1583596260,1583672760,1583755080,1583851980,1583927340,1583996400,1584126000,1584197340,1584298800,1584385200
apparentTemperatureLow,26.22,24,28.24,29.77,23.66,28.52,29.3,25.73,27.53,22.2,24.59,23.8,25.94,29.63,34.16,32.34,27.94,23.1,23.66,26.38,22.9,18.7,20.1,26.65,24.09,27.72,25.95,30.38,21.51,24.55,22.08,21.2,23.63,26.3,25.74,23.87,19.16,19.19,18.8,17.63,23.78,26.56,27.26,28.52,25.6,30.62,25.21,24.83,24.92,24.45,21.36,23.95,16.35,21.42,22.46
apparentTemperatureLowTime,1579766400,1579815840,1579898100,1580025600,1580112000,1580173860,1580284800,1580371200,1580457600,1580531280,1580583600,1580716800,1580756400,1580849880,1580929200,1581058860,1581137520,1581188400,1581321600,1581408000,1581493740,1581577200,1581620400,1581732360,1581834660,1581925560,1582004820,1582089240,1582170540,1582225200,1582350360,1582444320,1582488840,1582600020,1582699440,1582774920,1582876800,1582922580,1583002800,1583135460,1583175600,1583294100,1583348400,1583453520,1583568000,1583654400,1583723580,1583780400,1583877900,1584000000,1584039600,1584153900,1584252420,1584345600,1584432000
apparentTemperatureMax,37.95,32.99,30.78,33.29,33.47,29.89,31.01,33.07,30.36,32.02,26.26,32.43,27.37,31.08,34.54,37.59,35.02,29.16,31.93,27.93,28.21,28.49,21.52,29.5,29.48,32.99,33.49,34.17,32.51,24.98,28.93,29.54,29.21,30.09,29.26,28.06,26.74,23.76,25.54,24.41,29.17,29.49,28.22,30.58,29.46,32.96,32.12,27.98,35.97,33.02,27.57,27.88,34.72,25.19,29.22
apparentTemperatureMaxTime,1579684200,1579737600,1579906800,1579993200,1579999140,1580166000,1580212800,1580306460,1580342400,1580476680,1580598000,1580628360,1580770800,1580815020,1580936280,1580970600,1581033600,1581120000,1581249240,1581362040,1581401040,1581513720,1581556800,1581696540,1581746700,1581894000,1581897600,1582040220,1582070400,1582233720,1582264680,1582412160,1582416000,1582549380,1582654680,1582750380,1582800600,1582851780,1582943880,1583043960,1583190000,1583193600,1583280000,1583448480,1583463780,1583617860,1583625600,1583791140,1583851980,1583927340,1583975460,1584139500,1584197340,1584310080,1584392100
