,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic
Lat,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357,18.7357
Long,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627,-70.1627
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Clear throughout the day.,Possible light rain and humid throughout the day.,"Possible light rain until afternoon, starting again overnight.",Light rain in the evening and overnight.,Light rain and humid throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain starting in the afternoon.,Possible light rain in the morning.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the evening and overnight.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the evening.,Possible light rain in the evening.,Possible light rain in the morning and afternoon.,Possible light rain in the afternoon.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Possible light rain in the evening and overnight.,Rain and humid throughout the day.,Light rain in the morning.,Humid and partly cloudy throughout the day.,Possible light rain in the evening.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Light rain starting in the afternoon.,Light rain throughout the day.,Light rain until evening.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Rain in the evening and overnight.,Rain throughout the day.,Light rain throughout the day.,Light rain until evening.,Rain starting in the afternoon.,Possible light rain until evening.,Possible light rain in the afternoon and evening.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.
icon,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day
sunriseTime,1579691820,1579778220,1579864620,1579951020,1580037420,1580123820,1580210220,1580296560,1580382960,1580469360,1580555760,1580642100,1580728500,1580814900,1580901240,1580987640,1581074040,1581160380,1581246780,1581333180,1581419520,1581505920,1581592260,1581678660,1581765000,1581851400,1581937740,1582024080,1582110480,1582196820,1582283220,1582369560,1582455900,1582542300,1582628640,1582714980,1582801380,1582887720,1582974060,1583060460,1583146800,1583233140,1583319480,1583405880,1583492220,1583578560,1583664900,1583751240,1583837640,1583923980,1584010320,1584096660,1584183000,1584269400,1584355740
sunsetTime,1579732140,1579818600,1579905000,1579991460,1580077920,1580164320,1580250780,1580337180,1580423640,1580510100,1580596500,1580682960,1580769360,1580855820,1580942220,1581028680,1581115080,1581201540,1581287940,1581374400,1581460800,1581547260,1581633660,1581720120,1581806520,1581892980,1581979380,1582065840,1582152240,1582238640,1582325100,1582411500,1582497960,1582584360,1582670760,1582757220,1582843620,1582930020,1583016480,1583102880,1583189280,1583275740,1583362140,1583448540,1583534940,1583621400,1583707800,1583794200,1583880660,1583967060,1584053460,1584139860,1584226320,1584312720,1584399120
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
precipIntensity,0.0003,0.0271,0.0163,0.0135,0.0333,0.0035,0.0077,0.0022,0.0006,0.0058,0.0008,0.0089,0.0257,0.009,0.0035,0.002,0.002,0.0027,0.0031,0.014,0.0157,0.0123,0.0079,0.0038,0.0192,0.0166,0.0148,0.0166,0.0098,0.014,0.0008,0.0125,0.0408,0.0156,0.0046,0.0134,0.0036,0.003,0.0039,0.0214,0.0408,0.0234,0.0072,0.0009,0.0011,0.0062,0.0695,0.0271,0.0332,0.0433,0.021,0.0184,0.0073,0.0023,0.0004
precipIntensityMax,0.0011,0.0706,0.058,0.0918,0.0929,0.0461,0.0399,0.0134,0.0028,0.043,0.0031,0.0682,0.0808,0.0168,0.0141,0.0071,0.0061,0.0124,0.0078,0.049,0.0447,0.0411,0.0232,0.0172,0.0743,0.0613,0.0437,0.0534,0.0393,0.0741,0.002,0.0417,0.1574,0.0546,0.0324,0.0576,0.0121,0.0096,0.0148,0.0808,0.0592,0.0364,0.0378,0.0032,0.0022,0.1054,0.1186,0.0427,0.0663,0.3131,0.047,0.0839,0.0163,0.0086,0.0024
precipIntensityMaxTime,1579723260,1579821480,1579906620,1580007420,1580080080,1580097600,1580250540,1580331780,1580374620,1580514720,1580529600,1580684400,1580763600,1580850300,1580878200,1581022380,1581087540,1581195960,1581303600,1581375960,1581461640,1581535380,1581612960,1581720840,1581800700,1581893520,1581962700,1582058880,1582145580,1582238640,1582292880,1582404720,1582492140,1582534500,1582671000,1582752840,1582844940,1582934520,1583031180,1583096760,1583189820,1583247000,1583362500,1583409180,1583495220,1583636400,1583641620,1583726400,1583815920,1583967480,1584052860,1584133320,1584225720,1584244800,1584334260
precipProbability,0.16,0.81,0.74,0.68,0.88,0.56,0.49,0.35,0.22,0.3,0.33,0.41,0.78,0.78,0.52,0.33,0.29,0.31,0.37,0.68,0.73,0.59,0.49,0.33,0.67,0.64,0.66,0.58,0.51,0.52,0.22,0.63,0.89,0.81,0.31,0.46,0.33,0.33,0.34,0.8,0.94,0.9,0.43,0.23,0.22,0.5,0.99,0.98,0.99,0.85,0.9,0.7,0.51,0.31,0.16
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,78.45,73.71,72.91,75.19,73.49,76.73,77.61,77.25,77.75,79.1,78.47,80.17,73.7,75.19,78.08,76.98,78.14,80.37,78.72,77.95,72.76,72.7,75.19,78.52,76.16,75.73,73.51,72.23,72.15,76.36,77.73,76.71,74.11,73.19,76.32,76.82,79.47,78.25,79.99,77.29,71.67,73,77.16,79.25,78.71,79.48,69.83,67.57,69.8,76.36,75.34,78.65,75.09,74.69,74.84
temperatureHighTime,1579711500,1579798800,1579885800,1579971660,1580055180,1580144580,1580230440,1580317200,1580403720,1580490300,1580576640,1580662380,1580745060,1580836140,1580928420,1581007860,1581094980,1581181140,1581267780,1581353040,1581437400,1581528360,1581617700,1581699960,1581786060,1581871920,1581956220,1582045260,1582127340,1582218360,1582304460,1582389060,1582473960,1582570680,1582651260,1582735980,1582822980,1582910520,1582995780,1583082120,1583168340,1583260020,1583341620,1583428020,1583514000,1583600280,1583682360,1583772420,1583863380,1583945760,1584028920,1584118560,1584205680,1584292620,1584378180
temperatureLow,61.98,60.3,59.88,60.45,60.49,60.5,60.83,60.61,60.84,61.22,61.9,61.82,62.56,61.8,61.11,61.97,61.65,61.38,62.17,62.3,61.24,62.05,60.2,62.4,61.11,62.76,62.06,61.43,61.22,59.57,62.49,62.27,60.96,59.99,62.49,62.71,63.29,62.16,61.52,62.45,62.74,62.85,61.57,61.54,61.01,62.14,60.67,60.64,59.47,60.45,59.81,62.15,60.32,59.53,58.85
temperatureLowTime,1579773660,1579863300,1579948500,1580036160,1580122320,1580208420,1580295120,1580380260,1580466000,1580552880,1580637420,1580726820,1580813580,1580896560,1580982840,1581068820,1581155640,1581245460,1581329460,1581417480,1581501900,1581588960,1581674520,1581764040,1581847200,1581932760,1582018920,1582106760,1582192440,1582278840,1582365780,1582452600,1582541100,1582624380,1582692900,1582797120,1582885920,1582970400,1583056560,1583143320,1583222700,1583315040,1583402280,1583485080,1583572680,1583661960,1583754840,1583803320,1583920080,1584004620,1584091440,1584180240,1584266820,1584351600,1584436200
apparentTemperatureHigh,79.06,74.77,73.68,75.92,74.63,77.44,78.11,77.86,78.51,79.57,79.45,83,75.09,76.28,78.89,77.85,78.9,82.71,79.13,78.75,74.08,74.28,75.95,78.95,77.18,76.94,75.12,74.1,73.53,77.25,78.34,77.74,75.23,74.16,77.17,78.09,82.74,79.03,82.07,78.14,73.27,75.01,78.34,80.01,79.48,81.84,71.63,69.16,71.17,77.29,76.48,79.63,76.37,75.34,75.38
apparentTemperatureHighTime,1579711560,1579798800,1579885980,1579971660,1580055180,1580144640,1580230500,1580317260,1580403780,1580490300,1580576580,1580662680,1580745240,1580836200,1580928420,1581007920,1581094920,1581181140,1581267900,1581353160,1581443760,1581530160,1581617640,1581700020,1581786060,1581871980,1581956280,1582045320,1582128060,1582218480,1582304460,1582389060,1582473900,1582570320,1582651860,1582736040,1582822860,1582910700,1582995660,1583082240,1583168400,1583259300,1583341620,1583427960,1583514000,1583600400,1583682480,1583772480,1583863380,1583945940,1584029040,1584118620,1584205980,1584293460,1584378600
apparentTemperatureLow,64.24,62.36,62.01,62.69,62.81,62.45,63.03,62.63,62.17,63.41,63.97,64.02,65.26,64.26,63.39,64.3,64.07,63.98,64.48,64.97,63.6,64.41,62.42,64.89,63.41,65.34,64.44,63.8,63.6,61.57,64.74,64.65,63.36,61.95,64.55,65.15,66.03,64.54,63.52,64.92,65.29,65.31,63.97,63.58,62.64,64.75,63.05,62.61,61.46,62.47,61.52,64.74,62.54,61.08,60.08
apparentTemperatureLowTime,1579773300,1579863240,1579948440,1580035920,1580122020,1580208120,1580294940,1580378040,1580466420,1580552220,1580637420,1580726460,1580813340,1580896320,1580982540,1581068400,1581155520,1581245100,1581328560,1581417240,1581501480,1581563220,1581673680,1581763620,1581847020,1581932280,1582018380,1582106340,1582192080,1582278720,1582365660,1582452540,1582540440,1582624020,1582692780,1582796640,1582884780,1582970220,1583056440,1583150040,1583222700,1583314680,1583401800,1583485140,1583572860,1583661540,1583747640,1583803140,1583919480,1584004200,1584091200,1584179820,1584266460,1584351660,1584435960
dewPoint,65.94,65.84,65.25,65.53,65.69,65.8,65.83,66.32,65.92,66.17,67.45,67.77,66.46,67.18,66.98,66.83,66.46,66.9,66.07,67,66.43,66.23,66.47,65.87,66.9,66.68,66.9,66.17,66.25,66.73,65.74,67.57,66.29,64.82,65.86,67.18,68.85,68.13,66.69,66.37,65.45,66.58,67.89,67.05,66.68,66.82,64.53,62.8,63.61,65.25,66.08,66.39,66.86,65.21,64.26
humidity,0.94,1,0.99,0.98,1,0.97,0.96,0.97,0.95,0.93,0.97,0.95,1,1,0.97,0.98,0.95,0.95,0.94,0.98,1,1,0.98,0.94,0.99,1,1,1,1,0.99,0.95,0.99,1,1,0.98,1,0.99,0.96,0.92,0.98,1,1,0.99,0.96,0.95,0.95,1,1,1,0.99,1,0.98,1,0.97,0.97
pressure,1012,1012.2,1014.2,1015.2,1015.6,1015.2,1014.3,1015,1015.5,1017.2,1017.5,1016.6,1018.5,1019.3,1018.5,1017.1,1018.2,1019.4,1020.3,1019.9,1019.7,1019.1,1018.6,1018.8,1017.9,1016.6,1016.8,1018.3,1018.5,1016.9,1015.8,1014.8,1015,1016.8,1017,1016.8,1016.9,1017.6,1018,1018.1,1018,1017.5,1018.4,1018.7,1017.6,1015.4,1018,1021,1019.1,1015.4,1013.5,1015.9,1018,1018.1,1017.6
windSpeed,5.51,3.43,3.11,3.34,3.15,4.32,2.93,3.2,4.17,3.2,4.53,3.14,4.7,5.06,3.86,5.62,5.5,4.19,5.43,4.76,4.31,5.22,5.25,4.71,4.35,4.69,4.49,5.16,5.03,4.52,4.39,3.98,3.45,6.27,4.76,3.85,3.48,3.53,4.21,5.17,5.48,3.89,3.54,4,4.53,3.64,7.04,8.14,6.41,3.89,3.41,3.99,7.55,7.93,8.65
windGust,12.67,8.34,7.6,7.17,7.47,12.09,6.29,6.56,11.02,6.26,12.03,6.41,12.53,11.93,8.61,17.89,14.1,9.22,11.7,11.92,11.78,11.92,13.47,10.04,12.48,8.82,10.14,13.02,12.51,11.63,10.23,9.79,11.64,18.46,10.96,11.33,8.28,7.31,8.88,19.61,16.77,10.05,10,9.87,10.66,10.39,26.75,25.87,21.23,7.71,8.49,11.51,19.68,19.05,21.02
windGustTime,1579719360,1579790880,1579857180,1580007600,1580072100,1580155980,1580244300,1580331180,1580415240,1580502540,1580591880,1580688600,1580770800,1580850900,1580921880,1581018900,1581092100,1581176460,1581292740,1581353520,1581434340,1581520200,1581607980,1581699120,1581807240,1581855360,1581982260,1582060980,1582156980,1582210740,1582319400,1582403520,1582501260,1582540380,1582671060,1582752060,1582776000,1582945200,1582967580,1583107560,1583124300,1583249340,1583338080,1583432460,1583527560,1583636400,1583721900,1583726400,1583814840,1583901960,1584042000,1584133800,1584234600,1584244800,1584346740
