,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador
Lat,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312,-1.8312
Long,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834,-78.1834
apparentTemperatureLow,59.34,62.13,62.26,61.36,59.12,59.1,60.54,59.42,60.43,60.56,61.78,60.34,58.43,56.29,56.11,58.2,58.21,61.4,60.65,57.74,60.01,58.91,61.13,61.13,60.41,61.76,61.37,60.17,57.22,60.22,62.38,61.4,61.47,62.62,60.5,60.62,62.84,61.45,60.36,62.39,61.45,60.45,61.58,61.73,59.37,59.19,60.87,60.38,61.11,59.1,58.9,60.51,60.54,62.07,61.65
precipIntensity,0.0215,0.0131,0.0196,0.0195,0.0191,0.0019,0.0057,0.0102,0.0078,0.0099,0.0266,0.0249,0.0498,0.0135,0.0013,0.0037,0.0073,0.0091,0.0248,0.0049,0.0013,0.004,0.0119,0.0168,0.0169,0.01,0.0135,0.0087,0.0073,0.0107,0.0125,0.0521,0.0197,0.0145,0.014,0.055,0.0233,0.0268,0.0161,0.0157,0.0245,0.0097,0.02,0.0228,0.018,0.0101,0.0136,0.014,0.0105,0.0051,0.0138,0.0339,0.0221,0.0164,0.0253
temperatureHighTime,1579710060,1579798380,1579897560,1579967280,1580061720,1580154060,1580239800,1580313300,1580401680,1580489760,1580584620,1580671560,1580755320,1580845980,1580930340,1581017460,1581093600,1581180180,1581277920,1581364500,1581440460,1581523620,1581610980,1581709800,1581786180,1581881820,1581969480,1582056060,1582141800,1582214700,1582300860,1582386960,1582473600,1582567380,1582650480,1582732200,1582819740,1582912800,1583004840,1583081220,1583178480,1583255580,1583350680,1583436420,1583524500,1583599320,1583682600,1583772480,1583869980,1583946300,1584042480,1584113280,1584205140,1584286920,1584377520
temperatureMax,78.24,75.58,69.85,72.45,71.41,79.05,78.69,76,73.21,74.72,75.21,72.35,72.01,73.17,79.73,78.26,73.83,75.11,72.44,73.23,75.5,73.59,75.1,76.32,71.08,70.92,73.32,73.09,74.12,76.15,77.6,71.7,72.45,71.33,71.76,74.22,70.2,69.81,72.59,73.76,69.17,71.45,70.98,71.84,69.24,73.8,75.06,72.98,70.62,72.91,72.01,73.7,74.45,75.46,70.87
windSpeed,3.81,4.05,2.66,3.03,3.16,4.41,5.39,4.9,4.8,4.06,4.69,3.29,3.62,4.19,5.43,5.52,4.69,4.27,3.39,4.51,4.9,3.61,4.25,3.21,3.36,3.8,3.05,3.16,3.51,4.56,4.07,3.26,3.6,2.54,3.44,3.82,3.45,2.92,3.21,3.29,2.82,3.21,3.33,2.68,2.85,3.66,4,3.43,3.24,3.87,3.53,3.93,3.61,3.98,3.59
apparentTemperatureMin,60.26,59.34,62.13,62.26,61.36,59.12,59.1,60.54,59.42,60.43,60.56,61.78,60.34,58.43,56.29,56.11,58.2,58.21,61.4,60.03,57.74,60.01,58.91,61.13,61.13,60.41,61.77,61.37,60.17,57.22,60.22,62.38,61.4,61.47,62.62,60.5,60.62,62.84,61.45,60.36,62.39,61.45,60.45,61.58,61.37,59.37,59.19,60.87,60.38,61.11,59.1,58.9,60.51,60.54,62.07
