,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
Lat,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Long,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
time,1579647600,1579734000,1579820400,1579906800,1579993200,1580079600,1580166000,1580252400,1580338800,1580425200,1580511600,1580598000,1580684400,1580770800,1580857200,1580943600,1581030000,1581116400,1581202800,1581289200,1581375600,1581462000,1581548400,1581634800,1581721200,1581807600,1581894000,1581980400,1582066800,1582153200,1582239600,1582326000,1582412400,1582498800,1582585200,1582671600,1582758000,1582844400,1582930800,1583017200,1583103600,1583190000,1583276400,1583362800,1583449200,1583535600,1583622000,1583708400,1583794800,1583881200,1583967600,1584054000,1584140400,1584226800,1584313200
summary,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Possible light rain until evening.,Possible light rain in the afternoon and evening.,Rain starting in the afternoon.,Possible light rain in the afternoon and evening.,Humid and mostly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain starting in the afternoon.,Possible light rain in the morning.,Possible light rain in the afternoon and evening.,Light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Humid and mostly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain until evening.,Possible light rain in the afternoon and evening.,Humid and mostly cloudy throughout the day.,Possible light rain in the evening and overnight.,Rain in the morning and afternoon.,Possible light rain in the afternoon.,Humid throughout the day.,Rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Rain and humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and overcast throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon.,Possible light rain in the evening.,Possible light rain in the afternoon and evening.,Rain until evening.,Possible light rain in the afternoon and evening.,Heavy rain until evening.,Light rain until evening.,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Rain in the afternoon and evening.,Possible light rain until evening.,Humid and overcast throughout the day.,Light rain starting in the afternoon.,Rain and humid throughout the day.,Rain until evening.,Rain starting in the afternoon.
icon,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain
sunriseTime,1579671060,1579757460,1579843920,1579930320,1580016720,1580103120,1580189580,1580275980,1580362380,1580448780,1580535180,1580621580,1580707980,1580794380,1580880840,1580967240,1581053640,1581140040,1581226440,1581312840,1581399240,1581485640,1581572040,1581658440,1581744780,1581831180,1581917580,1582003980,1582090380,1582176780,1582263180,1582349580,1582435980,1582522320,1582608720,1582695120,1582781520,1582867920,1582954260,1583040660,1583127060,1583213460,1583299800,1583386200,1583472600,1583558940,1583645340,1583731740,1583818140,1583904480,1583990880,1584077280,1584163620,1584250020,1584336420
sunsetTime,1579714440,1579800840,1579887300,1579973700,1580060100,1580146500,1580232960,1580319360,1580405760,1580492160,1580578560,1580665020,1580751420,1580837820,1580924220,1581010620,1581097020,1581183420,1581269820,1581356220,1581442680,1581529080,1581615480,1581701880,1581788280,1581874680,1581961080,1582047480,1582133820,1582220220,1582306620,1582393020,1582479420,1582565820,1582652220,1582738620,1582825020,1582911420,1582997760,1583084160,1583170560,1583256960,1583343360,1583429760,1583516100,1583602500,1583688900,1583775300,1583861640,1583948040,1584034440,1584120840,1584207180,1584293580,1584379980
moonPhase,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.64,0.67,0.71,0.75,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.43,0.47,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
