,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia
Lat,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953,58.5953
Long,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136,25.0136
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,28.22,27.44,33.82,29.92,33.4,37.34,30.3,31.83,30.63,30.05,31.75,34.84,27.15,22.82,25.1,20.58,24.62,30.6,28.7,32.14,30.4,34.02,32.85,34,26.89,30.89,35.43,33.73,32.21,33.88,28.64,28.92,32.2,29.63,31.78,28.21,19.85,23.65,27.69,28.12,35.79,32,35.42,31.97,41.04,35.2,37.77,38.19,34.12,32.46,36.33,31.28,22.29,29.26,31.82
apparentTemperatureHighTime,1579690500,1579784700,1579863840,1579950000,1580058000,1580122800,1580187600,1580313420,1580381760,1580482500,1580576400,1580619600,1580732040,1580821260,1580901000,1580994000,1581078420,1581156720,1581261720,1581344100,1581414540,1581508020,1581591540,1581678180,1581760380,1581872400,1581915600,1582031160,1582104960,1582196400,1582304400,1582349100,1582459920,1582549620,1582631040,1582727460,1582813260,1582892460,1582981980,1583075340,1583151300,1583240400,1583334060,1583419860,1583503260,1583586120,1583672880,1583759640,1583859600,1583931900,1584019320,1584091440,1584195180,1584275340,1584377160
apparentTemperatureLow,21.79,26.32,26.77,24.27,33.4,29.67,23.68,28.76,28.4,28.78,31.75,25.5,18.4,13.35,16.26,14.04,20.94,25.68,24.68,28.18,27.99,27.84,25.93,22.59,24.38,30.89,29.72,27.88,30.49,24.18,28.64,24.72,23.25,21.97,22.63,18.31,17.47,7.22,24.24,26,27.4,24.21,30.54,27.23,26.43,28.5,23.95,28.22,29.39,28.61,25.08,18.68,16.89,24.45,22.74
apparentTemperatureLowTime,1579756260,1579798800,1579932000,1579971600,1580058000,1580191200,1580255220,1580355120,1580450400,1580500500,1580576400,1580709600,1580793360,1580878080,1580968800,1581051480,1581097200,1581224880,1581309480,1581400560,1581483360,1581569820,1581642600,1581731520,1581832800,1581872400,1581969420,1582087440,1582135380,1582261200,1582304400,1582390800,1582520460,1582606020,1582671720,1582783200,1582827960,1582951920,1583025060,1583123400,1583183400,1583301600,1583388000,1583467920,1583538360,1583643060,1583730060,1583820000,1583891760,1583986380,1584057600,1584159840,1584244020,1584296400,1584402840
apparentTemperatureMax,30.17,29.77,33.82,30.65,34.15,37.34,34.39,31.83,30.63,30.05,35.92,36.06,29.04,22.82,25.1,26.48,24.68,30.6,29.08,32.14,30.49,34.02,32.85,34,28.69,34.96,36.97,33.73,32.21,33.88,29.4,32.56,32.2,29.63,31.78,28.21,21.81,23.65,27.69,28.36,35.79,32,35.42,33.03,41.04,35.2,37.77,38.19,34.49,32.65,36.33,31.28,23.41,29.26,31.82
apparentTemperatureMaxTime,1579646880,1579813200,1579863840,1579903200,1580072400,1580122800,1580162400,1580313420,1580381760,1580482500,1580590800,1580605020,1580693280,1580821260,1580901000,1580951340,1581109200,1581156720,1581282000,1581344100,1581372000,1581508020,1581591540,1581678180,1581800400,1581886800,1581898260,1582031160,1582104960,1582196400,1582309080,1582405200,1582459920,1582549620,1582631040,1582727460,1582754400,1582892460,1582981980,1583095080,1583151300,1583240400,1583334060,1583369460,1583503260,1583586120,1583672880,1583759640,1583864160,1583960040,1584019320,1584091440,1584136800,1584275340,1584377160
