,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia
Lat,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145,9.145
Long,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897,40.4897
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,79.87,80.98,76.88,79.93,73.45,72.42,81.02,80.06,81.5,83.11,81.26,82.07,81.82,82.77,84.47,83.62,83.76,86.1,85.5,85.25,85.65,66.33,75.03,79.47,81.85,88.59,88.02,86.11,86.25,86.49,86.04,86.17,84.21,87.84,91.78,86.57,84.37,87.65,90.28,89.85,88.42,89.97,91.32,88.93,90.5,90.65,89.31,88.65,87.69,83.13,86.51,92.53,84.89,86.72,86.34
apparentTemperatureHighTime,1579690920,1579777260,1579870860,1579957680,1580043660,1580132880,1580216400,1580297160,1580382180,1580468520,1580562420,1580641140,1580727600,1580821440,1580900400,1580986800,1581073260,1581159720,1581245820,1581334500,1581425220,1581507180,1581599340,1581678120,1581771240,1581850980,1581938700,1582030620,1582121400,1582196460,1582286820,1582376640,1582455600,1582542000,1582631400,1582714740,1582801140,1582890660,1582974060,1583060340,1583146920,1583233200,1583319540,1583404500,1583499780,1583587140,1583665380,1583750460,1583838000,1583924760,1584011040,1584097080,1584183720,1584269880,1584364380
apparentTemperatureLow,59.49,62.41,62.08,63.48,62.86,62.4,61.09,61.54,60.97,63.06,63.77,62.94,62.76,60.86,62.85,64.26,61.98,60.77,62.21,61.83,62.23,62.15,61.97,58.24,62.46,63.89,65.58,66.96,69.9,63.84,67.06,64.29,62.11,60.97,64.18,63.32,61.56,63.82,62.68,62.08,63.12,63.9,65.6,69.07,67.49,63.53,65.7,66.37,66.02,62.44,62.29,66.4,67.98,67.5,67.45
apparentTemperatureLowTime,1579749360,1579837500,1579925400,1580014440,1580095440,1580181060,1580267520,1580353140,1580439180,1580528100,1580611800,1580698080,1580785200,1580870460,1580957520,1581043440,1581129660,1581216360,1581302760,1581389640,1581482280,1581564360,1581650040,1581735060,1581820800,1581907380,1581994500,1582080780,1582165500,1582253820,1582340040,1582426620,1582512180,1582597920,1582686060,1582771620,1582857660,1582941540,1583029800,1583116740,1583203320,1583289300,1583375940,1583463000,1583547480,1583635800,1583722140,1583809020,1583894880,1583980920,1584066720,1584153420,1584238560,1584327300,1584412200
apparentTemperatureMax,79.87,80.98,76.88,79.93,73.45,72.42,81.02,80.06,81.5,83.11,81.26,82.07,81.82,82.77,84.47,83.62,83.76,86.1,85.5,85.25,85.65,69.79,75.03,79.47,81.85,88.59,88.02,86.11,86.25,86.49,86.04,86.17,84.21,87.84,91.78,86.57,84.37,87.65,90.28,89.85,88.42,89.97,91.32,88.93,90.5,90.65,89.31,88.65,87.69,83.13,86.51,92.53,84.89,86.72,86.34
apparentTemperatureMaxTime,1579690920,1579777260,1579870860,1579957680,1580043660,1580132880,1580216400,1580297160,1580382180,1580468520,1580562420,1580641140,1580727600,1580821440,1580900400,1580986800,1581073260,1581159720,1581245820,1581334500,1581425220,1581454800,1581599340,1581678120,1581771240,1581850980,1581938700,1582030620,1582121400,1582196460,1582286820,1582376640,1582455600,1582542000,1582631400,1582714740,1582801140,1582890660,1582974060,1583060340,1583146920,1583233200,1583319540,1583404500,1583499780,1583587140,1583665380,1583750460,1583838000,1583924760,1584011040,1584097080,1584183720,1584269880,1584364380
apparentTemperatureMin,57.87,59.49,62.41,62.08,63.48,62.86,62.4,61.09,61.54,60.97,63.06,63.77,62.94,62.76,60.86,62.85,64.26,61.98,60.77,62.21,61.83,62.23,62.15,61.97,58.24,62.46,63.89,65.58,66.96,69.9,63.84,67.06,64.29,62.11,60.97,64.18,63.32,61.56,63.82,62.68,62.08,63.12,63.9,65.6,69.07,67.49,63.53,65.7,66.37,66.02,62.44,62.29,66.4,67.98,67.5
