,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland
Lat,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Long,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,20.1,22.1,22.16,18.39,23.3,4.18,13.09,17.62,14.38,12.27,14.3,30.15,15.07,9.14,19.19,12,21.29,25.47,27.17,29.88,27.54,29.56,32.4,20.49,27.45,27.25,30.02,29.68,24.69,18.94,27.97,31.87,26.95,22.09,23.61,24.77,25.04,23.87,23.08,20.23,23.17,18.06,17.86,29.66,21.9,30.82,29.16,32.78,34.26,31.36,33.36,23.22,13.28,27.06,24.47
apparentTemperatureHighTime,1579701000,1579798800,1579870440,1579928400,1580014800,1580125920,1580230800,1580317200,1580399700,1580449800,1580576400,1580641020,1580721840,1580815500,1580916180,1580982840,1581094800,1581181200,1581249900,1581332280,1581418860,1581507900,1581592020,1581656400,1581786000,1581872400,1581958800,1582031520,1582088400,1582185120,1582304400,1582363380,1582455480,1582530420,1582632060,1582718460,1582812000,1582887540,1582976340,1583061000,1583151060,1583240280,1583324640,1583412120,1583470800,1583579880,1583673240,1583752080,1583845620,1583924400,1583995560,1584075600,1584195120,1584290520,1584334800
apparentTemperatureLow,15.33,21.38,17.51,17.05,0.96,3.82,13.09,13.73,12.06,6.37,14.3,6.91,2.54,5.58,0.93,0.03,18.37,23.7,26.1,25.78,24.24,26.74,19.45,18.07,22.63,27.25,29,23.07,13.25,12.7,25.68,23.53,19.97,11.19,7.84,3.2,5.79,6.75,7.27,8.8,8.16,5.72,15.37,17.76,16.26,13.49,26.06,29.28,26.73,29.9,21.03,6.48,6.8,22.24,18.08
apparentTemperatureLowTime,1579716480,1579845600,1579932000,1579971600,1580087220,1580144400,1580230800,1580364000,1580430240,1580519100,1580576400,1580691900,1580792520,1580857680,1580952720,1581037560,1581141600,1581202740,1581267600,1581400800,1581466500,1581569400,1581660000,1581729000,1581829500,1581872400,1582005600,1582092000,1582161420,1582221600,1582322340,1582434300,1582507140,1582606500,1582694640,1582782240,1582865760,1582951920,1583001240,1583127780,1583212140,1583298060,1583348160,1583459040,1583556960,1583630940,1583690520,1583815620,1583902860,1583946000,1584079200,1584163680,1584224640,1584338400,1584423120
apparentTemperatureMax,22.35,28.79,29.04,21.7,23.51,4.8,14.49,17.9,16.78,14.08,16.03,30.15,15.07,9.14,19.19,12,26,25.98,27.17,29.88,29.17,29.56,32.4,25.89,28.52,32.92,33.7,31.17,26.85,18.94,28.02,31.87,29.63,24.61,23.61,24.77,25.04,23.87,23.08,20.23,23.17,18.06,17.86,29.66,25.27,30.82,29.16,32.78,34.26,31.75,34.46,33.73,13.28,27.13,30.21
apparentTemperatureMaxTime,1579644000,1579813200,1579816800,1579903200,1580013780,1580158800,1580245200,1580325360,1580335200,1580421600,1580590800,1580641020,1580721840,1580815500,1580916180,1580982840,1581108240,1581187020,1581249900,1581332280,1581372000,1581507900,1581592020,1581636960,1581797160,1581886800,1581891960,1581987960,1582075800,1582185120,1582305300,1582363380,1582410300,1582495200,1582632060,1582718460,1582812000,1582887540,1582976340,1583061000,1583151060,1583240280,1583324640,1583412120,1583445600,1583579880,1583673240,1583752080,1583845620,1583960400,1584040500,1584052440,1584195120,1584306000,1584323520
apparentTemperatureMin,15.33,15.47,20.02,14.59,4.62,0.96,5.27,13.01,12.06,8.61,6.37,10.43,6.91,2.54,5.58,0.93,0.03,18.35,23.7,26.96,25.5,24.24,25.96,18.59,18.07,22.63,25.33,25.11,17.71,12.7,15.06,25.68,23.53,19.6,11.19,7.84,3.2,5.79,6.75,11.18,8.8,8.16,5.72,16.37,17.29,16.26,13.49,26.78,29.28,26.73,30.25,9.34,6.48,6.8,18.5
apparentTemperatureMinTime,1579716480,1579767720,1579888860,1579957500,1580065140,1580087220,1580162400,1580290380,1580382840,1580504400,1580519100,1580677200,1580691900,1580792520,1580857680,1580952720,1581037560,1581142020,1581202740,1581314760,1581406680,1581466500,1581627600,1581713760,1581729000,1581829500,1581933000,1582059600,1582146000,1582221600,1582236000,1582322400,1582434300,1582545240,1582606500,1582694640,1582782240,1582865760,1582951920,1583013600,1583127780,1583212140,1583298060,1583359200,1583494080,1583556960,1583630940,1583707500,1583815620,1583902860,1584008340,1584127020,1584163680,1584224640,1584383340
cloudCover,0.32,0.66,0.43,0.48,0.93,0.99,1,1,1,1,1,1,0.81,0.02,0.61,0.18,0.69,0.74,0.94,1,1,1,0.99,0.6,0.85,0.85,0.9,0.95,0.95,0.42,0.98,0.95,0.89,0.76,0.45,0.15,0,0.04,0.72,0.72,0.9,0.93,0.77,0.99,0.84,0.26,0.78,1,1,0.99,1,0.93,0.16,0.71,0.63
dewPoint,21.33,23.55,27.85,22.5,15.77,8.19,17.09,21.69,20.94,18.24,19.08,26.36,18.48,11.72,17.57,12.33,16.33,27.73,31.32,35.53,31.76,30.29,31.53,24.05,26.78,32.47,33.68,33.22,26.13,13.61,29.95,34.38,30.41,25.98,20.71,14.35,11.91,9.28,9.73,19.79,16.7,15.71,16.93,29.52,23.46,25.63,26.29,34.39,34.79,32.5,33,22.52,9.8,22.78,24.57
humidity,0.77,0.89,0.88,0.86,0.86,0.8,0.89,0.91,0.87,0.87,0.87,0.92,0.85,0.88,0.86,0.77,0.92,0.96,0.9,0.93,0.88,0.87,0.93,0.87,0.88,0.92,0.87,0.9,0.84,0.72,0.88,0.91,0.88,0.82,0.82,0.82,0.8,0.8,0.81,0.87,0.86,0.8,0.78,0.89,0.84,0.86,0.87,0.87,0.91,0.93,0.96,0.82,0.65,0.81,0.75
icon,partly-cloudy-day,snow,rain,snow,cloudy,cloudy,snow,cloudy,snow,fog,snow,snow,snow,clear-day,snow,clear-day,snow,partly-cloudy-day,rain,rain,rain,snow,snow,partly-cloudy-day,snow,rain,rain,rain,cloudy,partly-cloudy-day,snow,rain,rain,snow,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,snow,snow,cloudy,partly-cloudy-day,snow,snow,clear-day,snow,rain,rain,rain,snow,snow,clear-day,snow,rain
moonPhase,0.93,0.96,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0,0.03,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
ozone,298,256.4,274.7,279.3,239.4,232.7,253.4,255.2,262.3,274.4,285.6,324.3,375.7,393.8,394.4,373.6,325.5,287.5,277.2,292.3,299.9,310.1,302.2,304,345.6,325.4,382.1,387.6,410.1,378.6,378.1,374,469.2,414.3,368.3,346.7,300.7,283,342.5,422.2,401.2,420.5,405.4,412.8,453.2,446.8,399,374.2,413.9,392,433.5,469.6,468.9,407.8,419.7
precipAccumulation,0.04,1.44,,0.21,0.13,1.22,2.56,0.24,0.65,0.21,1.16,1.84,0.35,0.1,0.99,0.03,0.99,0.04,,,,0.05,0.48,0.18,0.67,,,,0.15,0.06,0.49,,,2.31,0.15,0.05,0.02,0.03,,0.72,0.52,0.12,0.51,0.59,0.32,0.01,0.12,,,,0.4,0.7,0.04,0.36,
precipIntensity,0.0002,0.0074,0.0007,0.0009,0.0004,0.0029,0.0073,0.0008,0.0022,0.0007,0.0041,0.0086,0.0011,0.0002,0.0036,0.0001,0.0034,0.0003,0.0012,0.0131,0.0045,0.0007,0.0039,0.0008,0.0043,0.0077,0.0034,0.0048,0.0008,0.0002,0.0064,0.014,0.0059,0.0116,0.0006,0.0001,0.0001,0.0001,0,0.0023,0.0016,0.0003,0.002,0.0036,0.0013,0.0001,0.0014,0.0017,0.0014,0.0018,0.0035,0.0029,0.0001,0.0048,0.0036
