,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
Lat,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276,46.2276
Long,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137,2.2137
Province/State,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
apparentTemperatureHigh,46.5,46.87,56.42,56.26,46.31,40.16,34.44,43.05,51.41,54.96,54.93,56.36,59.67,37.67,42.39,44.11,57.91,57.19,57.33,54.03,42.17,46.44,53.09,53.23,61,65.31,46.08,45.37,52.04,55.9,51.93,58.36,62.1,63.73,44.29,35.77,43.39,52.75,54.07,42.04,37.41,39.25,39.16,51.18,40.95,42.58,51.69,43.39,52.64,60.18,55.99,53.07,55.07,65.66,56.6
apparentTemperatureHighTime,1579701720,1579787640,1579873800,1579959780,1580047320,1580122560,1580234400,1580305080,1580407200,1580478420,1580563140,1580651580,1580738460,1580824020,1580910300,1580996820,1581081840,1581167640,1581256200,1581343200,1581408180,1581515580,1581600480,1581688020,1581774180,1581855420,1581919200,1582033860,1582122060,1582206420,1582293000,1582379580,1582465740,1582552080,1582632660,1582726920,1582809120,1582898580,1582963440,1583058420,1583132220,1583243820,1583344800,1583397660,1583492160,1583588880,1583670300,1583761860,1583855820,1583935080,1584020880,1584109560,1584196560,1584280020,1584367560
apparentTemperatureLow,26.57,30.56,33.44,33.52,37.19,33.47,34.44,32.31,50.68,44.67,50.72,52.14,32.92,31.05,21.51,23.09,28.81,37.46,42.57,38.05,30.25,28.1,36.72,25.67,50.72,44.5,30.74,33.93,32.98,31.68,26.17,31.16,38.58,33.99,25.73,29.01,23.41,41.74,35.81,35.8,27.5,29.32,39.16,28.86,31.28,30.6,32.05,36.4,45.15,43.74,30,28.84,26.59,40.31,44.07
apparentTemperatureLowTime,1579745040,1579842960,1579931580,1579996320,1580076720,1580194800,1580234400,1580342400,1580454000,1580531640,1580582400,1580713200,1580799600,1580879640,1580961420,1581047580,1581138540,1581224040,1581310860,1581396780,1581486780,1581551880,1581655740,1581743040,1581819780,1581922800,1582004760,1582074240,1582170660,1582263360,1582350600,1582433640,1582520760,1582601160,1582700400,1582758960,1582865820,1582931520,1583039100,1583103780,1583210160,1583300640,1583344800,1583464140,1583548320,1583643000,1583729760,1583796840,1583871840,1583967840,1584075420,1584162960,1584248040,1584342000,1584420480
apparentTemperatureMax,46.5,46.87,56.42,56.26,46.31,40.16,39.36,43.05,51.53,54.96,54.93,56.36,59.67,55.26,42.39,44.11,57.91,57.19,57.33,54.03,42.22,46.44,53.09,53.23,61,65.31,54.61,45.37,52.04,55.9,51.93,58.36,62.1,63.73,44.29,35.77,43.39,52.75,54.07,42.04,37.92,39.25,42.02,51.63,40.95,42.58,51.69,43.39,52.64,60.18,55.99,53.07,55.07,65.66,56.6
apparentTemperatureMaxTime,1579701720,1579787640,1579873800,1579959780,1580047320,1580122560,1580166000,1580305080,1580412720,1580478420,1580563140,1580651580,1580738460,1580770800,1580910300,1580996820,1581081840,1581167640,1581256200,1581343200,1581376140,1581515580,1581600480,1581688020,1581774180,1581855420,1581894000,1582033860,1582122060,1582206420,1582293000,1582379580,1582465740,1582552080,1582632660,1582726920,1582809120,1582898580,1582963440,1583058420,1583120400,1583243820,1583356800,1583378700,1583492160,1583588880,1583670300,1583761860,1583855820,1583935080,1584020880,1584109560,1584196560,1584280020,1584367560
apparentTemperatureMin,21.33,26.57,30.56,33.44,33.52,37.28,31.33,34.61,32.31,45.8,44.67,51.41,51.55,32.09,27.44,21.51,23.09,28.81,37.46,41,34.01,30.25,28.1,33.47,25.67,50.72,35.7,30.74,33.93,32.98,31.68,26.17,31.16,38.58,32.93,25.49,29.01,23.41,36.67,35.81,30.7,27.5,29.32,31.14,28.86,31.28,30.6,32.05,36.4,44.3,40.07,30,28.84,26.59,40.31
apparentTemperatureMinTime,1579672560,1579745040,1579842960,1579931580,1579996320,1580079600,1580211780,1580335200,1580342400,1580507100,1580531640,1580598000,1580716980,1580806800,1580940000,1580961420,1581047580,1581138540,1581224040,1581371760,1581458400,1581486780,1581551880,1581717600,1581743040,1581819780,1581976800,1582004760,1582074240,1582170660,1582263360,1582350600,1582433640,1582520760,1582668000,1582704180,1582758960,1582865820,1583013600,1583039100,1583186400,1583210160,1583300640,1583445600,1583464140,1583548320,1583643000,1583729760,1583796840,1583964000,1584050400,1584075420,1584162960,1584248040,1584342600
cloudCover,0.36,0.82,0.23,0.72,0.84,0.97,0.98,0.94,0.94,0.92,0.73,0.97,0.75,0.67,0.83,0.54,0.43,0.54,0.82,0.99,0.88,0.69,0.94,0.9,0.46,0.94,0.86,0.5,0.91,0.56,0.7,0.32,0.82,0.27,0.91,0.69,0.94,0.82,0.96,0.89,0.94,0.67,0.95,1,0.84,0.89,0.88,0.57,1,0.73,0.87,0.43,0.58,0.47,0.98
dewPoint,23.06,27.36,35.14,35.29,37.17,38.14,38.83,39.29,43.62,48.88,45.93,50.44,47.1,37.08,31.14,23.91,31.23,35.12,39.2,42.96,37.56,33.26,37.88,37.32,33.3,37.43,40.33,34.97,38.64,36.39,30.84,31.11,35.03,38.41,38.46,31.95,38.18,35.01,38.86,37.69,38.55,35.4,36.52,44.85,36.5,35.99,37.89,36.78,42.15,46.13,44.13,29.96,33.25,33.84,41.4
humidity,0.63,0.65,0.79,0.8,0.84,0.77,0.86,0.88,0.92,0.91,0.83,0.89,0.76,0.82,0.81,0.64,0.74,0.74,0.69,0.73,0.75,0.77,0.77,0.77,0.69,0.49,0.76,0.78,0.81,0.76,0.71,0.7,0.66,0.68,0.79,0.8,0.86,0.81,0.68,0.77,0.87,0.91,0.9,0.91,0.9,0.88,0.82,0.81,0.83,0.79,0.79,0.65,0.72,0.66,0.77
icon,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,wind,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,wind,rain,rain,rain,rain,rain,partly-cloudy-day,cloudy,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain
moonPhase,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.64,0.67,0.71,0.75,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.43,0.47,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
ozone,409.3,370.6,361.1,323.3,318.8,338.9,384.8,345,311.3,303.3,307.9,297.4,296.1,339.5,328.1,337.9,320.1,322.4,303.9,257,266.3,320.1,343.5,300.8,317,284.7,336,326.7,327.5,311.9,323,309.5,301.1,335.4,344.4,367.3,333.5,301.9,350.9,367.1,390.4,397.1,331.2,311.5,380.5,367.4,357.6,391.4,330.5,305.3,320.2,346.8,372.8,351.9,351.2
precipIntensity,0,0.0002,0.0001,0.0001,0.0008,0.0086,0.0201,0.0071,0.0079,0.0031,0.0012,0.014,0.0004,0.0077,0.0001,0,0.0001,0.0001,0.0003,0.0054,0.0029,0.0007,0.0063,0.0009,0.0001,0.0001,0.013,0.002,0.0028,0.0003,0.0006,0.0001,0.0001,0.0001,0.0059,0.0052,0.0127,0.0002,0.0015,0.0054,0.0167,0.0049,0.0019,0.0266,0.0092,0.0018,0.0032,0.0043,0.0073,0.0006,0.0006,0,0.0002,0.0001,0.0103
precipIntensityMax,0.0001,0.0022,0.0002,0.0003,0.0055,0.0221,0.0337,0.0311,0.0243,0.0104,0.0061,0.068,0.0022,0.0348,0.0008,0.0003,0.0003,0.0003,0.0026,0.0112,0.0147,0.0033,0.0324,0.004,0.0003,0.0003,0.0517,0.015,0.0084,0.0034,0.0069,0.0004,0.0003,0.0005,0.0173,0.0295,0.0559,0.0009,0.0092,0.0293,0.0827,0.0233,0.0075,0.0456,0.0288,0.0088,0.0199,0.0139,0.0206,0.002,0.0021,0.0004,0.0009,0.0004,0.0647
precipIntensityMaxTime,1579651200,1579791720,1579845600,1579985340,1580038800,1580126460,1580201400,1580278500,1580383560,1580429700,1580548080,1580626680,1580710140,1580785380,1580857200,1580947200,1581056400,1581199200,1581285600,1581313980,1581378000,1581508020,1581605580,1581634800,1581723360,1581843600,1581931080,1582048680,1582135200,1582236000,1582242540,1582342080,1582412400,1582514820,1582623900,1582693020,1582784520,1582844400,1582977300,1583075520,1583132460,1583257560,1583323620,1583389020,1583507220,1583535600,1583701140,1583733780,1583823240,1583894880,1584032820,1584122400,1584203460,1584276420,1584341940
precipProbability,0.02,0.06,0.07,0.08,0.43,0.9,0.98,0.81,0.93,0.64,0.4,0.95,0.24,0.68,0.15,0.01,0.04,0.03,0.15,0.81,0.72,0.34,0.73,0.32,0.03,0.04,0.93,0.35,0.61,0.09,0.19,0.05,0.04,0.04,0.78,0.87,0.88,0.1,0.56,0.71,0.95,0.84,0.36,0.95,0.86,0.47,0.57,0.74,0.88,0.11,0.12,0.01,0.06,0.02,0.85
precipType,,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,,rain,rain,rain
pressure,1032.1,1025.5,1023.1,1020.4,1019.3,1014.2,1011.3,1018.5,1016.8,1018.1,1016.9,1021,1023.2,1027.2,1035.3,1028.4,1024,1023.6,1021,1017.9,1021.6,1024.9,1015.2,1025.2,1023.8,1018.1,1023,1031.9,1029.2,1024.6,1032.3,1032.7,1032.2,1025.3,1013.2,1013.7,1010.2,1019.1,1004.2,1003.1,995.2,1008.8,1014.9,999.8,1007.3,1022.8,1020.9,1021.7,1021.9,1022.7,1020.9,1024.8,1022.5,1015.6,1019.2
