,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
Lat,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797,-17.6797
Long,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068,149.4068
Province/State,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia,French Polynesia
apparentTemperatureHigh,99.66,102.67,104.07,101.9,99.76,102.69,102.22,104.02,104.36,98.51,100.96,101.57,104.02,103.84,102.56,100.55,100.28,103.4,101.26,101.83,108.71,115.77,116.92,119.27,120.38,113.93,109,107.48,106.28,102,106.46,109.62,107.8,105.96,99.06,101.15,105.63,109.53,103.77,102.34,103.06,101,98.87,98.32,101.16,106.65,103.65,102.91,103.54,95.52,98.33,105.71,95.39,92.46,92.32
apparentTemperatureHighTime,1579657980,1579744380,1579830600,1579917540,1579996920,1580090160,1580176860,1580262900,1580349300,1580435700,1580522220,1580608620,1580694900,1580781180,1580866860,1580953320,1581040440,1581126540,1581206640,1581299880,1581385860,1581471540,1581558840,1581644880,1581731100,1581818100,1581901260,1581990420,1582077000,1582163700,1582250040,1582334700,1582422360,1582503360,1582593660,1582676460,1582768980,1582851840,1582935000,1583022240,1583111520,1583199360,1583281080,1583370120,1583454600,1583542740,1583629500,1583716140,1583800440,1583886420,1583989260,1584061500,1584149040,1584235680,1584321480
apparentTemperatureLow,90.64,90.57,90.07,89.73,90.46,88.08,83.33,89.28,88.67,87.53,88.61,87.5,91.19,88.92,84.36,88.58,89.61,90.63,89.95,94.2,96.4,100.12,99.86,100.02,102.07,98.56,92.78,94.07,93.41,92.05,94.91,94.47,95.19,78.91,89.67,90.18,95.33,95.54,91.74,91.05,88.02,90.3,88,89.26,92.35,92.66,92.13,90.65,90,86.2,85.95,88.11,84.5,83.21,80.94
apparentTemperatureLowTime,1579700580,1579801260,1579888140,1579971540,1580044320,1580147400,1580217000,1580313060,1580398860,1580490840,1580577660,1580664120,1580743260,1580842500,1580925780,1581012420,1581094260,1581175140,1581261300,1581346380,1581432540,1581518700,1581607140,1581687720,1581783000,1581878940,1581976020,1582043820,1582134240,1582207620,1582301220,1582393980,1582476300,1582559280,1582636920,1582727520,1582823820,1582906320,1582997100,1583081880,1583158200,1583253720,1583334660,1583420520,1583500080,1583606100,1583692920,1583772360,1583862480,1583927820,1584026460,1584124080,1584199020,1584294540,1584387360
apparentTemperatureMax,99.66,102.67,104.07,101.9,99.76,102.69,102.22,104.02,104.36,98.51,100.96,101.57,104.02,103.84,102.56,100.55,100.28,103.4,101.26,101.83,108.71,115.77,116.92,119.27,120.38,113.93,109,107.48,106.28,102,106.46,109.62,107.8,105.96,99.06,101.15,105.63,109.53,103.77,102.34,103.06,101,98.87,98.32,101.16,106.65,103.65,102.91,103.54,95.52,98.33,105.71,95.39,92.46,92.32
apparentTemperatureMaxTime,1579657980,1579744380,1579830600,1579917540,1579996920,1580090160,1580176860,1580262900,1580349300,1580435700,1580522220,1580608620,1580694900,1580781180,1580866860,1580953320,1581040440,1581126540,1581206640,1581299880,1581385860,1581471540,1581558840,1581644880,1581731100,1581818100,1581901260,1581990420,1582077000,1582163700,1582250040,1582334700,1582422360,1582503360,1582593660,1582676460,1582768980,1582851840,1582935000,1583022240,1583111520,1583199360,1583281080,1583370120,1583454600,1583542740,1583629500,1583716140,1583800440,1583886420,1583989260,1584061500,1584149040,1584235680,1584321480
apparentTemperatureMin,90.37,90.66,90.57,90.07,89.73,89.47,83.38,83.91,89.28,88.67,87.53,88.61,87.5,91.19,85.55,84.36,88.58,89.61,90.63,89.95,94.2,96.4,100.12,99.86,100.03,99.78,97.04,92.78,94.07,92.38,92.05,94.91,94.47,80.9,78.91,89.76,90.18,95.33,92.72,91.63,88.37,88.02,89.4,88,89.26,92.71,92.66,92.13,90.65,84.86,87.49,85.95,85.54,84.5,83.21
apparentTemperatureMinTime,1579615200,1579701600,1579801260,1579888140,1579971540,1580130000,1580216400,1580220000,1580313060,1580398860,1580490840,1580577660,1580664120,1580743260,1580903640,1580925780,1581012420,1581094260,1581175140,1581261300,1581346380,1581432540,1581518700,1581607140,1581688800,1581858000,1581944400,1581976020,1582043820,1582203600,1582207620,1582301220,1582393980,1582549200,1582559280,1582639200,1582727520,1582823820,1582978380,1583067600,1583154000,1583158200,1583326800,1583334660,1583420520,1583503200,1583606100,1583692920,1583772360,1583901900,1583935200,1584026460,1584190800,1584199020,1584294540
