,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
Lat,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Long,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833,-61.5833
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Possible drizzle in the morning.,Humid and partly cloudy throughout the day.,Possible light rain in the evening and overnight.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the morning.,Possible light rain in the morning.,Possible light rain in the morning and overnight.,Possible light rain overnight.,Possible light rain overnight.,"Possible light rain until morning, starting again in the evening.",Possible light rain in the morning and afternoon.,Humid and partly cloudy throughout the day.,Possible light rain in the morning.,Humid and partly cloudy throughout the day.,Possible light rain in the morning.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the afternoon and evening.,Possible drizzle in the morning.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.
icon,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,clear-day,rain,clear-day,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,clear-day,rain,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,clear-day
sunriseTime,1579689540,1579775940,1579862340,1579948740,1580035140,1580121540,1580207940,1580294340,1580380680,1580467080,1580553480,1580639880,1580726280,1580812620,1580899020,1580985420,1581071760,1581158160,1581244560,1581330900,1581417300,1581503700,1581590040,1581676440,1581762780,1581849180,1581935520,1582021920,1582108260,1582194660,1582281000,1582367400,1582453740,1582540140,1582626480,1582712820,1582799220,1582885560,1582971960,1583058300,1583144640,1583231040,1583317380,1583403720,1583490120,1583576460,1583662800,1583749140,1583835540,1583921880,1584008220,1584094560,1584180960,1584267300,1584353640
sunsetTime,1579730340,1579816740,1579903200,1579989600,1580076060,1580162520,1580248920,1580335380,1580421780,1580508240,1580594640,1580681100,1580767500,1580853960,1580940360,1581026820,1581113220,1581199620,1581286080,1581372480,1581458940,1581545340,1581631800,1581718200,1581804600,1581891060,1581977460,1582063860,1582150320,1582236720,1582323120,1582409580,1582495980,1582582380,1582668840,1582755240,1582841640,1582928040,1583014500,1583100900,1583187300,1583273700,1583360160,1583446560,1583532960,1583619360,1583705820,1583792220,1583878620,1583965020,1584051420,1584137820,1584224280,1584310680,1584397080
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
