,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
Lat,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275,-12.8275
Long,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662,45.1662
time,1579640400,1579726800,1579813200,1579899600,1579986000,1580072400,1580158800,1580245200,1580331600,1580418000,1580504400,1580590800,1580677200,1580763600,1580850000,1580936400,1581022800,1581109200,1581195600,1581282000,1581368400,1581454800,1581541200,1581627600,1581714000,1581800400,1581886800,1581973200,1582059600,1582146000,1582232400,1582318800,1582405200,1582491600,1582578000,1582664400,1582750800,1582837200,1582923600,1583010000,1583096400,1583182800,1583269200,1583355600,1583442000,1583528400,1583614800,1583701200,1583787600,1583874000,1583960400,1584046800,1584133200,1584219600,1584306000
summary,Rain throughout the day.,Rain and humid throughout the day.,Light rain and humid throughout the day.,Light rain and humid throughout the day.,Light rain in the morning and afternoon.,Humid and mostly cloudy throughout the day.,Possible light rain overnight.,Possible light rain in the afternoon and evening.,"Light rain until afternoon, starting again overnight.",Rain in the morning and afternoon.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the morning and overnight.,Possible light rain in the morning and afternoon.,Humid and overcast throughout the day.,Possible light rain in the morning.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain until evening.,Light rain in the morning and afternoon.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Possible light rain in the morning and afternoon.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Possible light rain in the morning and afternoon.,Light rain and humid throughout the day.,"Light rain until afternoon, starting again overnight.","Light rain until afternoon, starting again overnight.",Light rain and humid throughout the day.,Rain and humid throughout the day.,Light rain and humid throughout the day.,Possible drizzle in the morning.,Possible light rain overnight.,Light rain in the morning and afternoon.,Possible light rain in the afternoon.,Possible light rain in the morning.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Possible light rain overnight.,Light rain in the morning and afternoon.,Light rain in the morning and afternoon.,Light rain in the morning and afternoon.,Possible drizzle in the morning.,Humid and mostly cloudy throughout the day.,Possible drizzle in the morning and afternoon.,Light rain in the morning and afternoon.,Possible drizzle in the morning.,Possible light rain in the morning and afternoon.,Humid and partly cloudy throughout the day.
icon,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,partly-cloudy-day,cloudy,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day
sunriseTime,1579661340,1579747800,1579834200,1579920660,1580007060,1580093520,1580179920,1580266380,1580352780,1580439240,1580525640,1580612100,1580698500,1580784960,1580871360,1580957760,1581044220,1581130620,1581217080,1581303480,1581389880,1581476340,1581562740,1581649140,1581735600,1581822000,1581908400,1581994800,1582081260,1582167660,1582254060,1582340460,1582426920,1582513320,1582599720,1582686120,1582772520,1582858980,1582945380,1583031780,1583118180,1583204580,1583290980,1583377380,1583463840,1583550240,1583636640,1583723040,1583809440,1583895840,1583982240,1584068640,1584155040,1584241440,1584327840
sunsetTime,1579707240,1579793640,1579880040,1579966440,1580052840,1580139240,1580225640,1580312040,1580398440,1580484840,1580571240,1580657640,1580744040,1580830380,1580916780,1581003180,1581089580,1581175920,1581262320,1581348720,1581435120,1581521460,1581607860,1581694260,1581780600,1581867000,1581953400,1582039740,1582126140,1582212480,1582298880,1582385220,1582471620,1582557960,1582644360,1582730700,1582817100,1582903440,1582989840,1583076180,1583162580,1583248920,1583335260,1583421660,1583508000,1583594400,1583680740,1583767080,1583853480,1583939820,1584026220,1584112560,1584198900,1584285300,1584371640
moonPhase,0.93,0.96,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.59,0.63,0.67,0.71,0.74,0.78,0.81,0.84,0.88,0.91,0.94,0.97,0,0.03,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.28,0.31,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
