,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion,Reunion
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
Lat,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351,-21.1351
Long,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471,55.2471
time,1579636800,1579723200,1579809600,1579896000,1579982400,1580068800,1580155200,1580241600,1580328000,1580414400,1580500800,1580587200,1580673600,1580760000,1580846400,1580932800,1581019200,1581105600,1581192000,1581278400,1581364800,1581451200,1581537600,1581624000,1581710400,1581796800,1581883200,1581969600,1582056000,1582142400,1582228800,1582315200,1582401600,1582488000,1582574400,1582660800,1582747200,1582833600,1582920000,1583006400,1583092800,1583179200,1583265600,1583352000,1583438400,1583524800,1583611200,1583697600,1583784000,1583870400,1583956800,1584043200,1584129600,1584216000,1584302400
summary,Light rain until evening.,Light rain starting in the afternoon.,Light rain and humid throughout the day.,Light rain until evening.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and overcast throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the afternoon.,Humid and overcast throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Light rain in the evening and overnight.,Light rain and humid throughout the day.,Possible light rain and humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Possible light rain in the evening and overnight.,Possible light rain in the morning and afternoon.,Humid and mostly cloudy throughout the day.,Possible light rain in the evening and overnight.,Light rain starting in the afternoon.,Light rain and humid throughout the day.,Rain in the morning and afternoon.,Humid throughout the day.,Light rain in the evening and overnight.,Possible drizzle in the morning.,Humid throughout the day.,Light rain starting in the afternoon.,Rain and humid throughout the day.,Possible light rain in the morning and afternoon.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.
icon,rain,rain,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,rain,clear-day,rain,rain,rain,clear-day,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,clear-day,rain,rain,rain,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,cloudy,partly-cloudy-day
sunriseTime,1579658160,1579744560,1579831020,1579917480,1580003880,1580090340,1580176800,1580263200,1580349660,1580436120,1580522520,1580608980,1580695440,1580781840,1580868300,1580954760,1581041160,1581127620,1581214020,1581300480,1581386940,1581473340,1581559800,1581646200,1581732660,1581819060,1581905520,1581991920,1582078380,1582164780,1582251240,1582337640,1582424100,1582510500,1582596960,1582683360,1582769760,1582856220,1582942620,1583029080,1583115480,1583201880,1583288340,1583374740,1583461200,1583547600,1583634000,1583720460,1583806860,1583893260,1583979720,1584066120,1584152520,1584238980,1584325380
sunsetTime,1579705620,1579792020,1579878420,1579964820,1580051220,1580137560,1580223960,1580310360,1580396760,1580483100,1580569500,1580655900,1580742240,1580828640,1580915040,1581001380,1581087780,1581174120,1581260520,1581346860,1581433260,1581519600,1581606000,1581692340,1581778680,1581865080,1581951420,1582037820,1582124160,1582210500,1582296900,1582383240,1582469580,1582555920,1582642320,1582728660,1582815000,1582901340,1582987740,1583074080,1583160420,1583246760,1583333100,1583419440,1583505840,1583592180,1583678520,1583764860,1583851200,1583937540,1584023880,1584110220,1584196620,1584282960,1584369300
moonPhase,0.93,0.96,0.99,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.78,0.81,0.84,0.88,0.91,0.94,0.97,0,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.25,0.28,0.31,0.35,0.38,0.42,0.46,0.5,0.54,0.58,0.62,0.65,0.69,0.73,0.76
