,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy,Saint Barthelemy
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
Lat,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9
Long,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333,-62.8333
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Humid and partly cloudy throughout the day.,Possible light rain in the morning and afternoon.,Humid throughout the day.,Humid throughout the day.,"Possible light rain until morning, starting again in the evening.",Possible drizzle in the morning.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible drizzle overnight.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the morning and overnight.,Possible light rain until evening.,Possible light rain in the morning and afternoon.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.
icon,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,clear-day,clear-day,rain,clear-day,clear-day,clear-day,rain,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,clear-day,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain
sunriseTime,1579690020,1579776420,1579862820,1579949220,1580035560,1580121960,1580208360,1580294760,1580381160,1580467560,1580553900,1580640300,1580726700,1580813040,1580899440,1580985840,1581072180,1581158580,1581244980,1581331320,1581417720,1581504060,1581590460,1581676800,1581763200,1581849540,1581935940,1582022280,1582108680,1582195020,1582281420,1582367760,1582454100,1582540500,1582626840,1582713240,1582799580,1582885920,1582972320,1583058660,1583145000,1583231340,1583317740,1583404080,1583490420,1583576760,1583663160,1583749500,1583835840,1583922180,1584008580,1584094920,1584181260,1584267600,1584353940
sunsetTime,1579730460,1579816920,1579903320,1579989780,1580076240,1580162640,1580249100,1580335500,1580421960,1580508360,1580594820,1580681220,1580767680,1580854140,1580940540,1581027000,1581113400,1581199860,1581286260,1581372720,1581459120,1581545520,1581631980,1581718380,1581804840,1581891240,1581977700,1582064100,1582150500,1582236960,1582323360,1582409820,1582496220,1582582620,1582669080,1582755480,1582841880,1582928340,1583014740,1583101140,1583187540,1583274000,1583360400,1583446800,1583533200,1583619660,1583706060,1583792460,1583878860,1583965320,1584051720,1584138120,1584224520,1584310980,1584397380
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
