,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin,St Martin
Country/Region,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
Lat,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708,18.0708
Long,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501,-63.0501
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Humid and partly cloudy throughout the day.,Possible light rain in the morning and afternoon.,Possible drizzle in the morning and afternoon.,Possible drizzle in the morning.,"Possible light rain until morning, starting again in the evening.",Possible light rain overnight.,Light rain in the morning.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the morning and overnight.,Possible light rain until evening.,Possible light rain in the morning.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Possible light rain in the morning.,Clear throughout the day.,Partly cloudy throughout the day.
icon,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,clear-day,clear-day,rain,clear-day,clear-day,clear-day,rain,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain
sunriseTime,1579690080,1579776480,1579862880,1579949280,1580035680,1580122020,1580208420,1580294820,1580381220,1580467620,1580553960,1580640360,1580726760,1580813160,1580899500,1580985900,1581072300,1581158640,1581245040,1581331380,1581417780,1581504120,1581590520,1581676920,1581763260,1581849660,1581936000,1582022340,1582108740,1582195080,1582281480,1582367820,1582454160,1582540560,1582626900,1582713300,1582799640,1582885980,1582972380,1583058720,1583145060,1583231400,1583317800,1583404140,1583490480,1583576820,1583663220,1583749560,1583835900,1583922240,1584008580,1584094980,1584181320,1584267660,1584354000
sunsetTime,1579730520,1579816920,1579903380,1579989840,1580076240,1580162700,1580249100,1580335560,1580421960,1580508420,1580594880,1580681280,1580767740,1580854140,1580940600,1581027000,1581113460,1581199860,1581286320,1581372720,1581459180,1581545580,1581632040,1581718440,1581804840,1581891300,1581977700,1582064160,1582150560,1582236960,1582323420,1582409820,1582496280,1582582680,1582669080,1582755540,1582841940,1582928340,1583014800,1583101200,1583187600,1583274000,1583360460,1583446860,1583533260,1583619720,1583706120,1583792520,1583878920,1583965380,1584051780,1584138180,1584224580,1584310980,1584397440
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
