,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon,Gabon
Lat,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037,-0.8037
Long,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094,11.6094
time,1579647600,1579734000,1579820400,1579906800,1579993200,1580079600,1580166000,1580252400,1580338800,1580425200,1580511600,1580598000,1580684400,1580770800,1580857200,1580943600,1581030000,1581116400,1581202800,1581289200,1581375600,1581462000,1581548400,1581634800,1581721200,1581807600,1581894000,1581980400,1582066800,1582153200,1582239600,1582326000,1582412400,1582498800,1582585200,1582671600,1582758000,1582844400,1582930800,1583017200,1583103600,1583190000,1583276400,1583362800,1583449200,1583535600,1583622000,1583708400,1583794800,1583881200,1583967600,1584054000,1584140400,1584226800,1584313200
summary,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the afternoon.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Rain starting in the afternoon.,Light rain and humid throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the afternoon.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Possible light rain in the evening.,Possible light rain starting in the afternoon.,Humid and mostly cloudy throughout the day.,Rain in the morning and afternoon.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and overcast throughout the day.,Possible light rain in the afternoon and evening.,Rain in the afternoon and evening.,Rain in the afternoon and evening.,Humid and partly cloudy throughout the day.,Rain and humid throughout the day.,Possible light rain until evening.,Possible light rain in the evening.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon and evening.,Rain and humid throughout the day.,Humid and overcast throughout the day.,Possible light rain starting in the afternoon.,Possible light rain in the evening.,Possible light rain in the evening.,Rain starting in the afternoon.,Humid and mostly cloudy throughout the day.,Rain in the afternoon and evening.,Rain in the afternoon and evening.,Light rain starting in the afternoon.,Light rain in the morning and afternoon.,Possible light rain in the evening and overnight.,Possible light rain in the morning.,Possible light rain in the afternoon.,Possible light rain and humid throughout the day.,Possible light rain in the afternoon and evening.,Humid and mostly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain until evening.,Light rain starting in the afternoon.
icon,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
sunriseTime,1579670460,1579756920,1579843320,1579929720,1580016180,1580102580,1580188980,1580275380,1580361780,1580448240,1580534640,1580621040,1580707440,1580793840,1580880240,1580966700,1581053100,1581139500,1581225900,1581312300,1581398700,1581485100,1581571500,1581657900,1581744300,1581830700,1581917100,1582003500,1582089900,1582176300,1582262700,1582349100,1582435440,1582521840,1582608240,1582694640,1582781040,1582867440,1582953840,1583040180,1583126580,1583212980,1583299380,1583385780,1583472120,1583558520,1583644920,1583731320,1583817720,1583904060,1583990460,1584076860,1584163200,1584249600,1584336000
sunsetTime,1579714260,1579800660,1579887060,1579973520,1580059920,1580146320,1580232720,1580319120,1580405580,1580491980,1580578380,1580664780,1580751180,1580837580,1580923980,1581010380,1581096780,1581183180,1581269580,1581355980,1581442380,1581528780,1581615180,1581701580,1581787980,1581874380,1581960780,1582047180,1582133580,1582219980,1582306380,1582392780,1582479120,1582565520,1582651920,1582738320,1582824720,1582911060,1582997460,1583083860,1583170260,1583256660,1583343000,1583429400,1583515800,1583602140,1583688540,1583774940,1583861340,1583947680,1584034080,1584120480,1584206820,1584293220,1584379620
moonPhase,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.64,0.67,0.71,0.75,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.43,0.47,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
