,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia
Lat,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154,42.3154
Long,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569,43.3569
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,32.62,33.64,26.89,38.16,40.79,46.93,46.62,49.71,51.54,40.86,35.09,40.62,43.1,38.46,40.51,54.62,39.93,32.91,24.64,34.37,32.15,41.6,36.58,32.81,35.1,46.38,38.33,43.38,53.27,51.08,54.68,55.76,43.05,55.2,34.27,46.31,58.33,60.07,56.75,39.53,53.64,59.64,65.92,66.24,65.25,62.47,66.97,68.08,67.55,69.81,65.98,66.65,54.18,61.74,35.41
apparentTemperatureHighTime,1579683840,1579776000,1579859700,1579947960,1580032500,1580119380,1580206860,1580291700,1580379480,1580447520,1580554320,1580636940,1580724180,1580802840,1580899020,1580983380,1581058080,1581130800,1581242280,1581329160,1581416520,1581500700,1581587580,1581688860,1581760740,1581847680,1581940140,1582023780,1582106880,1582192800,1582279620,1582365900,1582454760,1582541880,1582630620,1582714860,1582801380,1582884240,1582973460,1583049660,1583146860,1583231940,1583319660,1583404140,1583488680,1583575200,1583663700,1583749500,1583836320,1583921040,1584006720,1584093000,1584167820,1584270540,1584356580
apparentTemperatureLow,27.35,21.17,16.62,18.67,20.99,25.64,33.9,34.01,37.85,26.75,25.67,32.47,36.43,20.02,34.34,39.18,30.24,13.55,8.2,6.97,15.63,26.92,24.65,13.92,22.09,22.04,23.01,28.81,31.81,32.24,37.24,38.09,31.24,30.77,24.51,26.13,35.06,31.93,36.34,34.51,32.67,33.78,41.03,44.35,43.07,40.63,42.28,43.39,42.9,44.55,42.25,52.38,42.42,33.64,26.84
apparentTemperatureLowTime,1579718160,1579831380,1579916100,1579977180,1580094120,1580168340,1580267460,1580351100,1580425140,1580526960,1580612940,1580691600,1580787420,1580871000,1580946360,1581045120,1581134400,1581205440,1581302760,1581388740,1581454680,1581545220,1581649320,1581723600,1581821040,1581896040,1581994140,1582079820,1582166700,1582254420,1582340700,1582428000,1582502460,1582601880,1582686660,1582765380,1582857960,1582944060,1583035200,1583098260,1583203140,1583287920,1583376540,1583462400,1583549700,1583635440,1583721360,1583808120,1583894160,1583981400,1584067500,1584154920,1584241200,1584331200,1584415020
apparentTemperatureMax,32.62,33.64,26.89,38.16,40.79,46.93,46.62,49.71,51.54,40.86,35.09,40.62,43.1,38.57,40.51,54.62,41.52,33.68,24.64,34.37,32.15,41.6,36.58,32.81,35.1,46.38,38.33,43.38,53.27,51.08,54.68,55.76,43.05,55.2,42.33,46.31,58.33,60.07,56.75,44.7,53.64,59.64,65.92,66.24,65.25,62.47,66.97,68.08,67.55,69.81,65.98,66.65,54.46,61.74,45.12
apparentTemperatureMaxTime,1579683840,1579776000,1579859700,1579947960,1580032500,1580119380,1580206860,1580291700,1580379480,1580447520,1580554320,1580636940,1580724180,1580777940,1580899020,1580983380,1581036120,1581105600,1581242280,1581329160,1581416520,1581500700,1581587580,1581688860,1581760740,1581847680,1581940140,1582023780,1582106880,1582192800,1582279620,1582365900,1582454760,1582541880,1582574400,1582714860,1582801380,1582884240,1582973460,1583009520,1583146860,1583231940,1583319660,1583404140,1583488680,1583575200,1583663700,1583749500,1583836320,1583921040,1584006720,1584093000,1584129600,1584270540,1584302400
