,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece
Lat,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742,39.0742
Long,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243,21.8243
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,52.8,53.7,50.04,52.32,55.19,43.65,50.01,52.19,52.03,51.96,57.46,54.51,55.17,55.16,37.97,34.26,41.32,42.15,50.15,46.49,54.15,58.14,55.45,46.22,41.51,42.7,54.28,59.98,55.47,48.31,46.23,38.73,54.52,64.24,61.94,55.73,37.93,42.05,52.85,53.88,59.6,61.08,51.78,51.61,53.1,62.02,52.67,49.85,53.3,54.61,61.55,71.47,68.54,55.1,34.26
apparentTemperatureHighTime,1579690980,1579774920,1579870800,1579950960,1580036340,1580112600,1580209140,1580297640,1580381580,1580468400,1580555160,1580648280,1580730900,1580814360,1580878800,1580995020,1581081600,1581163320,1581253080,1581332640,1581419040,1581508080,1581599580,1581699600,1581774180,1581856080,1581945540,1582023960,1582109040,1582192200,1582292880,1582379520,1582465320,1582551480,1582631460,1582714680,1582779600,1582909200,1582983120,1583067540,1583153100,1583230080,1583318460,1583413440,1583492880,1583579460,1583661600,1583753220,1583846160,1583928540,1584020160,1584105900,1584184860,1584265200,1584364080
apparentTemperatureLow,31.86,29.32,32.38,36.36,41.49,32.52,39.18,38.28,29.53,33.77,35.61,35.01,38.58,37.27,24.13,21.13,25.35,27.4,26.73,37.69,41.77,39.13,39.69,36.87,33.83,31.6,37.6,37,38.04,28.62,27.77,27.38,33.52,40.11,40.31,36.96,29.7,28.24,28.91,37.11,46.04,43.27,33.91,33.86,41.56,44.41,39.28,34.83,35.94,37.96,43.22,49.06,45.68,25.94,25.48
apparentTemperatureLowTime,1579741740,1579845060,1579927860,1579996320,1580104800,1580189280,1580277540,1580363820,1580449260,1580534880,1580618400,1580708520,1580795580,1580882400,1580968800,1581029580,1581141600,1581223800,1581312000,1581368880,1581486540,1581573540,1581642540,1581746400,1581832800,1581914820,1581998160,1582088160,1582178220,1582264800,1582349640,1582419660,1582519200,1582605540,1582693140,1582783200,1582859340,1582955640,1583037180,1583104500,1583197680,1583301420,1583376000,1583470200,1583529420,1583645580,1583732520,1583818800,1583897400,1583982240,1584068760,1584152280,1584244920,1584338400,1584396300
apparentTemperatureMax,52.8,53.7,50.04,52.32,55.19,45.67,50.01,52.19,52.03,51.96,57.46,54.51,55.17,55.16,44.88,34.26,41.32,42.15,50.15,46.49,54.15,58.14,55.45,46.23,44.25,42.7,54.28,59.98,55.47,48.31,46.23,38.73,54.52,64.24,61.94,55.73,42.52,42.05,52.85,53.88,59.6,61.08,51.78,51.61,53.1,62.02,52.67,49.85,53.3,54.61,61.55,71.47,68.54,55.1,34.26
apparentTemperatureMaxTime,1579690980,1579774920,1579870800,1579950960,1580036340,1580076000,1580209140,1580297640,1580381580,1580468400,1580555160,1580648280,1580730900,1580814360,1580853600,1580995020,1581081600,1581163320,1581253080,1581332640,1581419040,1581508080,1581599580,1581699840,1581717600,1581856080,1581945540,1582023960,1582109040,1582192200,1582292880,1582379520,1582465320,1582551480,1582631460,1582714680,1582754400,1582909320,1582983120,1583067540,1583153100,1583230080,1583318460,1583413440,1583492880,1583579460,1583661600,1583753220,1583846160,1583928540,1584020160,1584105900,1584184860,1584265200,1584364080
apparentTemperatureMin,28.31,30.69,29.32,32.38,36.36,37.75,32.52,39.18,37.05,29.53,33.77,35.61,35.01,38.58,28.61,23.08,21.13,25.26,27.4,26.73,37.78,41.77,39.13,39.69,35.92,33.79,31.6,37.6,37,31.81,28.62,27.77,27.38,33.52,40.11,40.31,31.74,29.7,28.24,28.91,37.11,46.04,37.61,33.91,33.86,41.69,42.36,38.3,34.83,35.94,37.96,43.22,49.06,35.56,25.58
apparentTemperatureMinTime,1579644000,1579813200,1579845060,1579927860,1579996320,1580158800,1580189280,1580277540,1580418000,1580449260,1580534880,1580618400,1580708520,1580795580,1580903460,1581022800,1581029580,1581142080,1581223800,1581312000,1581378720,1581486540,1581573540,1581642540,1581757200,1581833340,1581914820,1581998160,1582088160,1582232400,1582264920,1582349640,1582419660,1582519200,1582605540,1582693140,1582837200,1582859340,1582955640,1583037180,1583104500,1583197680,1583355600,1583376000,1583470200,1583532000,1583697360,1583787600,1583818800,1583897400,1583982240,1584068760,1584152280,1584306000,1584392400
cloudCover,0.02,0.06,0.23,0.48,0.89,0.89,0.52,0.96,0.49,0.18,0.18,0.49,0.6,0.54,0.86,0.89,0.14,0.1,0,0.39,0.8,0.91,0.85,1,0.9,0.66,0.1,0.08,0.67,0.84,0.68,0.49,0.1,0.12,0.12,0.78,0.45,0.81,0.25,0.38,0.46,0.86,0.94,0.59,0.75,0.34,0.76,0.99,0.78,0.65,0.06,0,0.63,0.79,0.65
dewPoint,8.82,14.2,30.57,37.11,37.48,41.57,37.94,42.55,36.75,30.62,37.36,38.64,38.67,40.5,34.44,27,18.01,22.42,25.06,32.81,42.02,44.37,39.12,42.83,40.2,36.14,31.61,27.7,35.73,39.33,31.4,27.99,21.22,30.8,34.93,41.2,36.8,34.52,21.82,28.24,40.85,37.2,39.62,34.61,37.58,42.42,41.68,40.08,37.66,36.84,35.6,37.78,43,44.35,30.52
humidity,0.3,0.38,0.77,0.84,0.78,0.92,0.84,0.88,0.76,0.7,0.78,0.82,0.8,0.8,0.83,0.82,0.58,0.64,0.67,0.79,0.83,0.87,0.8,0.93,0.95,0.88,0.73,0.5,0.7,0.93,0.81,0.76,0.53,0.54,0.59,0.76,0.79,0.79,0.54,0.61,0.75,0.54,0.77,0.75,0.79,0.73,0.79,0.89,0.81,0.77,0.65,0.57,0.62,0.89,0.83
icon,clear-day,clear-day,clear-day,partly-cloudy-day,cloudy,rain,partly-cloudy-day,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,cloudy,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,rain,rain
moonPhase,0.93,0.96,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0,0.03,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
ozone,336.5,352.5,309.2,292.8,265.7,328.1,344.5,358.7,343.9,300.8,299.7,305.5,315.4,310.3,383,397.2,363.6,342.8,329.8,325.7,264.9,273.9,295,329.1,353.3,338.7,322.3,302,323.5,355.3,317.7,368.3,336,316.7,303.3,307.8,358.4,339.7,305.6,308.3,327.1,325.5,366.5,388.6,307.9,323.7,341.8,371.6,362.1,358.2,320.2,311.6,313.3,319.5,329.9
precipAccumulation,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precipIntensity,0,0.0001,0,0.0001,0.0004,0.0261,0.0002,0.0063,0.0024,0.0001,0.0001,0.0001,0.0001,0.0007,0.0336,0.0064,0.0001,0,0.0001,0.0001,0.0008,0.0003,0.0004,0.0154,0.0139,0.0012,0.0001,0.0002,0,0.0228,0.0003,0.0033,0.0001,0.0001,0.0001,0.0005,0.0058,0.0056,0.0002,0.0001,0.0001,0.0001,0.0126,0.001,0.0001,0.0005,0.0079,0.005,0.0005,0.0007,0.0002,0,0.0002,0.0176,0.0184
precipIntensityMax,0.0001,0.0002,0.0002,0.0003,0.0036,0.1186,0.0007,0.0094,0.0092,0.0003,0.0003,0.0002,0.0003,0.0064,0.1095,0.0209,0.0004,0.0003,0.0003,0.0009,0.0025,0.0017,0.0015,0.048,0.0345,0.0052,0.0003,0.0004,0.0004,0.102,0.0023,0.0155,0.0003,0.0003,0.0003,0.0023,0.0253,0.0194,0.0024,0.0003,0.0002,0.0002,0.0687,0.0051,0.0008,0.0019,0.0231,0.02,0.0017,0.0026,0.0004,0,0.001,0.0619,0.0708
precipIntensityMaxTime,1579651560,1579744800,1579845540,1579985340,1580072400,1580116140,1580213040,1580288580,1580343660,1580504400,1580589960,1580666580,1580762160,1580850000,1580883660,1580969100,1581026400,1581152400,1581237300,1581368400,1581378960,1581521760,1581584760,1581706980,1581735300,1581822540,1581935400,1582053900,1582146000,1582211100,1582236000,1582352640,1582412880,1582567200,1582664160,1582750800,1582804800,1582895220,1582927200,1583064240,1583182800,1583211600,1583302620,1583422740,1583528400,1583614800,1583678340,1583766300,1583854680,1583944740,1583992020,1584122400,1584198120,1584306000,1584316440
precipProbability,0.01,0.02,0.03,0.07,0.13,0.9,0.2,0.58,0.5,0.07,0.08,0.06,0.04,0.19,0.9,0.49,0.04,0.04,0.03,0.07,0.15,0.13,0.14,0.87,0.95,0.29,0.06,0.07,0.06,0.94,0.25,0.45,0.04,0.01,0.01,0.12,0.55,0.57,0.05,0.02,0.05,0.05,0.65,0.19,0.07,0.15,0.69,0.69,0.23,0.1,0.03,0,0.06,0.85,0.84
precipType,,rain,,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,snow,,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,,rain,rain,rain
