,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland
Lat,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631,64.9631
Long,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208,-19.0208
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,24.46,-1.51,7.82,11.34,12.09,12.8,4.42,10.51,14.13,12.65,2.2,5.46,11.33,19.18,25.28,23.58,24.59,12.54,9.65,13.52,4.95,-2.72,-7.71,17.56,10.84,15.33,12.09,12.96,8.85,16.82,14.14,7.74,7.52,15.76,9.24,-0.87,-5.87,11.18,16.81,9.48,9.21,16.65,12.44,12.99,6.14,-1.8,2.62,-2.22,8.25,9.14,1.51,21.38,2.07,6.51,17.71
apparentTemperatureHighTime,1579683480,1579762800,1579889640,1579978800,1580065200,1580133120,1580238000,1580324400,1580410800,1580478600,1580554380,1580651820,1580737920,1580842800,1580929200,1580972400,1581058800,1581145200,1581256140,1581342240,1581404400,1581515340,1581613200,1581706800,1581793200,1581876120,1581941340,1582033680,1582138800,1582203180,1582301940,1582383720,1582484400,1582563240,1582614000,1582726080,1582811700,1582909260,1582984740,1583070900,1583156700,1583243760,1583330220,1583419260,1583503020,1583600460,1583675400,1583762280,1583866800,1583935080,1584039600,1584108180,1584199080,1584298800,1584349020
apparentTemperatureLow,-2.15,-3.33,-2.04,1.57,-1.49,0.18,-0.19,7.81,7.43,0.88,-5.09,-1.33,7.61,19.18,22.51,18.63,10.92,1.76,-0.34,3.26,-9.62,-17.07,-9.08,0.83,8.55,11.33,7.52,0.71,8.55,1.36,6.03,-1.72,7.52,2.5,-3.63,-8.7,-8.35,4.16,4.91,0.88,3.04,0.47,-5.85,-1.13,-9.69,-3.24,-14.03,-8.1,4.9,-6.89,1.51,-8.51,-12.42,6.51,11.89
apparentTemperatureLowTime,1579752840,1579806000,1579922820,1580014020,1580101980,1580181120,1580268300,1580371200,1580441040,1580544000,1580630400,1580700300,1580785680,1580842800,1580976000,1581015600,1581148800,1581235200,1581282120,1581408000,1581488040,1581580800,1581637740,1581753600,1581840000,1581926400,1581973800,1582099200,1582168680,1582243740,1582358400,1582427820,1582484400,1582617600,1582704000,1582790400,1582843620,1582956300,1583049600,1583129280,1583193360,1583303460,1583393760,1583475180,1583568000,1583648760,1583713080,1583787660,1583913600,1584000000,1584039600,1584172200,1584251100,1584298800,1584392340
apparentTemperatureMax,24.46,1.19,7.86,11.54,12.16,12.8,6.43,11.97,14.28,12.65,12.27,5.46,11.33,25.04,26.19,26.08,25.24,21.11,11.09,13.52,12.41,-2.72,-7.42,20.81,17.45,15.33,14.66,12.96,14.68,16.82,14.14,13.7,11.26,15.76,12.48,2.3,-3.94,11.18,16.81,10.18,9.21,16.65,12.44,12.99,6.14,2.62,2.62,-2.22,8.65,9.14,4.54,21.38,2.07,11.39,17.71
apparentTemperatureMaxTime,1579683480,1579737600,1579894800,1579980780,1580065980,1580133120,1580241840,1580327580,1580342520,1580478600,1580521800,1580651820,1580737920,1580857200,1580938380,1580957880,1581054840,1581120000,1581214080,1581342240,1581379200,1581515340,1581623700,1581710580,1581806940,1581876120,1581915000,1582033680,1582149360,1582203180,1582301940,1582330620,1582498800,1582563240,1582600320,1582675200,1582761600,1582909260,1582984740,1583027700,1583156700,1583243760,1583330220,1583419260,1583503020,1583622000,1583675400,1583762280,1583871600,1583935080,1584054000,1584108180,1584199080,1584313200,1584349020
