,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia
Lat,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893,-0.7893
Long,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213,113.9213
apparentTemperatureLow,75.67,76.09,75.13,74.81,75.56,76.29,74.55,74.1,73.96,71.77,75.28,75.1,74.55,74.44,73.55,73.1,72.77,74,74.03,72.36,73.8,74.93,75.84,76.07,73.47,75.33,72.84,72.62,72.88,74.31,74.03,75.2,76.29,75.39,75.02,73.32,75.5,74.44,74.63,74.04,75.65,73.43,74.66,72.01,73.74,73.79,75.66,74.85,75.45,74.79,75.14,75.23,73.82,75.67,74.78
precipIntensity,0.0015,0.004,0.0069,0.0093,0.0123,0.0081,0.0135,0.0285,0.0664,0.0035,0.0027,0.007,0.0187,0.0087,0.0186,0.0064,0.0128,0.0085,0.0476,0.0066,0.0264,0.0019,0.0035,0.005,0.0307,0.0376,0.0265,0.0019,0.0024,0.0066,0.023,0.003,0.0076,0.026,0.02,0.0406,0.0092,0.066,0.0048,0.0056,0.0025,0.0212,0.0065,0.0401,0.0053,0.0186,0.0065,0.02,0.0046,0.0029,0.027,0.0125,0.0146,0.004,0.0163
temperatureHighTime,1579679520,1579757100,1579848060,1579934520,1580015520,1580109300,1580197980,1580274540,1580360460,1580457000,1580533800,1580625420,1580701260,1580796360,1580892240,1580965500,1581058380,1581138720,1581235500,1581316560,1581406740,1581489960,1581577080,1581662160,1581753180,1581838200,1581914940,1582002540,1582088340,1582175520,1582270920,1582355940,1582443000,1582520700,1582612860,1582699560,1582780620,1582866660,1582952400,1583039580,1583130960,1583221860,1583304900,1583390640,1583477220,1583564280,1583654160,1583740560,1583823120,1583907420,1583996280,1584086040,1584162180,1584256620,1584341880
temperatureMax,93.82,92.93,87.92,87.74,90.05,94.61,86.16,93.89,79.9,87.71,91.54,90.58,85.33,89.22,83.8,88.65,85.12,89.81,81.38,84.82,93.64,96,92.52,91.64,89.02,88.03,84.9,82.73,92.3,90.2,90.28,93.71,96.7,89.96,90.64,86.98,90.98,82.99,88.89,87.84,89.79,83.66,88.27,84.3,85.5,91.6,87.19,90.29,94.02,98.35,88.87,90.26,88.28,97.04,91.77
windSpeed,2.43,2.49,2.15,2.15,1.73,1.55,1.78,1.49,1.4,2,2.36,2.19,1.82,1.86,1.81,1.95,1.56,1.64,1.6,2.09,1.83,1.55,1.76,1.9,1.78,1.79,2.34,2.23,1.71,1.87,2.07,2,1.85,1.94,2.06,1.92,1.7,1.54,1.69,1.95,1.84,1.52,1.75,2.18,2.31,1.78,1.55,2.12,1.74,1.97,1.87,1.88,1.85,2.16,2.19
apparentTemperatureMin,74.65,75.67,76.09,75.13,74.81,75.56,76.29,74.55,74.1,73.96,71.77,75.28,75.1,74.55,74.44,73.55,73.1,72.77,74,74.03,72.36,73.8,74.93,75.84,76.07,73.47,74.04,72.84,72.62,72.88,74.31,74.03,75.2,76.29,75.39,74.51,73.32,75.5,74.44,74.63,74.04,75.2,73.43,74.66,72.01,73.74,73.79,75.66,74.85,75.45,74.79,75.14,75.23,73.82,75.67
