,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland
Lat,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424,53.1424
Long,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921,-7.6921
apparentTemperatureLow,39.88,35.04,33.87,36.97,25.27,24.68,28.12,35.05,39.77,34.94,33.95,31.98,28.52,25.6,28.29,30.8,26.13,38.78,27.37,23.84,25.75,30.25,29.46,34.06,29.09,29.01,29.1,28.12,30.43,30.5,33.23,33.51,29.97,27.2,24.97,24.22,29.98,23.91,26.96,24.5,28.2,29.72,27.67,27.73,34.49,33.88,31.9,50.19,32.96,25.89,33,34.7,32.05,24.38,38.05
precipIntensity,0.0013,0.0005,0.0003,0.0011,0.01,0.009,0.0061,0.0005,0.0011,0.0039,0.0027,0.0067,0.0012,0.0015,0.0001,0.0002,0.0067,0.0171,0.0508,0.0151,0.007,0.0099,0.0037,0.0077,0.025,0.013,0.0046,0.0073,0.0186,0.0202,0.0236,0.0088,0.0143,0.032,0.0105,0.0011,0.0004,0.0187,0.0195,0.0034,0.0027,0.0009,0.0007,0.0028,0.0025,0.0053,0.0058,0.0272,0.0093,0.0148,0.0035,0.0019,0.0087,0.0037,0.0023
temperatureHighTime,1579701540,1579787700,1579873740,1579960380,1580022000,1580132460,1580219520,1580306400,1580382660,1580468100,1580565540,1580648580,1580736840,1580824200,1580910540,1580996940,1581085080,1581188400,1581231600,1581321660,1581432780,1581515640,1581599880,1581674340,1581764040,1581857640,1581940860,1582023780,1582138800,1582205880,1582311600,1582376100,1582465740,1582527600,1582639740,1582725180,1582811280,1582893060,1583002500,1583070000,1583156820,1583243400,1583329440,1583416800,1583500560,1583587380,1583670360,1583780400,1583823600,1583932980,1584022200,1584107880,1584199680,1584279780,1584366540
temperatureMax,49.03,45.84,46.94,48.36,49,43.69,43.89,48.59,51.02,53.7,49.82,51.99,47.19,49.78,49.49,48.47,49.77,51.05,53.16,41.69,42.43,46.13,46.91,51.36,51.27,47,45.66,45.68,49.44,49.89,51.54,51.8,47.67,52.08,41.54,45.3,46.86,53.32,43.8,44.7,45.27,47.9,48.03,46.63,48.53,53.64,47.28,53.5,53.47,49.26,46.58,49.01,52.31,49.44,51.15
windSpeed,2.48,2.46,5.61,12.65,13.92,13.49,15.36,14.32,14.56,18.68,18.07,17.8,16.46,12.85,6.37,9.6,17.86,22.53,28.21,23.3,22.21,13.21,9.48,17.31,22.67,25.5,20.19,17.55,15.75,18.62,22.83,20.38,9.49,19.29,16.86,13.68,9.04,14.94,25.87,17.92,14.71,10.58,3.43,4.99,11.67,19.37,18.07,18.05,18.01,18.54,22.15,12.02,14.17,14.07,14.37
apparentTemperatureMin,41.64,39.37,35.04,33.87,30.01,25.27,24.68,28.12,35.05,39.04,34.94,33.95,31.18,28.52,25.6,28.29,30.8,26.13,29.24,25.92,23.84,25.75,30.1,29.46,34.18,29.01,29.59,28.71,28.12,30.04,31.37,33.23,31.77,29.97,24.97,26.16,24.22,30.98,22.36,26.96,24.5,28.2,29.72,27.67,27.73,36.6,33.31,31.9,32.98,26.2,25.89,33,34.7,31.33,24.38
