,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel
Lat,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
Long,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,50.53,53.46,41.51,54.57,56.97,60.06,60.12,56.28,60.65,57.25,56.11,58.85,62.07,59.57,63.34,67.75,51.7,52.64,44.68,44.52,54.14,62.9,67.73,66.82,69.55,59.21,62.22,64.06,56.44,56.39,62.07,59.53,61.48,59.07,55.97,62.92,68.85,71.13,62.05,58.48,62.08,70.14,76.71,77.96,57.6,62.2,74.55,78.28,70.11,79.47,77.77,57,59.14,65.81,71.32
apparentTemperatureHighTime,1579690740,1579776840,1579852920,1579957380,1580036760,1580122800,1580209260,1580291580,1580381880,1580468580,1580554500,1580641200,1580727180,1580813940,1580900460,1580986800,1581085500,1581158460,1581244920,1581331800,1581418800,1581508320,1581591780,1581678060,1581764400,1581847260,1581937740,1582023660,1582105860,1582199940,1582283220,1582369320,1582456020,1582537860,1582631340,1582724760,1582808580,1582890300,1582974240,1583068560,1583155260,1583240220,1583323800,1583406000,1583480280,1583587740,1583673480,1583755140,1583838360,1583932320,1584007080,1584088440,1584183780,1584278520,1584365100
apparentTemperatureLow,38.5,36.2,35.57,37.98,38.8,45.14,40.77,42.91,40.6,36.6,40.58,43.98,43.09,44.25,47.25,44.7,36.5,35.91,32.4,35.81,40.52,44.83,45.15,51.04,44.98,47.67,45.69,44.59,42.91,44.08,39.39,43.44,41.02,42.79,43.03,45.87,49.78,45.01,40.2,41.8,43.69,52.47,53.29,53,43.49,45.01,54.73,52.57,49.66,66.26,51.92,51.42,48.44,51.2,51.97
apparentTemperatureLowTime,1579754520,1579845360,1579900320,1580009640,1580082960,1580168820,1580255700,1580353740,1580439720,1580526060,1580600760,1580695380,1580786520,1580869680,1580954460,1581041460,1581119640,1581224400,1581291780,1581379020,1581465420,1581559920,1581646140,1581733080,1581822360,1581890460,1581996660,1582090020,1582152840,1582251600,1582340280,1582425660,1582502460,1582588260,1582670940,1582772220,1582855500,1582944180,1583039880,1583106480,1583200800,1583290140,1583373660,1583457420,1583539200,1583633280,1583719620,1583806680,1583892780,1583967000,1584075120,1584136860,1584229740,1584325380,1584412320
apparentTemperatureMax,50.53,53.46,41.51,54.57,56.97,60.06,60.12,56.28,60.65,57.25,56.11,58.85,62.07,59.57,63.34,67.75,51.7,52.64,44.68,44.52,54.14,62.9,67.73,66.82,69.55,59.21,62.22,64.06,56.44,56.39,62.07,59.53,61.48,59.07,55.97,62.92,68.85,71.13,62.05,58.48,62.08,70.14,76.71,77.96,57.6,62.2,74.55,78.28,70.11,79.47,77.77,58.35,59.14,65.81,71.32
apparentTemperatureMaxTime,1579690740,1579776840,1579852920,1579957380,1580036760,1580122800,1580209260,1580291580,1580381880,1580468580,1580554500,1580641200,1580727180,1580813940,1580900460,1580986800,1581085500,1581158460,1581244920,1581331800,1581418800,1581508320,1581591780,1581678060,1581764400,1581847260,1581937740,1582023660,1582105860,1582199940,1582283220,1582369320,1582456020,1582537860,1582631340,1582724760,1582808580,1582890300,1582974240,1583068560,1583155260,1583240220,1583323800,1583406000,1583480280,1583587740,1583673480,1583755140,1583838360,1583932320,1584007080,1584050400,1584183780,1584278520,1584365100
apparentTemperatureMin,36.19,38.5,35.59,35.77,37.98,38.8,42.36,40.77,42.91,39.16,36.6,40.58,43.98,43.09,44.25,47.25,39.96,36.5,34.82,32.4,35.81,40.52,44.83,45.15,50.89,44.98,47.67,45.69,43.51,42.91,44.08,39.39,43.44,41.02,42.79,43.03,45.87,49.78,45.01,40.2,41.8,43.69,52.47,53.29,45.77,43.49,45.01,54.73,52.04,49.66,60.7,51.5,50.3,48.44,51.2
