,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
Lat,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
Long,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,54.88,54.52,54.59,57.2,54.85,56.29,59.74,57.93,59.77,56.04,60.58,62.11,64.81,61.64,54.31,52.38,57.49,57.93,57.32,61.2,63.17,63.05,61.25,62.79,63.41,64.33,63.46,59.46,58.33,58.72,61.24,63.42,66.3,63.9,60.96,56.23,57.21,59.78,60.34,58.02,58.93,52.47,52,56.02,59.44,55.37,56.35,58.25,61.42,69.2,66.13,67.34,64.5,59.12,65.69
apparentTemperatureHighTime,1579701000,1579787400,1579873860,1579958400,1580046660,1580131380,1580217840,1580303880,1580391780,1580478840,1580563140,1580651400,1580736420,1580814240,1580909100,1580995560,1581083460,1581169860,1581254940,1581342900,1581418440,1581515220,1581599520,1581688380,1581774420,1581860880,1581945840,1582028220,1582117260,1582206600,1582292820,1582379640,1582465860,1582552440,1582638900,1582714620,1582809540,1582896540,1582982160,1583060880,1583146380,1583233260,1583326680,1583413560,1583500440,1583587140,1583673900,1583759940,1583848500,1583934780,1584015120,1584105480,1584195540,1584279000,1584366900
apparentTemperatureLow,34.14,32.5,41.45,42.09,36.75,39.22,43.46,36.81,40.42,45.64,47.28,45.09,38.96,30.36,28.86,27.08,27.55,29.03,41.66,46.78,40.75,34.67,39.68,33.45,32.1,32.9,35.12,36.79,32.8,30.07,33.58,33.58,35.03,39.98,44.05,29.86,41.66,26.62,42.84,38.43,39.39,34.15,31.38,41.33,37.14,35.71,29.7,32.14,35.58,40.03,38.86,44.22,38.08,32.56,34.41
apparentTemperatureLowTime,1579755300,1579842360,1579925520,1580016960,1580103780,1580166240,1580275860,1580360400,1580423760,1580536380,1580595660,1580707800,1580791440,1580878680,1580968320,1581050340,1581138000,1581227940,1581282840,1581390060,1581486720,1581572340,1581628140,1581742800,1581829260,1581915360,1581997860,1582089600,1582175640,1582261200,1582344540,1582434000,1582516800,1582587840,1582694700,1582780500,1582869360,1582952280,1583012160,1583123820,1583214900,1583298000,1583383620,1583445120,1583538300,1583644680,1583733420,1583817120,1583902920,1583986980,1584074100,1584160980,1584251220,1584334620,1584420780
apparentTemperatureMax,54.88,54.52,54.59,57.2,54.85,56.29,59.74,57.93,59.77,56.04,60.58,62.11,64.81,61.64,54.31,52.38,57.49,57.93,57.32,61.2,63.17,63.05,61.25,62.79,63.41,64.33,63.46,59.46,58.33,58.72,61.24,63.42,66.3,63.9,60.96,56.23,57.21,59.78,60.34,58.02,58.93,52.47,52,56.02,59.44,55.37,56.35,58.25,61.42,69.2,66.13,67.34,64.5,59.12,65.69
apparentTemperatureMaxTime,1579701000,1579787400,1579873860,1579958400,1580046660,1580131380,1580217840,1580303880,1580391780,1580478840,1580563140,1580651400,1580736420,1580814240,1580909100,1580995560,1581083460,1581169860,1581254940,1581342900,1581418440,1581515220,1581599520,1581688380,1581774420,1581860880,1581945840,1582028220,1582117260,1582206600,1582292820,1582379640,1582465860,1582552440,1582638900,1582714620,1582809540,1582896540,1582982160,1583060880,1583146380,1583233260,1583326680,1583413560,1583500440,1583587140,1583673900,1583759940,1583848500,1583934780,1584015120,1584105480,1584195540,1584279000,1584366900
