,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
Lat,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
Long,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,50.45,44.4,53.84,41.14,45.42,36.51,42.31,54.25,42.61,36.72,44.35,45.44,43.47,45.95,36.07,26.37,39.82,38.06,33.08,34.08,44.9,54.5,58.81,56.05,54.89,52.73,41.4,28.38,47.51,48.87,54.11,43.99,36.9,55.49,47.69,46.74,34.65,46.89,53.72,53.72,55.73,54.49,51.32,32.54,48.65,54.47,44.06,66.39,51.86,52.09,56.14,58.22,40.26,40.98,33.1
apparentTemperatureHighTime,1579669140,1579755720,1579841160,1579924740,1580010900,1580091240,1580183220,1580273520,1580358360,1580446080,1580531820,1580619240,1580703600,1580791380,1580875080,1580961720,1581047940,1581126660,1581224040,1581309780,1581396960,1581482940,1581570060,1581655500,1581745440,1581847200,1581911640,1582001700,1582088220,1582173960,1582261200,1582335660,1582434000,1582519560,1582596120,1582689360,1582775280,1582865460,1582951680,1583038500,1583122560,1583211300,1583288400,1583371140,1583467200,1583556900,1583642580,1583729820,1583812560,1583901300,1583989080,1584072360,1584161400,1584245580,1584323640
apparentTemperatureLow,31.02,34.27,25.85,27.74,24.68,25.12,33.76,25.06,22.88,17.22,20.09,19.31,18.66,17.45,9.03,9.98,16.53,15.75,13.14,15.89,15.47,32.39,28.17,25.82,28.92,33.78,18.59,16.51,24.58,26.53,27.88,26.28,21.88,25.91,32.67,24.66,17.9,24.57,28.79,32.56,25.52,30.84,30.46,19.23,23.19,32.14,27.45,40.86,39.35,25.16,22.64,31.37,22.87,22.23,14.53
apparentTemperatureLowTime,1579715700,1579815000,1579895760,1579968600,1580046300,1580158680,1580224440,1580331960,1580418360,1580503800,1580589960,1580677620,1580755680,1580830020,1580935500,1580994180,1581088680,1581202800,1581280620,1581367980,1581450780,1581520500,1581625920,1581711600,1581785280,1581894000,1581973200,1582058520,1582144980,1582205160,1582298100,1582396620,1582489560,1582575360,1582666740,1582750560,1582836480,1582926420,1583010600,1583095620,1583181480,1583255160,1583362800,1583440980,1583526780,1583608560,1583697540,1583787360,1583874780,1583952480,1584045300,1584122820,1584219540,1584290760,1584391200
apparentTemperatureMax,50.45,44.4,53.84,41.14,45.42,36.51,42.31,54.25,42.61,36.72,44.35,45.44,43.47,45.95,36.07,26.37,39.82,38.06,33.08,34.08,44.9,54.5,58.81,56.05,54.89,53.64,52.3,28.38,47.51,48.87,54.11,43.99,36.9,55.49,47.69,46.74,34.65,46.89,53.72,53.72,55.73,54.49,51.32,36.35,48.65,54.47,44.06,66.39,52.57,52.09,56.14,58.22,40.26,40.98,33.1
apparentTemperatureMaxTime,1579669140,1579755720,1579841160,1579924740,1580010900,1580091240,1580183220,1580273520,1580358360,1580446080,1580531820,1580619240,1580703600,1580791380,1580875080,1580961720,1581047940,1581126660,1581224040,1581309780,1581396960,1581482940,1581570060,1581655500,1581745440,1581854280,1581865200,1582001700,1582088220,1582173960,1582261200,1582335660,1582434000,1582519560,1582596120,1582689360,1582775280,1582865460,1582951680,1583038500,1583122560,1583211300,1583288400,1583334000,1583467200,1583556900,1583642580,1583729820,1583842500,1583901300,1583989080,1584072360,1584161400,1584245580,1584323640
