,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Lat,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196,48.0196
Long,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237,66.9237
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,6.59,15.99,20.27,4.67,5.33,11.73,9.23,-0.1,2.39,1.07,6.85,15.49,26.63,19.38,27.71,15.1,26.93,33.37,30.33,-3.36,5.24,0.1,3.09,22.56,18.41,9.8,7.17,12.12,12.77,19.7,21.82,25.1,17.7,13.9,26.73,31,13.52,25.5,23.23,29.16,29.17,27.02,31.94,29.73,5.81,8.66,25.32,40.24,36.01,34.41,32.71,36.05,43.78,40.9,51.39
apparentTemperatureHighTime,1579689720,1579779300,1579852980,1579914000,1580035740,1580111460,1580184720,1580284980,1580372700,1580458140,1580550660,1580644440,1580723280,1580810400,1580896200,1580976300,1581062700,1581148740,1581210000,1581296400,1581414360,1581501120,1581555600,1581674280,1581767340,1581853920,1581926280,1582018680,1582112760,1582192260,1582279080,1582365120,1582451340,1582538760,1582631580,1582696860,1582804440,1582884240,1582972380,1583056500,1583128020,1583229120,1583318340,1583401860,1583480820,1583575680,1583661420,1583748120,1583827140,1583920260,1584006660,1584093480,1584179100,1584266280,1584355320
apparentTemperatureLow,4.93,13.85,1.06,-3.51,4.73,1.31,-12.22,-13.59,-13.75,-11.38,-9.41,4.63,12.66,17.99,1.57,4.12,25.12,27.24,-6.23,-8.96,-20.44,-2.56,-5.12,9.59,5.95,2.24,-7.8,-5.26,-1.04,4.16,16,5.86,-4.44,4.39,18.62,7.27,6.56,-0.95,6.52,20.35,-0.83,3.45,2.99,-3.38,-17.17,-8.96,-0.66,11.82,18.67,7.84,8.52,17.71,22.72,37.21,29.59
apparentTemperatureLowTime,1579705080,1579791060,1579917600,1579973880,1580043600,1580130840,1580263200,1580325660,1580435760,1580522220,1580606940,1580695200,1580752200,1580829000,1580954400,1581014580,1581080400,1581213600,1581300000,1581347760,1581464640,1581513000,1581613440,1581724260,1581818400,1581897120,1581989700,1582051560,1582156380,1582249200,1582329060,1582398780,1582507200,1582563540,1582644660,1582768800,1582833120,1582934280,1583025660,1583090220,1583200620,1583286540,1583357700,1583459340,1583546100,1583632200,1583708520,1583791140,1583892000,1583978220,1584064500,1584146580,1584227160,1584324000,1584410400
apparentTemperatureMax,6.59,16.06,20.27,14.83,9.66,13.98,9.23,0.64,2.39,1.07,6.85,15.49,26.63,19.38,27.71,22.69,26.93,33.37,36.09,-1.96,5.24,0.25,8.06,22.56,18.41,17.27,7.17,12.12,12.77,19.7,21.82,25.1,17.7,13.9,26.73,31,15.03,25.5,23.23,29.16,29.17,27.02,31.94,29.73,12.96,8.66,25.32,40.24,36.01,34.41,32.71,36.05,43.78,40.9,51.39
apparentTemperatureMaxTime,1579689720,1579796160,1579852980,1579888800,1580058000,1580081340,1580184720,1580250240,1580372700,1580458140,1580550660,1580644440,1580723280,1580810400,1580896200,1580925600,1581062700,1581148740,1581206040,1581271200,1581414360,1581526800,1581550620,1581674280,1581767340,1581789600,1581926280,1582018680,1582112760,1582192260,1582279080,1582365120,1582451340,1582538760,1582631580,1582696860,1582740000,1582884240,1582972380,1583056500,1583128020,1583229120,1583318340,1583401860,1583431200,1583575680,1583661420,1583748120,1583827140,1583920260,1584006660,1584093480,1584179100,1584266280,1584355320
