,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya
Lat,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236,-0.0236
Long,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062,37.9062
time,1579640400,1579726800,1579813200,1579899600,1579986000,1580072400,1580158800,1580245200,1580331600,1580418000,1580504400,1580590800,1580677200,1580763600,1580850000,1580936400,1581022800,1581109200,1581195600,1581282000,1581368400,1581454800,1581541200,1581627600,1581714000,1581800400,1581886800,1581973200,1582059600,1582146000,1582232400,1582318800,1582405200,1582491600,1582578000,1582664400,1582750800,1582837200,1582923600,1583010000,1583096400,1583182800,1583269200,1583355600,1583442000,1583528400,1583614800,1583701200,1583787600,1583874000,1583960400,1584046800,1584133200,1584219600,1584306000
summary,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and overcast throughout the day.,Possible light rain in the afternoon.,Possible light rain in the morning and afternoon.,Rain and humid throughout the day.,Rain until evening.,Light rain starting in the afternoon.,Possible light rain in the morning.,Rain until evening.,Rain and humid throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Humid and partly cloudy throughout the day.,Rain in the morning and afternoon.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain in the morning.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the morning.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Rain in the morning.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Light rain and humid throughout the day.,Possible light rain until evening.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and overcast throughout the day.,Humid and overcast throughout the day.,Humid and overcast throughout the day.,Mostly cloudy throughout the day.,Possible light rain overnight.,Possible light rain overnight.,Possible light rain in the morning.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Rain in the morning.,Possible light rain in the morning.,Humid and overcast throughout the day.,Possible light rain overnight.,Possible light rain in the morning.
icon,partly-cloudy-day,cloudy,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,cloudy,rain,rain,clear-day,partly-cloudy-day,rain,rain,rain,rain,cloudy,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
sunriseTime,1579664220,1579750680,1579837080,1579923480,1580009880,1580096340,1580182740,1580269140,1580355540,1580441940,1580528400,1580614800,1580701200,1580787600,1580874000,1580960400,1581046800,1581133200,1581219600,1581306000,1581392460,1581478860,1581565260,1581651660,1581738000,1581824400,1581910800,1581997200,1582083600,1582170000,1582256400,1582342800,1582429200,1582515600,1582602000,1582688340,1582774740,1582861140,1582947540,1583033940,1583120280,1583206680,1583293080,1583379480,1583465880,1583552220,1583638620,1583725020,1583811420,1583897760,1583984160,1584070560,1584156900,1584243300,1584329700
sunsetTime,1579707840,1579794300,1579880700,1579967100,1580053560,1580139960,1580226360,1580312760,1580399160,1580485560,1580572020,1580658420,1580744820,1580831220,1580917620,1581004020,1581090420,1581176820,1581263220,1581349620,1581436020,1581522420,1581608820,1581695220,1581781620,1581868020,1581954420,1582040820,1582127220,1582213620,1582300020,1582386420,1582472820,1582559220,1582645560,1582731960,1582818360,1582904760,1582991160,1583077500,1583163900,1583250300,1583336700,1583423100,1583509440,1583595840,1583682240,1583768640,1583854980,1583941380,1584027780,1584114120,1584200520,1584286920,1584373320
moonPhase,0.93,0.96,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.59,0.63,0.67,0.71,0.74,0.78,0.81,0.84,0.88,0.91,0.94,0.97,0,0.03,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.28,0.31,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
