,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,"Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South","Korea, South"
Lat,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
Long,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,44.28,48.66,52.13,49.29,47.51,33.99,42.91,45.2,47.44,44.47,41.65,47.98,37.46,42.92,25.02,35.04,37.66,34.61,41.33,52.09,57.55,47.91,56.73,60.11,60.71,30.71,18.22,31.66,47.79,54.22,56.26,42.66,48.72,60.54,40.09,51.96,45.41,42.23,54,56.52,44.88,54.94,40.09,43.31,55.33,52.54,58.29,58.75,44.67,40.82,59.79,55.53,45.03,43.92,52.84
apparentTemperatureHighTime,1579665900,1579755060,1579841340,1579924860,1580010900,1580118900,1580191980,1580263380,1580359800,1580440080,1580529240,1580617920,1580705760,1580791380,1580879100,1580961420,1581047220,1581137940,1581223560,1581310080,1581396780,1581494460,1581569760,1581656280,1581742800,1581804000,1581911460,1582002060,1582087980,1582174380,1582261260,1582343160,1582433760,1582519740,1582600740,1582689600,1582779480,1582855440,1582952520,1583038200,1583125260,1583211600,1583297100,1583380740,1583467260,1583554500,1583643720,1583727720,1583791200,1583902500,1583988540,1584074880,1584162060,1584243600,1584334080
apparentTemperatureLow,35.63,28.02,38.78,32.83,30.9,32.19,34.6,30.72,31.57,19.97,25.33,23.15,14.95,7.47,5.6,20.23,21.06,15.72,22.78,26.81,39.11,41.66,35.63,37.14,28.33,13.3,9.57,15.51,29.65,28.91,33.72,23.82,25.66,38.78,38.16,32.94,30.34,32.47,32.97,27.26,31.78,31.56,19.49,21.18,34.08,31.96,34.38,44.31,24.76,24.54,30.86,21.83,29.57,21.91,25.25
apparentTemperatureLowTime,1579706220,1579815000,1579900620,1579986540,1580079600,1580123460,1580245320,1580332140,1580419020,1580503920,1580575500,1580666220,1580748060,1580857200,1580934720,1581021480,1581088500,1581191340,1581261300,1581349500,1581462000,1581547500,1581607260,1581713340,1581807600,1581888000,1581936360,1582045620,1582145700,1582231560,1582326000,1582405440,1582472280,1582581360,1582631100,1582752240,1582830120,1582919940,1583008800,1583103600,1583182140,1583275980,1583323200,1583440680,1583528280,1583613540,1583700060,1583794800,1583880060,1583948280,1584042420,1584133620,1584219600,1584305640,1584390960
apparentTemperatureMax,44.28,48.66,52.13,49.29,47.51,36.5,42.91,45.2,47.44,44.47,41.65,47.98,37.46,42.92,25.16,35.04,37.66,34.61,41.33,52.09,57.55,47.91,56.73,60.11,60.71,48.13,18.22,31.66,47.79,54.22,56.26,43.08,48.72,60.54,44.72,51.96,45.41,42.23,54,56.52,44.88,54.94,40.09,43.31,55.33,52.54,58.29,58.75,46.88,40.82,59.79,55.53,45.03,43.92,52.84
apparentTemperatureMaxTime,1579665900,1579755060,1579841340,1579924860,1580010900,1580050800,1580191980,1580263380,1580359800,1580440080,1580529240,1580617920,1580705760,1580791380,1580828400,1580961420,1581047220,1581137940,1581223560,1581310080,1581396780,1581494460,1581569760,1581656280,1581742800,1581778800,1581911460,1582002060,1582087980,1582174380,1582261260,1582300740,1582433760,1582519740,1582556400,1582689600,1582779480,1582855440,1582952520,1583038200,1583125260,1583211600,1583297100,1583380740,1583467260,1583554500,1583643720,1583727720,1583766000,1583902500,1583988540,1584074880,1584162060,1584243600,1584334080
