,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia
Lat,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796,56.8796
Long,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032,24.6032
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,31.31,31.24,36.25,33.99,32.85,35.96,24.15,33.12,33.98,33.87,37.97,35.53,28.61,31.82,26.09,27.58,26.83,32.03,31.64,34.97,31.32,34.12,32.68,34.89,28.89,33.67,41.56,36.87,35.02,38.83,31.1,28.78,31.47,32.27,29.45,33.72,31.73,26.01,31.22,39.06,40.79,41.04,40.41,38.56,46.36,39.06,42.44,43.61,39,36.42,37.78,34.54,22.48,32.39,35.35
apparentTemperatureHighTime,1579669200,1579776720,1579885200,1579949820,1580036460,1580133660,1580230800,1580295480,1580382240,1580479380,1580576400,1580619600,1580731980,1580803020,1580908020,1580965200,1581078960,1581159300,1581253800,1581343380,1581414180,1581508740,1581598920,1581695940,1581771720,1581872400,1581919080,1582034160,1582109700,1582205040,1582304400,1582347600,1582460280,1582550940,1582631340,1582715160,1582797360,1582902240,1582985460,1583067960,1583152560,1583240160,1583322360,1583416560,1583500740,1583597400,1583669760,1583760300,1583851320,1583919660,1584021000,1584108480,1584166980,1584277680,1584356700
apparentTemperatureLow,27.33,27.32,30.28,24.21,31.6,22.41,24.15,27.5,26.16,29.89,34.77,27.2,26.08,16.33,22.11,14.68,21.81,19.05,22.67,29.66,27.64,27.46,26.88,21.55,20.98,33.67,34.57,30.8,31.58,23.36,28.53,27.25,29.11,20.67,25.93,25.79,22.63,20.51,25.02,29.51,32.3,31.92,32.77,24.18,29.91,32.06,25.21,26.08,31.04,30.17,28.32,17.96,15.73,22.92,27.78
apparentTemperatureLowTime,1579715940,1579801260,1579932000,1580004840,1580099820,1580191200,1580230800,1580342160,1580443140,1580536800,1580623200,1580695620,1580787300,1580877540,1580926920,1581051480,1581107400,1581224040,1581314400,1581396060,1581461820,1581531300,1581655380,1581742980,1581828480,1581872400,1581969780,1582069620,1582174920,1582260840,1582351200,1582431660,1582521540,1582606140,1582676220,1582756140,1582865760,1582952940,1583041080,1583124960,1583211480,1583298180,1583387640,1583467320,1583557440,1583643600,1583728800,1583814240,1583904540,1583983140,1584053160,1584160560,1584248280,1584305880,1584416940
apparentTemperatureMax,33.98,31.24,36.85,34.99,32.85,35.96,31.42,33.12,33.98,33.87,38.51,39.82,28.7,31.82,26.09,29.05,26.83,32.03,31.64,34.97,31.92,34.12,32.68,34.89,28.89,36.4,41.56,36.87,35.02,38.83,31.64,35.12,31.47,32.27,29.45,33.72,31.73,27.84,31.22,39.06,40.79,41.04,40.41,38.56,46.36,39.06,42.44,43.61,39,36.42,37.78,34.54,26.74,32.39,35.35
apparentTemperatureMaxTime,1579644000,1579776720,1579888500,1579903200,1580036460,1580133660,1580162400,1580295480,1580382240,1580479380,1580582520,1580602500,1580680800,1580803020,1580908020,1580958240,1581078960,1581159300,1581253800,1581343380,1581372000,1581508740,1581598920,1581695940,1581771720,1581886800,1581919080,1582034160,1582109700,1582205040,1582308360,1582405080,1582460280,1582550940,1582631340,1582715160,1582797360,1582840800,1582985460,1583067960,1583152560,1583240160,1583322360,1583416560,1583500740,1583597400,1583669760,1583760300,1583851320,1583919660,1584021000,1584108480,1584136800,1584277680,1584356700
