,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon
Lat,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547,33.8547
Long,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623,35.8623
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,41.45,36.66,31.65,42.27,45.72,51.46,51.3,43.63,45.09,29.82,33.99,46,51.53,47.78,53.7,56.22,32.71,21.54,27.78,23.1,33.17,41.78,46.61,47.4,51.35,47.85,47.12,51.16,48.09,44.37,50.35,38.65,46.09,52.34,47.45,52.9,57.42,59.22,43.23,41.05,50.54,58.5,64.95,66.59,51.09,54.43,64.09,66.78,61.71,68.48,67.23,51.61,52.07,57.9,59.99
apparentTemperatureHighTime,1579690020,1579773420,1579859820,1579946760,1580033040,1580119500,1580204700,1580292060,1580377920,1580446800,1580554080,1580638440,1580727480,1580810400,1580899740,1580982900,1581051600,1581181200,1581241620,1581331200,1581438180,1581508500,1581588000,1581674100,1581763680,1581846840,1581930180,1582019760,1582106100,1582192320,1582282740,1582365000,1582455840,1582538280,1582619400,1582711380,1582797960,1582888620,1582973100,1583059920,1583146620,1583233140,1583319480,1583402460,1583481720,1583576640,1583662920,1583748060,1583834400,1583921880,1584006240,1584097380,1584183600,1584267540,1584355500
apparentTemperatureLow,27.75,28.6,20.49,28.35,31.7,36.61,34.86,35.97,27.96,23.33,32.69,35.54,34.62,36.05,35.83,31.84,20.09,21.54,14.83,16.09,30.47,33.97,34.79,34.99,37.66,34.17,32.4,34,36.98,34.93,32.92,35.7,34.62,38.77,35.29,38.56,42.59,37.42,28.3,31.57,36.82,38.22,44.52,44.46,37.08,40.31,44.06,43.94,44.71,55.46,43.05,40.72,40.79,43.03,38.87
apparentTemperatureLowTime,1579750200,1579845600,1579922100,1580007840,1580086920,1580180640,1580252340,1580363760,1580450400,1580500140,1580612820,1580698920,1580786100,1580872500,1580958000,1581055200,1581141600,1581181200,1581304380,1581390420,1581444240,1581563640,1581649860,1581736320,1581822180,1581908880,1581995400,1582082220,1582168920,1582255080,1582343580,1582427580,1582513740,1582600020,1582686060,1582770840,1582858680,1582946280,1583031960,1583105940,1583204100,1583289660,1583376660,1583469960,1583528820,1583632860,1583722380,1583809500,1583894880,1583981280,1584070080,1584151680,1584240780,1584327660,1584415260
apparentTemperatureMax,41.45,36.66,31.65,42.27,45.72,51.46,51.3,43.63,45.09,35.25,35.79,46,51.53,47.78,53.7,56.22,39.91,26.15,27.78,24.25,33.17,41.78,46.61,47.4,51.35,47.85,47.12,51.16,48.09,44.37,50.35,38.65,46.09,52.34,47.45,52.9,57.42,59.22,43.23,41.05,50.54,58.5,64.95,66.59,51.09,54.43,64.09,66.78,61.71,68.48,67.23,54.74,52.07,57.9,59.99
apparentTemperatureMaxTime,1579690020,1579773420,1579859820,1579946760,1580033040,1580119500,1580204700,1580292060,1580377920,1580428800,1580580840,1580638440,1580727480,1580810400,1580899740,1580982900,1581033900,1581112800,1581241620,1581365160,1581438180,1581508500,1581588000,1581674100,1581763680,1581846840,1581930180,1582019760,1582106100,1582192320,1582282740,1582365000,1582455840,1582538280,1582619400,1582711380,1582797960,1582888620,1582973100,1583059920,1583146620,1583233140,1583319480,1583402460,1583481720,1583576640,1583662920,1583748060,1583834400,1583921880,1584006240,1584050400,1584183600,1584267540,1584355500
