,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020
Province/State,,,,,,,,,,
Country/Region,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia
Lat,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281
Long,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295
time,1579651200,1579737600,1579824000,1579910400,1579996800,1580083200,1580169600,1580256000,1580342400,1580428800
summary,Possible light rain until evening.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and partly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.
icon,rain,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day
sunriseTime,1579676160,1579762560,1579848960,1579935360,1580021820,1580108220,1580194620,1580281020,1580367420,1580453820
sunsetTime,1579718700,1579805100,1579891500,1579977960,1580064360,1580150760,1580237220,1580323620,1580410020,1580496480
moonPhase,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21
precipIntensity,0.0118,0.0001,0.0001,0.0001,0.0002,0.0003,0.0043,0.0005,0.0004,0.0001
precipIntensityMax,0.0546,0.0002,0.0002,0.0003,0.0007,0.0008,0.0185,0.0045,0.0071,0.0003
precipIntensityMaxTime,1579719180,1579737600,1579845600,1579985340,1580011380,1580166000,1580245140,1580338800,1580342400,1580505900
precipProbability,0.73,0.08,0.06,0.03,0.1,0.1,0.52,0.2,0.17,0.08
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,89.34,93.42,95.94,96.4,96.77,96.3,93.45,97.75,97.31,97.95
temperatureHighTime,1579700040,1579788480,1579875120,1579961520,1580047560,1580134380,1580216640,1580306580,1580393460,1580479440
temperatureLow,70.12,70.07,66.84,70.94,72.1,72.48,70.2,72.22,69.85,70.42
temperatureLowTime,1579755180,1579841520,1579925460,1580000520,1580090460,1580185380,1580274120,1580359920,1580446680,1580532540
apparentTemperatureHigh,101.52,102.47,95.44,96,101.62,100.8,101.77,100.35,99.52,98.65
apparentTemperatureHighTime,1579699860,1579782480,1579875120,1579958520,1580040480,1580131620,1580216160,1580296500,1580383560,1580470140
apparentTemperatureLow,72.63,72.18,68.58,73.7,74.99,75.21,72.8,75.09,72.37,73.1
apparentTemperatureLowTime,1579755300,1579841580,1579925400,1579998120,1580091840,1580189340,1580274360,1580359980,1580446800,1580532600
dewPoint,75.39,72.51,63.56,63.87,68.11,72.6,74.18,70.92,71.09,68.7
humidity,0.91,0.79,0.62,0.65,0.71,0.78,0.82,0.74,0.73,0.7
pressure,1011.6,1011.3,1011.1,1011.8,1011.9,1011.2,1011.6,1011.8,1012.7,1012.8
windSpeed,2.48,3.02,3.89,3.35,2.91,3.16,2.7,2.95,3.19,2.94
windGust,11.72,9.7,13.63,11.05,13.04,16.42,14.1,14.97,15.67,14.48
windGustTime,1579715760,1579790940,1579875960,1579985820,1580072160,1580159040,1580242860,1580331480,1580415900,1580503860
windBearing,57,49,64,81,24,192,192,75,201,197
cloudCover,0.94,0.85,0.65,0.2,0.56,0.45,0.73,0.36,0.83,0.64
uvIndex,6,8,9,10,6,10,6,10,7,8
uvIndexTime,1579697640,1579783680,1579869660,1579955040,1580045100,1580131740,1580215380,1580304120,1580386800,1580473320
visibility,10,10,10,10,10,9.781,10,10,10,10
ozone,246.1,247.7,251.4,255.2,252.3,250.2,247.6,248.1,249.1,250.4
temperatureMin,71.17,70.12,70.07,66.84,70.94,72.1,72.48,70.2,72.22,69.85
temperatureMinTime,1579669560,1579755180,1579841520,1579925460,1580000520,1580090460,1580185380,1580274120,1580359920,1580446680
temperatureMax,89.34,93.42,95.94,96.4,96.77,96.3,93.45,97.75,97.31,97.95
temperatureMaxTime,1579700040,1579788480,1579875120,1579961520,1580047560,1580134380,1580216640,1580306580,1580393460,1580479440
apparentTemperatureMin,73.68,72.63,72.18,68.58,73.7,74.99,75.21,72.8,75.09,72.37
apparentTemperatureMinTime,1579669680,1579755300,1579841580,1579925400,1579998120,1580091840,1580189340,1580274360,1580359980,1580446800
apparentTemperatureMax,101.52,102.47,95.44,96,101.62,100.8,101.77,100.35,99.52,98.65
apparentTemperatureMaxTime,1579699860,1579782480,1579875120,1579958520,1580040480,1580131620,1580216160,1580296500,1580383560,1580470140
