,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia
Lat,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281,6.4281
Long,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295,-9.4295
time,1579651200,1579737600,1579824000,1579910400,1579996800,1580083200,1580169600,1580256000,1580342400,1580428800,1580515200,1580601600,1580688000,1580774400,1580860800,1580947200,1581033600,1581120000,1581206400,1581292800,1581379200,1581465600,1581552000,1581638400,1581724800,1581811200,1581897600,1581984000,1582070400,1582156800,1582243200,1582329600,1582416000,1582502400,1582588800,1582675200,1582761600,1582848000,1582934400,1583020800,1583107200,1583193600,1583280000,1583366400,1583452800,1583539200,1583625600,1583712000,1583798400,1583884800,1583971200,1584057600,1584144000,1584230400,1584316800
summary,Possible light rain until evening.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and partly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Possible light rain overnight.,Light rain in the morning.,Humid and mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the morning.,Rain in the evening and overnight.,Rain in the morning.,Humid and partly cloudy throughout the day.,Humid and overcast throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Light rain and humid throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain overnight.,Possible light rain in the morning and afternoon.,Possible light rain in the afternoon and evening.,Possible light rain until evening.,Possible light rain in the evening and overnight.,Possible light rain in the afternoon.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain until evening.,Humid and overcast throughout the day.
icon,rain,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,rain,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,cloudy
sunriseTime,1579676160,1579762560,1579848960,1579935360,1580021820,1580108220,1580194620,1580281020,1580367420,1580453820,1580540220,1580626620,1580713020,1580799420,1580885820,1580972220,1581058620,1581145020,1581231420,1581317760,1581404160,1581490560,1581576960,1581663360,1581749760,1581836100,1581922500,1582008900,1582095300,1582181700,1582268040,1582354440,1582440840,1582527180,1582613580,1582699980,1582786320,1582872720,1582959120,1583045460,1583131860,1583218260,1583304600,1583391000,1583477340,1583563740,1583650080,1583736480,1583822880,1583909220,1583995620,1584081960,1584168360,1584254700,1584341100
sunsetTime,1579718700,1579805100,1579891500,1579977960,1580064360,1580150760,1580237220,1580323620,1580410020,1580496480,1580582880,1580669280,1580755740,1580842140,1580928540,1581014940,1581101400,1581187800,1581274200,1581360600,1581447000,1581533400,1581619860,1581706260,1581792660,1581879060,1581965460,1582051860,1582138260,1582224660,1582311060,1582397460,1582483860,1582570260,1582656720,1582743120,1582829520,1582915920,1583002260,1583088660,1583175060,1583261460,1583347860,1583434260,1583520660,1583607060,1583693460,1583779860,1583866260,1583952660,1584039060,1584125460,1584211800,1584298200,1584384600
moonPhase,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.28,0.31,0.34,0.37,0.41,0.45,0.48,0.52,0.56,0.6,0.64,0.67,0.71,0.75,0.78,0.82,0.85,0.88,0.91,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.43,0.47,0.51,0.55,0.58,0.62,0.66,0.7,0.73,0.77
precipIntensity,0.0118,0.0001,0.0001,0.0001,0.0002,0.0003,0.0043,0.0005,0.0004,0.0001,0.0005,0.0019,0.0001,0.0001,0.0002,0.0007,0.0012,0.0002,0.0003,0.0016,0.0078,0.0001,0.0001,0.0001,0.0001,0.0002,0.0004,0.0014,0.0004,0.0159,0.0106,0.0279,0.007,0.002,0.0004,0.0004,0.003,0.007,0.0003,0.0012,0.0048,0.0238,0.0105,0.0043,0.023,0.01,0.0101,0.025,0.0069,0.0114,0.0009,0.0046,0.0052,0.0104,0.0042
precipIntensityMax,0.0546,0.0002,0.0002,0.0003,0.0007,0.0008,0.0185,0.0045,0.0071,0.0003,0.0016,0.0093,0.0003,0.0003,0.0006,0.003,0.0099,0.0007,0.0015,0.0083,0.0409,0.0004,0.0004,0.0003,0.0003,0.0005,0.0034,0.0068,0.0027,0.0367,0.0434,0.1929,0.064,0.0146,0.0017,0.0015,0.0118,0.0287,0.0008,0.0104,0.0332,0.0589,0.0789,0.0179,0.0935,0.0404,0.0274,0.0898,0.0387,0.0606,0.0061,0.0417,0.0187,0.0351,0.032
precipIntensityMaxTime,1579719180,1579737600,1579845600,1579985340,1580011380,1580166000,1580245140,1580338800,1580342400,1580505900,1580592420,1580655780,1580762100,1580837760,1580872200,1581012000,1581044700,1581131040,1581271320,1581361800,1581383280,1581517920,1581579000,1581692760,1581724800,1581821880,1581962520,1582048560,1582135320,1582178520,1582326000,1582339320,1582480920,1582570740,1582653900,1582729620,1582826160,1582901700,1582955940,1583085480,1583172060,1583276400,1583280000,1583421900,1583465880,1583607720,1583680500,1583775060,1583852940,1583960340,1584032280,1584122880,1584199320,1584262800,1584379800
precipProbability,0.73,0.08,0.06,0.03,0.1,0.1,0.52,0.2,0.17,0.08,0.18,0.27,0.06,0.08,0.13,0.14,0.22,0.1,0.08,0.39,0.74,0.05,0.04,0.04,0.05,0.09,0.06,0.16,0.11,0.7,0.66,0.75,0.42,0.31,0.06,0.08,0.19,0.45,0.11,0.13,0.31,0.88,0.52,0.54,0.72,0.51,0.72,0.78,0.71,0.48,0.26,0.25,0.49,0.69,0.22
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
