,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
Lat,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14,47.14
Long,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55,9.55
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,39.34,40.6,42.84,37.94,39.2,40.21,27.98,28.39,36.22,42.43,37.55,32.04,39.19,24.13,21.54,34.44,39.41,40.79,38.02,34.88,26.32,30.91,33.1,35.33,43.2,42.86,43.29,36.05,25.38,38.73,35.88,45.84,44.07,48.1,42.41,24.95,22.69,32.38,31.7,40.01,35.33,29.3,33.84,30.9,30.27,32.03,38.16,33.71,28.1,43.51,46.14,35.87,34.35,41.46,47.73
apparentTemperatureHighTime,1579692300,1579786980,1579870620,1579951860,1580045640,1580131020,1580198700,1580306580,1580391600,1580478840,1580556300,1580666400,1580744340,1580796000,1580910300,1580996880,1581082080,1581167400,1581253740,1581331560,1581418740,1581515280,1581599580,1581687360,1581771480,1581857040,1581937620,1582031820,1582107240,1582206780,1582292880,1582377780,1582465800,1582552380,1582631580,1582706820,1582802280,1582897560,1582977240,1583067960,1583157120,1583243220,1583329380,1583416320,1583485320,1583588760,1583674680,1583762340,1583863200,1583933940,1584014580,1584109260,1584181020,1584279000,1584365160
apparentTemperatureLow,23.08,24.7,25.08,23.93,23.7,24.62,18.32,17.79,25.71,26.55,28.06,32.04,22.22,12.66,10.17,18.45,19.53,19.99,24.72,23.75,20.87,14.59,21.45,19.6,27.24,29.84,26.04,18.8,17.12,24.5,22.73,30.44,35.59,29.96,21.25,11.14,14.57,17.47,23.32,17.53,20.36,12.5,16.3,21.9,23.83,11.47,25.1,16.19,28.1,28.23,27.52,25.68,19.24,23.51,28.85
apparentTemperatureLowTime,1579759080,1579847220,1579932480,1579996260,1580108400,1580191140,1580254440,1580364240,1580423760,1580537640,1580625060,1580666400,1580799600,1580839200,1580946120,1581052440,1581141660,1581228120,1581282840,1581404400,1581444000,1581544380,1581622560,1581724260,1581800520,1581918960,1581986640,1582092540,1582168740,1582266060,1582319760,1582437900,1582524780,1582610460,1582694760,1582783980,1582859820,1582932900,1583010720,1583128800,1583215380,1583280060,1583356680,1583442720,1583560260,1583647080,1583703660,1583810040,1583863200,1583992380,1584082800,1584165540,1584251880,1584337800,1584424260
apparentTemperatureMax,39.34,40.6,42.84,37.94,39.2,40.21,27.98,28.39,36.22,42.43,37.55,33.41,39.19,35.22,21.54,34.44,39.41,40.79,38.02,34.88,31.05,30.91,33.1,35.33,43.2,42.86,43.29,36.05,26.32,38.73,35.88,45.84,44.07,48.1,42.41,27.46,22.69,32.38,31.7,40.01,35.33,29.3,33.84,30.9,30.27,32.03,38.16,33.71,29.86,43.51,46.14,35.87,34.35,41.46,47.73
apparentTemperatureMaxTime,1579692300,1579786980,1579870620,1579951860,1580045640,1580131020,1580198700,1580306580,1580391600,1580478840,1580556300,1580612160,1580744340,1580778960,1580910300,1580996880,1581082080,1581167400,1581253740,1581331560,1581383280,1581515280,1581599580,1581687360,1581771480,1581857040,1581937620,1582031820,1582068420,1582206780,1582292880,1582377780,1582465800,1582552380,1582631580,1582687080,1582802280,1582897560,1582977240,1583067960,1583157120,1583243220,1583329380,1583416320,1583485320,1583588760,1583674680,1583762340,1583877600,1583933940,1584014580,1584109260,1584181020,1584279000,1584365160
apparentTemperatureMin,24.08,23.08,24.7,24.29,23.93,23.32,19.29,18.32,17.79,25.92,26.55,28.06,32.5,12.45,10.45,10.17,18.45,19.53,19.99,25.02,20.7,14.59,15.02,21,19.6,27.53,29.84,26.04,18.01,17.12,22.73,22.79,30.44,33.35,27.25,13.44,11.14,14.57,17.47,23.59,17.53,15.66,12.5,17.48,22.9,15.36,11.47,23.62,16.19,29.77,28.23,25.04,25.68,19.24,23.51
apparentTemperatureMinTime,1579676280,1579759080,1579847220,1579989600,1579996260,1580110200,1580248800,1580254440,1580364240,1580425200,1580537640,1580625060,1580710320,1580837280,1580937960,1580946120,1581052440,1581141660,1581228120,1581291000,1581441540,1581544380,1581548400,1581717600,1581724260,1581832140,1581918960,1581986640,1582129680,1582168740,1582319760,1582347000,1582437900,1582581600,1582668000,1582739580,1582783980,1582859820,1582932900,1583046540,1583128800,1583272800,1583280060,1583362800,1583449200,1583618400,1583647080,1583791200,1583810040,1583964000,1583992380,1584090600,1584165540,1584251880,1584337800
cloudCover,0.2,0.03,0.25,0.56,0.86,0.9,0.99,1,0.79,0.83,0.55,0.96,0.99,0.99,0.8,0.32,0,0.51,0.62,0.94,0.96,0.94,0.86,0.88,0.63,0.94,0.89,0.78,0.96,0.73,0.78,0.47,0.87,0.68,0.76,0.78,0.86,0.67,0.97,0.84,0.75,0.99,0.89,1,0.99,0.84,0.63,0.96,0.95,0.78,0.4,0.91,0.92,0.31,0.2
dewPoint,19.75,18.39,20.42,24.87,26.84,27.27,26.47,25.22,24.85,34.83,33.34,34.39,37.18,26.09,20.08,12.1,17.92,21.06,23.29,30.72,27.96,23.14,20.54,27.6,24.83,28,31.48,27.64,23.72,24.06,26.83,26.52,33.75,37.59,32.44,22.94,20.98,20.32,25.92,30.4,28.23,24.41,21.76,27.33,27.94,24.28,22.68,26.93,27.43,36.8,36.65,31.31,28.41,28.3,30.25
humidity,0.58,0.55,0.58,0.76,0.86,0.86,0.93,0.99,0.83,0.98,0.93,0.99,0.99,0.96,0.95,0.62,0.62,0.67,0.7,0.86,0.96,0.95,0.73,0.98,0.72,0.67,0.82,0.94,0.94,0.81,0.9,0.69,0.83,0.94,0.88,0.98,0.93,0.87,0.81,0.97,0.92,0.97,0.91,0.93,1,0.98,0.84,0.97,0.99,1,0.94,0.99,0.98,0.85,0.79
icon,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,snow,snow,snow,snow,rain,rain,rain,rain,snow,snow,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,snow,snow,snow,snow,snow,partly-cloudy-day,cloudy,snow,snow,snow,partly-cloudy-day,snow,partly-cloudy-day,rain,rain,snow,snow,snow,snow,cloudy,snow,snow,snow,snow,snow,snow,snow,partly-cloudy-day,snow,snow,rain,rain,snow,snow,clear-day,clear-day
moonPhase,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.64,0.67,0.71,0.75,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.43,0.47,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
ozone,372.6,340.4,318.4,310.8,311.5,319.6,388.2,380.3,303.1,291.1,300,311.3,306.5,375.8,364.6,345.6,326.8,313.7,320.4,267,279,339.4,354.7,342.9,317.3,286,316.3,327.8,355.4,309.7,333,319.6,314.8,334.8,342,389.4,367.9,329.1,333.7,363.4,375.2,413.2,405.3,318.6,345.1,404.1,370.4,396.3,358.8,312,315.7,340.4,385.7,367.1,350.5
precipAccumulation,,0.01,0.01,0.01,0.12,0.09,6.94,12.51,1.04,,,,,13.78,5.91,,0.02,,0.02,2.28,7.87,3.68,1.96,5.84,0.01,,1.82,1.26,3.43,0.09,2.01,0.01,,,0.67,6.08,5.86,3.33,0.16,1.9,3.46,5.62,0.65,1.19,1.7,3.86,0.04,3.36,7.78,,,2.12,0.58,0.01,
precipIntensity,0,0.0001,0.0001,0.0001,0.0005,0.0004,0.0253,0.0442,0.0068,0.0082,0.0061,0.0368,0.0408,0.0469,0.0185,0,0.0001,0,0.0001,0.0155,0.0335,0.0123,0.008,0.0219,0.0001,0.0001,0.0092,0.0051,0.0123,0.0004,0.0082,0.0001,0.0018,0.0024,0.0034,0.0202,0.0199,0.0101,0.0007,0.0077,0.0143,0.0208,0.0018,0.0058,0.0063,0.0132,0.0001,0.0129,0.0448,0.0042,0.0023,0.0137,0.0025,0.0001,0
precipIntensityMax,0.0001,0.0002,0.0004,0.0003,0.0035,0.0025,0.081,0.0676,0.0481,0.0499,0.028,0.1057,0.1175,0.1066,0.0444,0.0003,0.0003,0.0003,0.001,0.0463,0.0685,0.0431,0.0875,0.1202,0.0003,0.0003,0.0524,0.0194,0.0546,0.003,0.0314,0.0004,0.0121,0.0107,0.0203,0.0642,0.0606,0.0585,0.0041,0.0414,0.074,0.0612,0.0093,0.0136,0.0171,0.0411,0.0006,0.0635,0.1256,0.0204,0.0137,0.0443,0.0122,0.0004,0.0001
precipIntensityMaxTime,1579651200,1579744800,1579903200,1579985340,1580073180,1580079600,1580216460,1580277300,1580421600,1580425200,1580579880,1580680800,1580685840,1580797500,1580857200,1580947200,1581056400,1581152400,1581285600,1581335880,1581390420,1581488040,1581631200,1581637620,1581723360,1581843600,1581965760,1581993300,1582115280,1582153200,1582255980,1582342080,1582459980,1582519680,1582654320,1582675380,1582839240,1582844400,1583010240,1583096700,1583176440,1583206620,1583297640,1583442480,1583532000,1583550540,1583622000,1583738640,1583859300,1583881200,1584050400,1584057900,1584197820,1584276420,1584342000
precipProbability,0.01,0.03,0.04,0.06,0.19,0.33,0.9,0.92,0.45,0.66,0.68,0.96,0.99,0.94,0.77,0.01,0.05,0.05,0.06,0.89,0.96,0.83,0.56,0.87,0.06,0.09,0.75,0.72,0.75,0.16,0.68,0.07,0.38,0.52,0.61,0.87,0.62,0.66,0.17,0.58,0.73,0.83,0.33,0.49,0.67,0.79,0.07,0.91,0.91,0.66,0.56,0.9,0.51,0.06,0.01
precipType,,snow,snow,snow,snow,snow,snow,snow,snow,rain,rain,rain,rain,snow,snow,,snow,,snow,snow,snow,snow,snow,snow,snow,rain,snow,snow,snow,snow,snow,snow,rain,rain,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,snow,rain,rain,snow,snow,snow,
pressure,1033.8,1029.3,1025.2,1022.4,1020.8,1016.6,1007.5,1014.3,1018.9,1017.9,1015.8,1018.8,1018.8,1015.5,1031.7,1032,1027.1,1026.3,1024.1,1011.8,1013.8,1022.2,1016.5,1022.9,1026,1022.3,1021.2,1028.6,1025.4,1024.3,1029.1,1030.2,1026.3,1021.1,1008.2,1005.4,1007.8,1019.6,1009.1,1003.9,995.4,1004.6,1014.7,1004.5,1001.6,1019,1021.3,1017,1020.1,1020.5,1017.5,1020.5,1021.2,1020.7,1022.3
