,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania
Lat,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694,55.1694
Long,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813,23.8813
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,32.71,30.87,33.23,33.75,29.36,31.01,31.87,33.07,35.67,38.68,42.78,34.74,31.69,32.73,27.41,31.82,26.25,33.87,32.83,38.37,30.36,29.68,32.73,39.59,32.68,36.43,42.57,37.67,37.95,37.77,30.99,29.24,33.05,36.46,32.71,37.93,28.17,32.02,36.14,43.9,45.12,41.93,40.61,42.22,41.02,40.93,44.52,44.44,43.72,37.85,39.94,36.24,23.41,36.58,40.61
apparentTemperatureHighTime,1579669200,1579777380,1579872000,1579949940,1580032920,1580132700,1580217480,1580295540,1580382360,1580475840,1580574300,1580619600,1580728080,1580792400,1580907600,1580976300,1581080700,1581169260,1581253260,1581343200,1581416040,1581497700,1581599100,1581685080,1581768840,1581872400,1581937680,1582018200,1582122000,1582204740,1582304400,1582363920,1582459740,1582550340,1582648560,1582725060,1582796940,1582891380,1582983600,1583069340,1583155320,1583238960,1583334720,1583416020,1583500680,1583594220,1583670180,1583760960,1583851080,1583919180,1584010560,1584108540,1584178020,1584278880,1584364560
apparentTemperatureLow,22.26,24.83,31.56,25.75,26.43,24.29,27.14,26.47,28.96,31.28,33.47,26.24,27.9,12.72,21.16,14.45,19.45,16.49,23.06,27.76,25.43,26.52,24.1,18.65,20.72,36.43,29.95,27.71,30.86,23.66,24.41,26.75,28.03,21.12,24.76,22.71,22.05,23.34,28.15,29.32,36.48,36.95,30.97,28.05,31.51,36.39,26.19,26.21,31.85,28.96,26.98,15.56,14.04,21.77,25.79
apparentTemperatureLowTime,1579755180,1579804800,1579932000,1580005020,1580104800,1580190600,1580246640,1580364000,1580418960,1580536800,1580623200,1580706120,1580762100,1580878440,1580926680,1581028140,1581118620,1581223980,1581314220,1581398580,1581473400,1581537780,1581656160,1581743340,1581822060,1581872400,1582002060,1582089780,1582174380,1582261020,1582349460,1582431240,1582511460,1582596660,1582690380,1582776060,1582865940,1582926540,1583020260,1583125440,1583210640,1583259360,1583387640,1583466900,1583553840,1583646720,1583729700,1583814000,1583901720,1583988840,1584048060,1584156840,1584246900,1584309360,1584422520
apparentTemperatureMax,34.82,30.87,33.38,34.42,29.36,31.01,31.87,33.07,35.67,38.68,42.78,41.47,31.69,34.19,27.41,31.82,26.25,33.87,32.83,38.37,30.64,29.68,32.73,39.59,32.68,39.88,42.57,37.67,37.95,37.77,31.04,32.85,33.05,36.46,32.71,37.93,31.47,32.02,36.14,43.9,45.12,41.93,41.22,42.22,41.02,41.35,44.52,44.44,43.72,37.85,39.94,36.24,31.47,36.58,40.61
apparentTemperatureMaxTime,1579644000,1579777380,1579892580,1579910340,1580032920,1580132700,1580217480,1580295540,1580382360,1580475840,1580574300,1580600280,1580728080,1580782440,1580907600,1580976300,1581080700,1581169260,1581253260,1581343200,1581372000,1581497700,1581599100,1581685080,1581768840,1581886800,1581937680,1582018200,1582122000,1582204740,1582306800,1582405200,1582459740,1582550340,1582648560,1582725060,1582754400,1582891380,1582983600,1583069340,1583155320,1583238960,1583283960,1583416020,1583500680,1583607900,1583670180,1583760960,1583851080,1583919180,1584010560,1584108540,1584139980,1584278880,1584364560
apparentTemperatureMin,27.16,22.26,27.23,27.84,25.75,25.94,24.29,27.21,26.47,29.01,31.21,29.09,26.24,20.33,12.72,14.83,14.45,19.45,16.49,23.06,27.3,25.43,27.54,24.1,18.65,20.72,36.48,29.95,27.71,30.86,23.66,24.41,26.75,24.67,21.12,24.76,22.71,22.05,23.37,28.15,29.32,36.48,36.48,30.72,28.05,31.51,35.53,26.19,26.21,31.85,27.06,27.19,15.56,14.04,21.78
apparentTemperatureMinTime,1579726800,1579755180,1579816800,1579986000,1580005020,1580109360,1580190600,1580248800,1580364000,1580421600,1580539800,1580644800,1580706120,1580850000,1580878440,1581022800,1581028140,1581118620,1581223980,1581314220,1581432300,1581473400,1581544800,1581656160,1581743340,1581822060,1581973200,1582002060,1582089780,1582174380,1582261020,1582349460,1582431240,1582578000,1582596660,1582690380,1582776060,1582865940,1582927200,1583020260,1583125440,1583210640,1583315640,1583442000,1583466900,1583553840,1583701200,1583729700,1583814000,1583901720,1584046800,1584050400,1584156840,1584246900,1584309600
cloudCover,0.7,0.59,1,0.66,0.67,1,0.83,1,0.94,0.99,1,0.91,0.45,0.95,0.48,0.69,0.07,0.88,0.36,0.92,0.97,1,0.68,0.81,0.63,0.95,0.78,0.47,0.86,0.76,0.8,0.86,0.76,0.32,0.9,0.58,0.96,0.9,0.92,0.99,0.86,0.96,1,0.68,0.46,0.99,0.89,0.63,0.67,0.92,0.66,0.92,0.64,0.06,0.95
dewPoint,34.58,27.42,37.47,34.81,30.98,28.7,29.54,32.37,34.29,35.94,39.19,38.7,32.68,27.24,19.07,27.79,13.86,27.02,22.87,34.4,34.14,34.49,34.05,29.17,23.7,29.96,38.09,35.13,35.04,34.47,30.56,33.32,34.6,31.95,30.81,33.26,29.76,29.99,31.22,36.83,38.28,38.81,39.89,34.17,32,37.73,39.06,34.71,35.14,38.78,36.4,35.27,23.51,18.21,22.36
humidity,0.83,0.75,0.91,0.83,0.84,0.82,0.82,0.87,0.91,0.94,0.94,0.89,0.84,0.79,0.67,0.77,0.55,0.77,0.66,0.81,0.88,0.91,0.86,0.81,0.72,0.72,0.71,0.79,0.82,0.82,0.79,0.83,0.83,0.8,0.89,0.86,0.85,0.83,0.83,0.82,0.86,0.87,0.87,0.81,0.75,0.9,0.93,0.84,0.85,0.86,0.81,0.82,0.72,0.59,0.53
