,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
Lat,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153,49.8153
Long,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296,6.1296
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,35.96,34.83,38.89,39.95,37.38,35.43,32.66,35.13,39.96,50.51,51.93,53.85,43.32,32.31,46.71,41.72,40.14,40.08,53.25,35.21,30.93,33.63,38.05,42.24,51.81,57.72,40.03,37.45,34.59,38.87,39.44,40.47,51.63,43.45,38.38,31.82,27.19,34.12,50.05,40.83,40.86,35.02,38.67,40.19,36.57,42.1,44.26,42.13,52.54,55.31,43.24,42.81,46.27,55.01,58.95
apparentTemperatureHighTime,1579700040,1579787520,1579874460,1579960260,1580046960,1580143980,1580191200,1580305740,1580407200,1580487720,1580563860,1580652180,1580732520,1580821980,1580910960,1580996580,1581083400,1581171540,1581267000,1581339780,1581426060,1581516060,1581603600,1581688560,1581773700,1581861780,1581947940,1582034400,1582118580,1582205040,1582292700,1582394400,1582478520,1582546080,1582617180,1582727820,1582783200,1582895340,1582981080,1583068920,1583151420,1583257920,1583331000,1583431200,1583503800,1583587800,1583674140,1583759520,1583863200,1583933220,1583999040,1584112500,1584195960,1584280800,1584366900
apparentTemperatureLow,24.37,27.03,29.89,28.29,31.73,31.23,26.81,28.8,39.96,43.39,35.94,40.42,28.97,28.14,30.28,24.28,24.69,33.96,34.31,26.96,25.27,26.87,33.54,30.66,40.72,37.72,30.36,30.55,33.91,26.66,26.45,37.7,34.4,38.11,24.37,26.63,22.1,28.52,30.64,29.94,27.95,29.13,31.84,30.64,30.75,31.57,34.28,31.14,50.61,41.88,29.36,35.64,33.02,36.33,41.97
apparentTemperatureLowTime,1579755420,1579841700,1579909800,1580022000,1580072520,1580194800,1580278980,1580366040,1580407200,1580540400,1580607120,1580711700,1580799000,1580879880,1580970000,1581058800,1581119040,1581218820,1581318000,1581392160,1581485880,1581564420,1581654600,1581742860,1581833100,1581920640,1582009200,1582095600,1582147560,1582261560,1582343880,1582441200,1582527600,1582610580,1582689840,1582786800,1582866960,1582923360,1583046000,1583099580,1583216160,1583291760,1583365620,1583478000,1583552640,1583643480,1583733720,1583811180,1583910000,1583983560,1584074700,1584147480,1584251040,1584335580,1584421500
apparentTemperatureMax,35.96,34.83,38.89,39.95,37.38,35.96,36.34,35.13,51.65,52.26,51.93,53.85,44.91,36.91,46.71,41.72,40.14,40.08,53.25,51.41,30.93,33.63,38.05,42.24,51.81,57.72,43.52,37.45,34.68,38.87,39.44,42.42,51.85,43.45,40.84,31.82,29.11,34.12,50.05,40.83,40.86,35.02,38.67,40.96,38.49,42.1,44.26,42.13,53.43,55.31,51.49,42.81,46.27,55.01,58.95
apparentTemperatureMaxTime,1579700040,1579787520,1579874460,1579960260,1580046960,1580162400,1580166000,1580305740,1580419860,1580428320,1580563860,1580652180,1580685780,1580770800,1580910960,1580996580,1581083400,1581171540,1581267000,1581295140,1581426060,1581516060,1581603600,1581688560,1581773700,1581861780,1581894000,1582034400,1582139340,1582205040,1582292700,1582407300,1582482960,1582546080,1582592460,1582727820,1582771200,1582895340,1582981080,1583068920,1583151420,1583257920,1583331000,1583437740,1583449200,1583587800,1583674140,1583759520,1583874240,1583933220,1583974680,1584112500,1584195960,1584280800,1584366900
