,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives
Lat,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028,3.2028
Long,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207,73.2207
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,101.52,104.26,102.16,99.66,95.74,93.95,91.09,92.43,94.42,95,94.52,95.57,95.04,95.87,96.39,98.2,98.3,96.2,97.74,98.8,98.27,99.12,101.38,97.84,98.98,101.63,101.75,100.92,95.36,96.17,102.76,101.02,102.22,101.3,99.27,99.69,97.89,98.39,96.31,97.24,97.09,98.79,97.11,96.95,94.91,95.03,94.47,97.31,100.29,99.21,100.6,100.56,103.01,100.79,99.23
apparentTemperatureHighTime,1579676100,1579760820,1579846260,1579935780,1580019360,1580106300,1580195760,1580279760,1580367660,1580451180,1580538720,1580623560,1580710560,1580797860,1580883240,1580970780,1581057540,1581143280,1581228840,1581314940,1581403620,1581500940,1581574140,1581660900,1581747420,1581832920,1581919680,1582005660,1582092900,1582192020,1582265340,1582350720,1582438500,1582524660,1582611180,1582695300,1582786800,1582880400,1582957140,1583042820,1583150640,1583217840,1583304180,1583386020,1583476680,1583564520,1583644260,1583737260,1583823480,1583909220,1583996100,1584082200,1584168780,1584255120,1584351600
apparentTemperatureLow,91.1,91.18,88.41,86.14,84.92,83.98,83.33,83.92,85.39,84.37,83.14,84.58,86.47,87.1,85.94,86.49,86.04,86.23,87.12,85.25,87.7,89.04,83.07,85.78,88.82,84.94,86.07,85.84,85.02,89.11,85.17,89.77,87.98,88.35,86.06,87.13,86.85,86.48,87.52,87.76,88.56,86.27,86.26,84.51,81.91,85.84,86.82,88.79,88.43,86.95,87.62,84.38,89.48,87.11,90.12
apparentTemperatureLowTime,1579721880,1579809600,1579899180,1579980480,1580068260,1580156340,1580241480,1580328360,1580411520,1580508420,1580601480,1580687100,1580769480,1580842440,1580931480,1581018780,1581115320,1581196140,1581282300,1581365100,1581449460,1581539040,1581625980,1581708180,1581796980,1581886980,1581978180,1582054140,1582142160,1582229640,1582317540,1582399440,1582491540,1582576380,1582671300,1582746060,1582834440,1582924980,1583004300,1583098680,1583180220,1583266560,1583353020,1583439060,1583535360,1583612520,1583706120,1583780760,1583870520,1583959740,1584042960,1584118140,1584229440,1584305700,1584391860
apparentTemperatureMax,101.52,104.26,102.16,99.66,95.74,93.95,91.09,92.43,94.42,95,94.52,95.57,95.04,95.87,96.39,98.2,98.3,96.2,97.74,98.8,98.27,99.12,101.38,97.84,98.98,101.63,101.75,100.92,95.36,96.17,102.76,101.02,102.22,101.3,99.27,99.69,97.89,98.39,96.31,97.24,97.09,98.79,97.11,96.95,94.91,95.03,94.47,97.31,100.29,99.21,100.6,100.56,103.01,100.79,99.23
apparentTemperatureMaxTime,1579676100,1579760820,1579846260,1579935780,1580019360,1580106300,1580195760,1580279760,1580367660,1580451180,1580538720,1580623560,1580710560,1580797860,1580883240,1580970780,1581057540,1581143280,1581228840,1581314940,1581403620,1581500940,1581574140,1581660900,1581747420,1581832920,1581919680,1582005660,1582092900,1582192020,1582265340,1582350720,1582438500,1582524660,1582611180,1582695300,1582786800,1582880400,1582957140,1583042820,1583150640,1583217840,1583304180,1583386020,1583476680,1583564520,1583644260,1583737260,1583823480,1583909220,1583996100,1584082200,1584168780,1584255120,1584351600
