,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta,Malta
Lat,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375,35.9375
Long,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754,14.3754
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,59.58,60.03,60.22,62.52,62.26,60.54,59.7,60.52,60.48,61.1,61.6,61.02,61.98,63.26,56.38,54.72,55.36,58.04,59.45,60.75,62.62,62.45,61.28,61.54,61.4,60.01,59.3,60.68,60.46,60.01,59.8,59.68,60.06,60.76,62.38,61.32,59.69,61.68,61.96,64.89,66.05,60.84,57.75,60.47,63.9,57.92,58.95,58.52,57.73,59.77,62.66,63.61,66.02,63.47,60.72
apparentTemperatureHighTime,1579698120,1579784820,1579868100,1579957140,1580043120,1580130480,1580216340,1580300700,1580389260,1580475780,1580561940,1580648040,1580744760,1580821440,1580910360,1580995200,1581081660,1581167280,1581253980,1581340260,1581420720,1581512340,1581598680,1581685020,1581772320,1581857940,1581944700,1582031580,1582121040,1582204080,1582290300,1582377720,1582461840,1582550640,1582636440,1582725240,1582808580,1582894800,1582981500,1583065440,1583151420,1583241240,1583327340,1583413560,1583499420,1583580300,1583667780,1583752260,1583848920,1583932020,1584018780,1584108180,1584193800,1584278280,1584362880
apparentTemperatureLow,54.98,56.23,57.71,57.74,56.3,55.77,56.48,57.24,55.38,57.1,56.53,56.75,59.9,55.29,51.55,44.87,51.86,52.4,54.32,57.67,59.43,57.55,56.44,56.6,53.85,53.27,54.99,56.54,55.77,54.27,55.04,53.1,57.28,57.25,57.94,56.16,55.14,56.2,57.47,58.97,58.72,53.55,54.41,56.25,54.18,53.53,52.53,51.04,53.89,54.51,57.35,59.59,58.75,56.96,56.91
apparentTemperatureLowTime,1579741080,1579817820,1579904760,1579988340,1580094780,1580175540,1580258100,1580338740,1580424960,1580513700,1580600520,1580683800,1580795640,1580886000,1580968620,1581043920,1581116160,1581210060,1581286620,1581368940,1581483120,1581570360,1581637080,1581741780,1581814860,1581902160,1581977340,1582069200,1582152420,1582260720,1582329000,1582432680,1582499520,1582607760,1582667400,1582773720,1582850940,1582950780,1583013420,1583101980,1583218800,1583290980,1583370060,1583446920,1583560680,1583638200,1583711700,1583805660,1583901840,1583967180,1584052560,1584161220,1584247620,1584316140,1584416220
apparentTemperatureMax,59.58,60.03,60.22,62.52,62.26,60.54,59.7,60.52,60.48,61.1,61.6,61.02,61.98,63.26,58.13,54.72,55.36,58.04,59.45,60.75,62.62,62.45,61.28,61.54,61.4,60.01,59.3,60.68,60.46,60.01,59.8,59.68,60.06,60.76,62.38,61.32,59.69,61.68,61.96,64.89,66.05,60.84,57.75,60.47,63.9,57.92,58.95,58.52,57.73,59.77,62.66,63.61,66.02,63.47,60.72
apparentTemperatureMaxTime,1579698120,1579784820,1579868100,1579957140,1580043120,1580130480,1580216340,1580300700,1580389260,1580475780,1580561940,1580648040,1580744760,1580821440,1580857200,1580995200,1581081660,1581167280,1581253980,1581340260,1581420720,1581512340,1581598680,1581685020,1581772320,1581857940,1581944700,1582031580,1582121040,1582204080,1582290300,1582377720,1582461840,1582550640,1582636440,1582725240,1582808580,1582894800,1582981500,1583065440,1583151420,1583241240,1583327340,1583413560,1583499420,1583580300,1583667780,1583752260,1583848920,1583932020,1584018780,1584108180,1584193800,1584278280,1584362880
apparentTemperatureMin,55.28,54.98,56.27,57.73,57.35,56.3,55.77,56.48,55.68,55.38,56.89,56.53,56.75,58.94,52.53,50.92,44.87,51.86,52.4,54.38,58.03,58.63,56.64,56.44,55.08,53.85,53.27,55.08,55.82,55.77,54.27,54.79,53.1,57.28,57.25,57.38,55.62,55.14,56.2,57.66,58.98,56.1,53.55,54.41,56.32,53.95,53.53,52.53,51.04,53.89,54.51,57.37,59.21,57.49,56.95
apparentTemperatureMinTime,1579648380,1579741080,1579820400,1579906800,1580076000,1580094780,1580175540,1580258100,1580421600,1580425200,1580594400,1580600520,1580684400,1580853600,1580940000,1581026400,1581043920,1581116400,1581210060,1581289200,1581375600,1581544800,1581631200,1581637080,1581804000,1581814860,1581902160,1581980400,1582149600,1582153200,1582260720,1582408800,1582432680,1582499520,1582607760,1582754400,1582840800,1582850940,1582950780,1583017200,1583103600,1583271060,1583290980,1583370060,1583449200,1583618400,1583638200,1583711700,1583805660,1583901840,1583967600,1584054000,1584223200,1584309600,1584396000
cloudCover,0.72,0.59,0.72,0.88,0.74,0.09,0.51,0.22,0.02,0.82,0.84,0.22,0.31,0.18,0.08,0.12,0.01,0.03,0.08,0.05,0.33,0.2,0.75,0.4,0,0.09,0.05,0.47,0.14,0.03,0.04,0.22,0.09,0.03,0.04,0.76,0.4,0.07,0.12,0.24,0.65,0.72,0.65,0.05,0.57,0.68,0.21,0.3,0.89,0.22,0,0.24,0.61,0.05,0.52
dewPoint,51.01,52.47,55.1,57.9,56.44,53.15,54.5,55.23,54.23,56.58,56.83,57.04,58.74,58.02,41.96,41.67,40.74,45.78,48.26,52.96,55.81,56.97,55.04,56.05,49.99,50.07,49.83,53.55,54.7,52.02,47.99,51.09,48.89,56.61,56.22,56.22,49.4,54.04,55.24,58.04,57.69,53.52,51.9,50.55,58.44,51.03,50.36,49.57,51.93,49.62,54.49,57.92,58.49,58.84,54.35
humidity,0.81,0.84,0.89,0.94,0.9,0.85,0.89,0.89,0.86,0.94,0.93,0.94,0.96,0.91,0.61,0.66,0.65,0.72,0.77,0.84,0.84,0.89,0.87,0.9,0.75,0.78,0.8,0.86,0.89,0.82,0.74,0.82,0.75,0.92,0.91,0.89,0.75,0.84,0.89,0.9,0.88,0.84,0.85,0.79,0.95,0.84,0.82,0.81,0.91,0.78,0.87,0.93,0.89,0.96,0.86
icon,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,cloudy,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,wind,wind,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,clear-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day
moonPhase,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.31,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.64,0.67,0.71,0.75,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.43,0.47,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
ozone,307.1,297.8,289.6,280.8,278.3,332,331.7,340.9,332.7,313.7,314.9,308.1,299.5,292,356,377.2,360.1,333.3,323.7,315.8,264.4,281,298.2,310.8,297.2,310.2,307.6,300.4,311.9,320.9,312.4,318.5,309.1,296.7,295.2,322.3,343.8,305.2,292.7,312.4,319.9,359,375.8,326.4,297.8,330.2,368.6,354.2,390.3,344.6,314.6,314.3,311.1,312.7,321.8
precipIntensity,0.0004,0.0001,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0007,0.0001,0,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0018,0.0066,0.0001,0,0.0009,0.0028,0.0008,0.0165,0.0002,0.0002,0,0.0001,0.0001,0
precipIntensityMax,0.001,0.0006,0.0003,0.0003,0.0003,0.0004,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0036,0.0071,0.0003,0.0003,0.0003,0.0004,0.0002,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0004,0.0001,0.0004,0.0003,0.0004,0.0003,0.0003,0.0003,0.0003,0.0008,0.0004,0.0004,0.0003,0.0002,0.0087,0.0152,0.0003,0.0002,0.0031,0.0104,0.0065,0.0722,0.0007,0.0004,0.0004,0.0004,0.0003,0.0001
precipIntensityMaxTime,1579698540,1579739400,1579845480,1579985340,1580032800,1580119200,1580239200,1580295240,1580365500,1580505900,1580589960,1580644260,1580762100,1580837760,1580940000,1580946300,1581056400,1581152400,1581237300,1581328800,1581406200,1581518820,1581580500,1581692760,1581723360,1581843600,1581935400,1582053900,1582066800,1582194900,1582266120,1582342080,1582412880,1582567200,1582664160,1582689600,1582772400,1582879680,1582977240,1583064240,1583183280,1583236020,1583297880,1583431080,1583452980,1583618400,1583691720,1583791200,1583803560,1583917740,1583992020,1584122280,1584218820,1584276300,1584342000
