,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique,Martinique
Lat,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415,14.6415
Long,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242,-61.0242
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Light rain in the morning.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain overnight.,Possible light rain in the morning and overnight.,Light rain in the morning.,Humid throughout the day.,Possible light rain in the morning and overnight.,Possible light rain in the morning and afternoon.,Humid throughout the day.,Humid and overcast throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the morning.,Humid throughout the day.,Possible light rain in the morning and afternoon.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain overnight.,Possible light rain until evening.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.
icon,rain,rain,clear-day,rain,clear-day,clear-day,clear-day,rain,clear-day,clear-day,rain,rain,partly-cloudy-day,rain,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,clear-day,rain,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,rain,rain,clear-day,clear-day
sunriseTime,1579689300,1579775700,1579862100,1579948440,1580034840,1580121240,1580207640,1580294040,1580380440,1580466840,1580553240,1580639640,1580725980,1580812380,1580898780,1580985180,1581071520,1581157920,1581244320,1581330660,1581417060,1581503460,1581589800,1581676200,1581762600,1581848940,1581935340,1582021680,1582108080,1582194420,1582280820,1582367160,1582453560,1582539900,1582626300,1582712640,1582799040,1582885380,1582971720,1583058120,1583144460,1583230860,1583317200,1583403540,1583489940,1583576280,1583662620,1583749020,1583835360,1583921700,1584008100,1584094440,1584180780,1584267180,1584353520
sunsetTime,1579730340,1579816740,1579903200,1579989660,1580076060,1580162520,1580248920,1580335380,1580421780,1580508240,1580594640,1580681040,1580767500,1580853900,1580940360,1581026760,1581113220,1581199620,1581286020,1581372480,1581458880,1581545340,1581631740,1581718140,1581804600,1581891000,1581977400,1582063860,1582150260,1582236660,1582323060,1582409520,1582495920,1582582320,1582668780,1582755180,1582841580,1582927980,1583014380,1583100840,1583187240,1583273640,1583360040,1583446440,1583532840,1583619300,1583705700,1583792100,1583878500,1583964900,1584051300,1584137700,1584224160,1584310560,1584396960
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
