,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
Lat,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345,23.6345
Long,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528,-102.5528
apparentTemperatureLow,42.12,37.73,42.2,47.07,37.17,34.2,32.55,36.29,34.28,32.9,41.72,43.26,39.61,41.86,31.17,30.32,33.3,38.03,45.78,42.68,51.13,30.35,31.87,37.92,43.04,48.82,51.82,50.11,43.28,45.05,35.29,46.23,42.3,45.95,31.9,28.54,33.79,35.87,42.86,39.84,43.48,51.72,42.38,37.67,39.53,46.55,46.36,52.68,51.99,53.89,51.05,50.29,52.15,52.68,50.92
precipIntensity,0.001,0.0001,0.0001,0.009,0.0104,0.0002,0.0001,0.0002,0.0001,0.0002,0.0002,0.0033,0.0076,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0006,0.0081,0.0134,0.0082,0.0016,0.0021,0.0006,0.0002,0.0008,0.0042,0.0041
temperatureHighTime,1579721220,1579816320,1579904340,1579978380,1580068800,1580162220,1580248320,1580334540,1580414700,1580510100,1580593860,1580674320,1580760180,1580846460,1580932320,1581025620,1581113880,1581198420,1581279000,1581364980,1581451320,1581538380,1581630420,1581717180,1581806220,1581892200,1581978000,1582062720,1582149660,1582235400,1582321740,1582410900,1582488420,1582580880,1582661040,1582753740,1582843860,1582927200,1583013300,1583093520,1583179200,1583265600,1583352420,1583445240,1583525160,1583617380,1583704200,1583784060,1583877000,1583964000,1584053040,1584136260,1584222720,1584302340,1584388920
temperatureMax,68.01,69.57,72.74,59.53,64.83,70.89,65.24,71.88,67.73,63.79,59.62,66.26,60.52,66.34,65.89,70.35,77.18,77.81,76.46,75.86,77.88,71.57,75.32,78.32,78.7,80.46,83.16,84.2,84.24,82.44,72.76,81.69,79.53,80.62,76.39,64.58,72.94,73.96,83.97,83.06,83.17,76.98,75.2,70.77,68.76,77.16,74.72,76.78,75.53,79.62,81.69,85.14,86.18,83.03,78.54
windSpeed,8.24,4.42,5.78,6.09,4.75,6.67,7.61,9.39,15.4,5.34,5.8,9.49,16.04,20.74,26.34,14.82,6.07,7.17,10.71,13.82,13.67,16.24,7.14,9.22,7.06,4.06,3.98,3.52,8.29,5,11.53,6.61,10.37,9.23,8.05,9.12,6.1,4.37,8.63,11.8,13.59,22.53,16.27,7.99,13.55,7.78,7.27,5.57,5.82,4.56,5.09,6.85,4.6,7.08,6.01
apparentTemperatureMin,42.54,42.12,37.73,42.2,47.07,37.17,34.2,32.55,36.29,34.28,32.9,41.72,43.26,39.61,39.63,31.17,30.32,33.3,38.03,45.78,42.68,50.21,30.35,31.87,37.92,43.04,48.82,51.82,50.11,43.28,45.05,35.29,46.23,42.3,45.95,31.9,28.54,33.79,35.87,42.86,39.84,43.48,51.72,42.38,37.67,39.53,46.55,46.36,52.68,51.99,53.89,51.05,50.29,52.15,52.68
icon,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,wind,wind,wind,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,wind,wind,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,rain
apparentTemperatureMax,67.51,69.07,72.24,59.03,64.33,70.39,64.74,71.38,67.23,63.29,59.12,65.76,60.02,65.84,65.39,69.85,76.68,77.31,75.96,75.36,77.38,71.07,74.82,77.82,78.2,79.96,82.66,83.7,83.74,81.94,72.26,81.19,79.03,80.12,75.89,64.08,72.44,73.46,83.47,82.56,82.67,76.48,74.7,70.27,68.26,76.66,74.22,76.28,75.03,79.12,81.19,84.64,85.68,82.53,78.04
apparentTemperatureHigh,67.51,69.07,72.24,59.03,64.33,70.39,64.74,71.38,67.23,63.29,59.12,65.76,60.02,65.84,65.39,69.85,76.68,77.31,75.96,75.36,77.38,71.07,74.82,77.82,78.2,79.96,82.66,83.7,83.74,81.94,72.26,81.19,79.03,80.12,75.89,64.08,72.44,73.46,83.47,82.56,82.67,76.48,74.7,70.27,68.26,76.66,74.22,76.28,75.03,79.12,81.19,84.64,85.68,82.53,78.04
temperatureMinTime,1579691160,1579786560,1579863600,1579956900,1580035260,1580123940,1580209380,1580296440,1580383200,1580469000,1580554680,1580637060,1580723100,1580814840,1580965200,1580983440,1581072960,1581159720,1581242400,1581332340,1581419280,1581570000,1581591420,1581677580,1581764220,1581850980,1581937500,1582023840,1582109940,1582196340,1582293000,1582368840,1582455480,1582542000,1582631400,1582724160,1582804380,1582889100,1582973940,1583060520,1583146740,1583230140,1583321340,1583409540,1583492220,1583575320,1583665320,1583753460,1583838240,1583925900,1584011280,1584097320,1584184560,1584270000,1584359580
summary,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the afternoon.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Light rain in the morning.,Dangerously windy and mostly cloudy throughout the day.,Dangerously windy and partly cloudy throughout the day.,Windy in the morning.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Dangerously windy and mostly cloudy throughout the day.,Windy in the morning.,Mostly cloudy throughout the day.,Overcast throughout the day.,Partly cloudy throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Overcast throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.
sunriseTime,1579700100,1579786500,1579872900,1579959240,1580045640,1580132040,1580218440,1580304780,1580391180,1580477520,1580563920,1580650320,1580736660,1580823060,1580909400,1580995800,1581082140,1581168540,1581254880,1581341280,1581427620,1581514020,1581600360,1581686700,1581773100,1581859440,1581945780,1582032180,1582118520,1582204860,1582291200,1582377600,1582463940,1582550280,1582636620,1582722960,1582809300,1582895700,1582982040,1583068380,1583154720,1583241060,1583327400,1583413740,1583500080,1583586420,1583672760,1583759100,1583845500,1583931840,1584018180,1584104520,1584190860,1584277200,1584363540
windBearing,245,308,177,180,297,222,336,205,236,9,24,194,209,222,230,268,233,220,218,221,217,232,223,179,196,278,240,186,179,68,123,187,244,273,286,5,101,38,218,250,230,220,237,20,130,150,142,148,71,144,247,225,195,167,162
