,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova,Moldova
Lat,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116,47.4116
Long,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699,28.3699
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,42.15,29.71,37.86,36.59,41.96,44.67,44.09,37.73,38.26,41.75,45.52,57.86,43.85,44.88,38.51,27.97,21.97,23.82,38.49,35.3,50.04,37.52,38.84,43.17,38.77,43.06,52.65,55.55,52.15,51.16,46.78,43.84,57.1,41.86,55.12,65.07,39.8,47.53,46.81,54.99,55.21,66.73,65.27,55.41,57.83,63.99,54.62,55.02,56.26,57.7,67.67,66.75,53.18,36.39,51.82
apparentTemperatureHighTime,1579697880,1579777200,1579863960,1579950120,1580037360,1580124000,1580210220,1580294700,1580381820,1580468580,1580554920,1580636880,1580723280,1580814300,1580878800,1580995200,1581051600,1581172800,1581252600,1581332820,1581418680,1581501000,1581591540,1581679140,1581764100,1581858000,1581944700,1582031760,1582120020,1582204320,1582292100,1582370880,1582463580,1582523040,1582638720,1582723800,1582789740,1582896240,1582983780,1583068740,1583159340,1583239920,1583320080,1583401320,1583496120,1583588400,1583667960,1583762580,1583848260,1583924700,1584019980,1584107400,1584181560,1584278580,1584366540
apparentTemperatureLow,24.16,20.69,17.38,19.88,21.21,29.82,25.4,22.9,24.01,35.18,39.12,36.05,30.22,37.07,13.86,19.61,7.92,18.08,15.96,31.1,28.34,26.62,19.71,30.49,26.39,27.9,29.32,31.1,34.89,32.38,32.45,26.54,41.53,29.05,38.59,37.44,26,29.36,29.52,33.54,40.05,39.33,45.23,39.89,41.82,43.84,45.29,41.97,37.11,38.74,45.38,36.97,22.77,23.82,27.43
apparentTemperatureLowTime,1579759200,1579840020,1579931280,1580013600,1580100660,1580188680,1580263500,1580356860,1580442360,1580494800,1580618460,1580687880,1580796000,1580882400,1580965620,1581055200,1581138060,1581223620,1581291900,1581358800,1581484920,1581544920,1581655680,1581739800,1581828960,1581915060,1582000920,1582087440,1582170960,1582261020,1582347180,1582424340,1582520760,1582606680,1582686000,1582774620,1582861800,1582953300,1583037060,1583114280,1583201160,1583297400,1583380560,1583453760,1583556720,1583631180,1583719440,1583819100,1583896320,1583981520,1584070020,1584152340,1584250800,1584312780,1584402000
apparentTemperatureMax,42.15,29.71,37.86,36.59,41.96,44.67,44.09,37.73,38.26,41.75,45.52,57.86,43.85,44.88,40.83,27.97,28.03,24.8,38.49,35.3,50.04,37.52,38.84,43.17,38.77,43.06,52.65,55.55,52.15,51.16,46.78,43.84,57.1,44.4,55.12,65.07,47.12,47.53,46.81,54.99,55.21,66.73,65.27,56.05,57.83,63.99,54.62,55.02,56.26,57.7,67.67,66.75,53.18,36.39,51.82
apparentTemperatureMaxTime,1579697880,1579777200,1579863960,1579950120,1580037360,1580124000,1580210220,1580294700,1580381820,1580468580,1580554920,1580636880,1580723280,1580814300,1580868720,1580995200,1581039240,1581195600,1581252600,1581332820,1581418680,1581501000,1581591540,1581679140,1581764100,1581858000,1581944700,1582031760,1582120020,1582204320,1582292100,1582370880,1582463580,1582495200,1582638720,1582723800,1582754400,1582896240,1582983780,1583068740,1583159340,1583239920,1583320080,1583359200,1583496120,1583588400,1583667960,1583762580,1583848260,1583924700,1584019980,1584107400,1584181560,1584278580,1584366540
