,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco
Lat,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333,43.7333
Long,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167,7.4167
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,60.76,58.74,56.68,56.18,56.09,55.11,60.75,61.3,56.15,57.69,59.69,56.71,60.53,64.95,59.77,55.31,55.88,56.26,57.37,68.64,68.37,60.18,56.73,61.28,59.53,55.98,57.41,60.22,58.69,57.41,59.23,57.46,56.63,57.34,60.5,57.58,55.58,58.86,56.89,59.73,56.84,57.13,58.39,53.27,56.38,60.9,57.93,57.6,58.93,57.81,56.59,60.68,60.54,60.08,61.8
apparentTemperatureHighTime,1579698540,1579784460,1579863720,1579957620,1580044680,1580133960,1580217180,1580302740,1580389200,1580476320,1580565840,1580644740,1580736300,1580820780,1580907840,1580994780,1581082260,1581167640,1581254040,1581341220,1581424680,1581513120,1581602580,1581687840,1581773760,1581859200,1581937740,1582029780,1582120500,1582204140,1582292640,1582376340,1582466160,1582544220,1582647600,1582710900,1582826400,1582895640,1582974000,1583076960,1583157720,1583240460,1583327700,1583399520,1583500680,1583586660,1583673360,1583751600,1583846160,1583921820,1584011880,1584104100,1584194040,1584280320,1584364800
apparentTemperatureLow,50.36,50.33,47.12,48.09,47.4,43.19,51.49,50.49,48.42,50.3,51.82,51.02,53.48,44.37,46.02,42.33,45.01,44.72,43.61,60.85,52.35,46.87,51.9,51.2,46.9,47.68,52.56,50.49,51.38,44.65,50.92,48.49,50.18,47.98,53.46,42.67,44.26,47.66,52.35,45.07,43.41,43.68,46.23,43.58,43.14,45.86,46.71,46.19,50.73,52.43,51.89,54.34,53.02,50.25,53.87
apparentTemperatureLowTime,1579755240,1579846620,1579910400,1580016240,1580102940,1580192760,1580277240,1580364780,1580450340,1580535420,1580619240,1580705760,1580773560,1580879880,1580966040,1581054240,1581137340,1581224400,1581312780,1581400020,1581485940,1581572940,1581656640,1581744900,1581830880,1581915600,1582001940,1582090860,1582176900,1582263120,1582345320,1582433460,1582519860,1582609320,1582696620,1582782540,1582867920,1582953720,1583016960,1583130600,1583214960,1583300220,1583383260,1583473440,1583559480,1583645760,1583728680,1583798880,1583902920,1583990280,1584075180,1584146340,1584249660,1584336360,1584420660
apparentTemperatureMax,60.76,58.74,56.68,56.18,56.09,55.11,60.75,61.3,56.15,57.69,59.69,56.71,60.53,64.95,59.77,55.31,55.88,56.26,57.37,68.64,68.37,60.18,56.91,61.28,59.53,55.98,57.41,60.22,58.69,57.41,59.23,57.46,56.63,57.34,60.5,57.58,57.83,58.86,56.89,59.73,56.84,57.13,58.39,53.27,56.38,60.9,57.93,57.6,58.93,57.81,56.59,60.68,60.54,60.08,61.8
apparentTemperatureMaxTime,1579698540,1579784460,1579863720,1579957620,1580044680,1580133960,1580217180,1580302740,1580389200,1580476320,1580565840,1580644740,1580736300,1580820780,1580907840,1580994780,1581082260,1581167640,1581254040,1581341220,1581424680,1581513120,1581620940,1581687840,1581773760,1581859200,1581937740,1582029780,1582120500,1582204140,1582292640,1582376340,1582466160,1582544220,1582647600,1582710900,1582834980,1582895640,1582974000,1583076960,1583157720,1583240460,1583327700,1583399520,1583500680,1583586660,1583673360,1583751600,1583846160,1583921820,1584011880,1584104100,1584194040,1584280320,1584364800
