,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia
Lat,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576,-22.9576
Long,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904,18.4904
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,95.46,94.86,93.14,96.18,94.64,93.92,95.05,97.19,94.3,95.63,96.02,97.31,94.65,92.13,88.5,91.55,93.76,95.27,93.67,95.9,93.16,87.62,92.72,92.05,88.91,91.28,89.58,84.8,84.38,82.08,88.11,84.98,77.17,77.25,76.79,78.5,83.24,85.61,77.68,68.54,73.43,79.97,82.45,82.61,86.44,86.09,87.77,88.01,90.87,90.1,89.78,91.98,92.3,91.36,89.01
apparentTemperatureHighTime,1579701900,1579786500,1579873740,1579959180,1580047620,1580133780,1580219760,1580306040,1580391840,1580478960,1580565360,1580651640,1580734800,1580814480,1580900700,1580994360,1581083520,1581170820,1581257160,1581342420,1581419220,1581508920,1581601680,1581681780,1581774600,1581861180,1581941280,1582032180,1582121460,1582208460,1582293360,1582376400,1582458540,1582545000,1582638360,1582727580,1582801980,1582890300,1582973940,1583067960,1583157900,1583244180,1583324880,1583416800,1583502600,1583586900,1583675940,1583762460,1583848680,1583935200,1584021780,1584110220,1584192420,1584279120,1584358380
apparentTemperatureLow,70.09,71.71,66.53,65.1,64.4,64.88,61.96,68.49,71.59,73.19,72.6,73.12,72.26,68.57,65.66,72.14,69.01,63.77,67.76,68.78,67.02,66.72,68.46,71.56,71.43,68.87,68.6,66.74,67.94,67.71,68.27,65.74,61.31,63,63.68,64.16,66.04,65.43,65.84,62.35,57.18,60.72,61.94,60.43,60.64,58.87,58.44,61.36,65.32,69.96,67.18,62.35,64.59,68.05,66.03
apparentTemperatureLowTime,1579753920,1579839960,1579924140,1580004600,1580090700,1580177040,1580263920,1580350080,1580436060,1580522940,1580608860,1580704080,1580790600,1580876400,1580954760,1581047640,1581127140,1581222240,1581300240,1581386580,1581472800,1581569160,1581654540,1581738780,1581828600,1581897300,1582001400,1582087140,1582173600,1582259820,1582343580,1582423500,1582509960,1582606140,1582682220,1582772340,1582865220,1582933920,1583014260,1583123640,1583210280,1583287560,1583379180,1583460300,1583555760,1583641560,1583728320,1583812140,1583900400,1583989080,1584074880,1584157980,1584244200,1584324180,1584419640
apparentTemperatureMax,95.46,94.86,93.14,96.18,94.64,93.92,95.05,97.19,94.3,95.63,96.02,97.31,94.65,92.13,88.5,91.55,93.76,95.27,93.67,95.9,93.16,87.62,92.72,92.05,88.91,91.28,89.58,84.8,84.38,82.08,88.11,84.98,77.17,77.25,76.79,78.5,83.24,85.61,77.68,68.54,73.43,79.97,82.45,82.61,86.44,86.09,87.77,88.01,90.87,90.1,89.78,91.98,92.3,91.36,89.01
apparentTemperatureMaxTime,1579701900,1579786500,1579873740,1579959180,1580047620,1580133780,1580219760,1580306040,1580391840,1580478960,1580565360,1580651640,1580734800,1580814480,1580900700,1580994360,1581083520,1581170820,1581257160,1581342420,1581419220,1581508920,1581601680,1581681780,1581774600,1581861180,1581941280,1582032180,1582121460,1582208460,1582293360,1582376400,1582458540,1582545000,1582638360,1582727580,1582801980,1582890300,1582973940,1583067960,1583157900,1583244180,1583324880,1583416800,1583502600,1583586900,1583675940,1583762460,1583848680,1583935200,1584021780,1584110220,1584192420,1584279120,1584358380
apparentTemperatureMin,67.17,70.09,71.71,66.53,65.1,64.4,64.88,61.96,68.49,71.59,73.19,72.6,73.12,72.26,68.57,65.66,72.14,69.01,63.77,67.76,68.78,67.02,66.72,68.46,71.56,71.43,68.87,68.6,66.74,67.94,67.71,68.27,65.74,61.31,63,63.68,64.16,66.04,65.43,64.63,62.35,57.18,60.72,61.94,60.43,60.64,58.87,58.44,61.36,65.32,69.96,67.18,62.35,64.59,68.05
apparentTemperatureMinTime,1579666740,1579753920,1579839960,1579924140,1580004600,1580090700,1580177040,1580263920,1580350080,1580436060,1580522940,1580608860,1580704080,1580790600,1580876400,1580954760,1581047640,1581127140,1581222240,1581300240,1581386580,1581472800,1581569160,1581654540,1581738780,1581828600,1581897300,1582001400,1582087140,1582173600,1582259820,1582343580,1582423500,1582509960,1582606140,1582682220,1582772340,1582865220,1582933920,1583096400,1583123640,1583210280,1583287560,1583379180,1583460300,1583555760,1583641560,1583728320,1583812140,1583900400,1583989080,1584074880,1584157980,1584244200,1584324180
cloudCover,0.24,0.47,0.57,0.23,0.06,0.27,0,0,0.24,0.15,0.14,0.06,0.49,0.53,0.72,0.28,0.61,0.11,0.12,0.14,0.29,0.58,0.62,0.67,0.75,0.93,0.84,0.99,0.89,0.93,0.92,0.99,0.97,0.63,0.65,0.58,0.72,0.91,1,0.99,0.77,0.43,0.23,0.31,0.13,0.22,0,0,0.01,0.11,0.5,0.35,0.08,0.05,0.31
dewPoint,25.4,36.48,37.87,33.07,20.51,19.28,15.76,8.98,42.43,43.17,39.79,35.81,39.69,48.3,55.43,59.6,54.48,31.41,32.85,38.77,55.49,57.56,58.1,55.71,59.97,61.38,63.15,67.95,66.41,65.92,66.35,65.71,67.26,64.29,63.91,64.72,65.63,65.65,64,64.12,63.44,59.04,57.4,54.56,46.34,48.39,41.18,42.57,44.17,40.2,41.27,40.63,34.37,43.11,57.24
humidity,0.13,0.21,0.23,0.22,0.12,0.11,0.1,0.07,0.29,0.27,0.24,0.21,0.22,0.33,0.48,0.58,0.44,0.2,0.22,0.24,0.49,0.53,0.56,0.46,0.52,0.56,0.65,0.84,0.78,0.78,0.77,0.77,0.96,0.89,0.86,0.85,0.82,0.82,0.84,0.94,0.91,0.75,0.65,0.57,0.41,0.45,0.36,0.35,0.35,0.27,0.26,0.27,0.23,0.31,0.52
icon,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day
moonPhase,0.93,0.96,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0,0.03,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
ozone,263.4,261.4,260.2,260.9,255.6,254.7,260.8,266.1,259.7,257.9,257.4,259.5,263.3,267.7,264.6,263.4,260.5,263.3,261.7,262.6,262.3,265,266,264.1,263.1,260.4,259.4,257.7,256.3,257.2,261.1,264,268.5,263,262.3,261.3,262.1,259.7,258.7,262.7,261.6,260.7,263.3,260.2,261.2,264.3,264.9,264.2,260.1,254.8,253.1,256.4,258.5,257.6,257.2
precipIntensity,0,0.0001,0.0007,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0,0,0.0025,0.0066,0.0061,0.0024,0.0001,0.0001,0.0002,0.0017,0.0036,0.001,0.002,0.0013,0.0099,0.0173,0.0098,0.0038,0.0151,0.0188,0.0209,0.0295,0.0036,0.0016,0.002,0.0022,0.0187,0.0111,0.0083,0.0043,0.0002,0.0001,0.0001,0,0,0.0001,0.0001,0,0.0002,0.0003,0.0001,0.0001,0.0012,0.0016
precipIntensityMax,0.0002,0.0005,0.0023,0.0003,0.0004,0.0004,0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0161,0.0204,0.0263,0.0156,0.0017,0.0003,0.001,0.0101,0.0199,0.0068,0.0149,0.0075,0.0411,0.0599,0.0451,0.017,0.069,0.0835,0.1011,0.0934,0.0239,0.0079,0.0122,0.0092,0.0584,0.0557,0.0295,0.0116,0.0013,0.0006,0.0004,0.0002,0.0003,0.0005,0.0003,0.0002,0.0004,0.0033,0.0019,0.0003,0.0053,0.0099
precipIntensityMaxTime,1579716000,1579798320,1579887300,1579985640,1580032800,1580119200,1580239200,1580287200,1580365500,1580504400,1580508000,1580666400,1580731380,1580848800,1580935500,1580969580,1581098880,1581112800,1581237300,1581366000,1581454800,1581463320,1581551100,1581703140,1581789600,1581832860,1581972120,1581976800,1582087680,1582232400,1582318800,1582328280,1582470360,1582556520,1582650600,1582721340,1582798800,1582901940,1582998960,1583054520,1583128260,1583193180,1583302380,1583377080,1583452980,1583592960,1583629740,1583764200,1583791200,1583926200,1584046560,1584050400,1584217800,1584290940,1584370920
precipProbability,0.01,0.05,0.09,0.04,0.04,0.06,0.02,0.05,0.06,0.05,0.07,0.03,0.04,0.09,0.36,0.3,0.13,0.03,0.01,0.04,0.1,0.2,0.16,0.11,0.15,0.41,0.7,0.72,0.54,0.76,0.76,0.76,0.89,0.4,0.26,0.32,0.3,0.64,0.66,0.65,0.59,0.1,0.11,0.06,0.03,0.04,0.05,0.06,0.03,0.06,0.07,0.04,0.05,0.08,0.09
precipType,,rain,rain,rain,rain,rain,,rain,rain,rain,rain,,,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,,,rain,rain,,rain,rain,rain,rain,rain,rain
pressure,1009.9,1007.8,1009.3,1011,1011.6,1013.6,1013.1,1012.1,1012.5,1012.2,1011.9,1012.4,1012.3,1010.9,1009.3,1009,1008.5,1009.7,1010.5,1009.2,1010.8,1011.7,1011.2,1009.8,1009.6,1009.9,1010.3,1010.7,1010.5,1010.4,1010.5,1010.7,1011.4,1013.2,1012.9,1011.7,1011.2,1011.7,1012.5,1012.8,1013.6,1015.6,1016.3,1016.8,1015.8,1015.4,1015.5,1013.2,1010.3,1009.7,1010.5,1011.4,1012.1,1011.3,1010.7
summary,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Possible light rain in the evening and overnight.,Possible drizzle in the morning.,Possible drizzle overnight.,Possible light rain in the morning and overnight.,Rain in the evening and overnight.,Light rain in the evening and overnight.,Light rain until evening.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Possible light rain in the evening and overnight.,Overcast throughout the day.,Possible light rain throughout the day.,Possible drizzle in the morning.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.
