,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal
Lat,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667,28.1667
Long,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25,84.25
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,71.64,69.22,68.43,68.07,62.01,66.76,72.88,73.72,71.36,71.44,68.05,68.52,69.63,71.15,70.38,68.77,71.48,67.36,70.1,72.12,73.49,75.09,77.9,73.89,75.77,73.91,74.18,77.16,73.81,75.76,68.38,77.43,78.46,77.76,71.46,68.1,74.82,76.76,78.01,79.08,78.93,78.02,77.62,77.49,75.55,68.6,77.23,80.57,81.5,83.05,84.89,73.89,79.27,78.68,79.46
apparentTemperatureHighTime,1579680180,1579765740,1579852200,1579938660,1580022060,1580110200,1580197800,1580284200,1580370120,1580457000,1580540880,1580629920,1580716020,1580802540,1580888940,1580972700,1581061800,1581148020,1581234720,1581321060,1581407280,1581493860,1581580260,1581667440,1581753000,1581838920,1581925020,1582011900,1582098660,1582183080,1582267140,1582357680,1582444080,1582530600,1582616820,1582700100,1582789800,1582876980,1582962480,1583048460,1583135400,1583219700,1583304960,1583392620,1583479200,1583574420,1583654100,1583740140,1583826480,1583913060,1583999340,1584075240,1584169260,1584257940,1584345780
apparentTemperatureLow,49.83,49.39,50.05,49.59,47.97,48,52.08,45.47,44.68,48.1,44.18,47.57,48.53,47.18,45.98,43.98,46.4,44.07,45.47,48.41,49.36,51.39,53.51,53.45,53.97,55.72,53.37,53.5,55.51,54.65,51.88,52.48,51.32,54.04,52.97,48.22,52.77,53.41,53.97,53.09,54,56.51,54.19,55.25,53.99,47.91,52.92,55.77,55.68,55.05,59.6,55.84,53.53,51.46,53.76
apparentTemperatureLowTime,1579738380,1579822500,1579910760,1579996920,1580080200,1580167200,1580253300,1580340120,1580426040,1580515140,1580599620,1580685420,1580774400,1580858700,1580945040,1581032280,1581119460,1581203820,1581290400,1581379020,1581463200,1581549840,1581636840,1581722940,1581810900,1581897420,1581983880,1582068300,1582154700,1582240860,1582327080,1582415460,1582500300,1582588500,1582671480,1582758240,1582847520,1582932060,1583018340,1583104740,1583190720,1583276160,1583363880,1583449320,1583537340,1583622300,1583711280,1583797980,1583882340,1583968620,1584056640,1584140520,1584228180,1584314400,1584400800
apparentTemperatureMax,71.64,69.22,68.43,68.07,62.01,66.76,72.88,73.72,71.36,71.44,68.05,68.52,69.63,71.15,70.38,68.77,71.48,67.36,70.1,72.12,73.49,75.09,77.9,73.89,75.77,73.91,74.18,77.16,73.81,75.76,68.38,77.43,78.46,77.76,71.46,68.1,74.82,76.76,78.01,79.08,78.93,78.02,77.62,77.49,75.55,68.6,77.23,80.57,81.5,83.05,84.89,73.89,79.27,78.68,79.46
apparentTemperatureMaxTime,1579680180,1579765740,1579852200,1579938660,1580022060,1580110200,1580197800,1580284200,1580370120,1580457000,1580540880,1580629920,1580716020,1580802540,1580888940,1580972700,1581061800,1581148020,1581234720,1581321060,1581407280,1581493860,1581580260,1581667440,1581753000,1581838920,1581925020,1582011900,1582098660,1582183080,1582267140,1582357680,1582444080,1582530600,1582616820,1582700100,1582789800,1582876980,1582962480,1583048460,1583135400,1583219700,1583304960,1583392620,1583479200,1583574420,1583654100,1583740140,1583826480,1583913060,1583999340,1584075240,1584169260,1584257940,1584345780
