,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba
Country/Region,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
Lat,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186,12.5186
Long,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358,-70.0358
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Windy in the afternoon.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.
icon,partly-cloudy-day,clear-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,rain
sunriseTime,1579691220,1579777620,1579864020,1579950420,1580036820,1580123220,1580209620,1580296020,1580382420,1580468820,1580555220,1580641620,1580728020,1580814420,1580900760,1580987160,1581073560,1581159960,1581246360,1581332700,1581419100,1581505500,1581591840,1581678240,1581764640,1581850980,1581937380,1582023780,1582110120,1582196520,1582282860,1582369260,1582455600,1582542000,1582628340,1582714740,1582801080,1582887480,1582973820,1583060220,1583146560,1583232960,1583319300,1583405700,1583492040,1583578380,1583664780,1583751120,1583837520,1583923860,1584010200,1584096600,1584182940,1584269280,1584355680
sunsetTime,1579732680,1579819140,1579905540,1579992000,1580078400,1580164860,1580251260,1580337720,1580424120,1580510520,1580596980,1580683380,1580769840,1580856240,1580942640,1581029100,1581115500,1581201960,1581288360,1581374760,1581461220,1581547620,1581634020,1581720420,1581806880,1581893280,1581979680,1582066080,1582152540,1582238940,1582325340,1582411740,1582498200,1582584600,1582671000,1582757400,1582843800,1582930200,1583016660,1583103060,1583189460,1583275860,1583362260,1583448660,1583535060,1583621460,1583707920,1583794320,1583880720,1583967120,1584053520,1584139920,1584226320,1584312720,1584399120
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
