,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020
Province/State,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao
Country/Region,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
Lat,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696,12.1696
Long,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99,-68.99
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200
summary,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.
icon,partly-cloudy-day,clear-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,clear-day
sunriseTime,1579690980,1579777380,1579863780,1579950180,1580036580,1580122980,1580209380,1580295780,1580382180,1580468580
sunsetTime,1579732500,1579818900,1579905300,1579991760,1580078160,1580164620,1580251020,1580337480,1580423880,1580510340
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22
precipIntensity,0.0003,0.0003,0.0002,0.0002,0.0007,0.0004,0.0002,0.0002,0.0002,0.0002
precipIntensityMax,0.0012,0.0011,0.0004,0.0007,0.0022,0.0022,0.0005,0.0004,0.0009,0.0006
precipIntensityMaxTime,1579712160,1579798500,1579863960,1579975020,1580061300,1580147760,1580223840,1580317200,1580424900,1580465400
precipProbability,0.15,0.18,0.11,0.12,0.28,0.19,0.15,0.12,0.14,0.15
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,84.34,83.79,84.37,83.67,84.43,84.91,84.63,84.82,84.42,85.67
temperatureHighTime,1579712100,1579804800,1579885860,1579974540,1580062320,1580144220,1580232480,1580321520,1580413560,1580496720
temperatureLow,75.85,75.16,75.68,76.53,76.44,76.19,76.58,76.58,76.92,78.41
temperatureLowTime,1579759980,1579852440,1579943700,1580015580,1580106180,1580194680,1580275140,1580366820,1580446800,1580533860
apparentTemperatureHigh,92.24,90.64,91.38,90.76,93.19,94.45,93.46,92.63,93.04,97.24
apparentTemperatureHighTime,1579711380,1579797180,1579885380,1579974660,1580062020,1580143920,1580231880,1580321520,1580413740,1580491140
apparentTemperatureLow,77.87,77.17,77.68,78.8,78.62,78.33,78.78,78.63,79.28,82.88
apparentTemperatureLowTime,1579759980,1579852380,1579943640,1580028720,1580106240,1580194740,1580275020,1580366220,1580446320,1580533980
dewPoint,74.9,74.13,73.61,74.38,75.52,75.63,75.09,74.69,75.12,76.82
humidity,0.84,0.84,0.82,0.84,0.86,0.85,0.84,0.83,0.84,0.86
pressure,1011.7,1012,1013.3,1014.4,1014.1,1014,1013.8,1014.2,1014.1,1014.2
windSpeed,13.85,8.7,8.33,7.53,6.14,10.11,9.98,11.51,13.44,17.54
windGust,20.58,12.64,11.75,13.09,12.24,16.3,16.04,17.59,18.7,27.81
windGustTime,1579716060,1579824960,1579910460,1579993860,1580087340,1580169600,1580266800,1580353200,1580418840,1580517300
windBearing,109,99,83,70,78,91,88,82,96,89
cloudCover,0.58,0.27,0.26,0.22,0.27,0.31,0.19,0.16,0.12,0.25
uvIndex,7,9,9,8,8,9,9,10,10,10
uvIndexTime,1579715160,1579798320,1579884540,1579974120,1580054640,1580144820,1580232840,1580317920,1580403180,1580490300
visibility,10,10,10,10,10,10,10,10,10,10
ozone,240.7,241.8,243.4,245.8,247.7,245.1,246.5,248,247.7,245.6
temperatureMin,76.61,75.85,75.16,75.68,76.53,76.44,76.19,76.58,76.58,76.92
temperatureMinTime,1579670040,1579759980,1579852440,1579943700,1580015580,1580106180,1580194680,1580275140,1580366820,1580446800
temperatureMax,84.34,83.79,84.37,83.67,84.43,84.91,84.63,84.82,84.42,85.67
temperatureMaxTime,1579712100,1579804800,1579885860,1579974540,1580062320,1580144220,1580232480,1580321520,1580413560,1580496720
apparentTemperatureMin,78.73,77.87,77.17,77.68,78.8,78.62,78.33,78.78,78.63,79.28
apparentTemperatureMinTime,1579669980,1579759980,1579852380,1579943640,1580028720,1580106240,1580194740,1580275020,1580366220,1580446320
apparentTemperatureMax,92.24,90.64,91.38,90.76,93.19,94.45,93.46,92.63,93.04,97.24
apparentTemperatureMaxTime,1579711380,1579797180,1579885380,1579974660,1580062020,1580143920,1580231880,1580321520,1580413740,1580491140
