,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
Lat,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326,52.1326
Long,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913,5.2913
Province/State,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
apparentTemperatureHigh,41.01,42.79,36.84,34.37,42.42,42.63,35.27,35.44,42.96,51.86,51.62,51.37,44.33,37.35,45.24,46.46,41.78,50.48,52.71,39.34,32.6,36.3,40.12,43.08,53.2,58.75,42.3,42.47,38.46,43.61,43.23,53.11,53,42.05,39.04,35.09,33.69,38.13,51.52,41.06,41.79,42.35,45.45,38.53,40.37,51.22,42.09,43.99,52.77,55.15,42.37,42.08,52.29,52.46,56.04
apparentTemperatureHighTime,1579702440,1579786020,1579873800,1579960140,1580046300,1580127960,1580191200,1580299800,1580397180,1580490120,1580540340,1580657340,1580732100,1580824320,1580907960,1580997120,1581083460,1581163260,1581266760,1581340920,1581428220,1581512580,1581609480,1581687000,1581782880,1581860580,1581946920,1582032780,1582121520,1582205400,1582290060,1582380600,1582453260,1582560180,1582635840,1582714800,1582815660,1582896480,1582980240,1583070600,1583167380,1583241720,1583328660,1583414220,1583500680,1583587560,1583690220,1583759760,1583863200,1583932140,1584018060,1584112080,1584195240,1584280500,1584366780
apparentTemperatureLow,38.72,28.98,24.2,25.53,34.57,34.26,30.92,34.15,40.11,51.5,38.66,40.84,33.32,28.93,32.01,26.46,29.27,35.63,34.18,27.16,28.51,29.95,33.07,36.61,53.1,33.16,32.28,31.59,33.5,29.81,35.82,37.61,31.77,32.69,28.34,28.27,27.25,25.97,30.13,29.85,27.41,29.98,32.52,31.37,29.07,38.34,35.37,34.23,43.45,35.95,34.09,29.49,36.97,37.89,31.15
apparentTemperatureLowTime,1579762800,1579847820,1579935600,1580015520,1580078880,1580194800,1580246100,1580335740,1580454000,1580522940,1580626800,1580705880,1580787420,1580878920,1580962200,1581058380,1581118860,1581231600,1581318000,1581394860,1581444000,1581559260,1581655020,1581704400,1581789600,1581914820,1582001940,1582088340,1582136340,1582261200,1582343940,1582432800,1582527600,1582606800,1582683420,1582778760,1582866780,1582914540,1583020140,1583124480,1583211720,1583278620,1583386440,1583469960,1583556240,1583646720,1583729160,1583805300,1583902920,1583993580,1584073920,1584160680,1584248280,1584336600,1584420840
apparentTemperatureMax,41.65,42.79,36.84,34.37,42.42,42.63,37.43,35.44,51.65,52.5,52.57,51.37,44.33,37.35,45.24,46.46,41.78,50.48,52.71,40.51,32.6,36.3,40.12,43.08,54.88,58.75,42.3,42.47,38.46,43.61,43.23,53.11,53,50.48,42.45,35.09,33.69,38.13,51.52,41.06,41.79,42.35,45.45,38.53,40.37,51.22,42.09,43.99,53.21,55.15,52.93,42.08,52.29,52.46,56.04
apparentTemperatureMaxTime,1579730400,1579786020,1579873800,1579960140,1580046300,1580127960,1580166000,1580299800,1580421600,1580508000,1580511600,1580657340,1580732100,1580824320,1580907960,1580997120,1581083460,1581163260,1581266760,1581289200,1581428220,1581512580,1581609480,1581687000,1581804000,1581860580,1581946920,1582032780,1582121520,1582205400,1582290060,1582380600,1582453260,1582578060,1582585200,1582714800,1582815660,1582896480,1582980240,1583070600,1583167380,1583241720,1583328660,1583414220,1583500680,1583587560,1583690220,1583759760,1583872560,1583932140,1583967600,1584112080,1584195240,1584280500,1584366780
