,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
Lat,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006,-40.9006
Long,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886,174.886
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,66.81,67.99,68.29,69.32,67.25,69.32,67.57,69.31,68.1,67.22,67.71,69.5,72.15,65.7,67.16,68.17,66.24,63.78,65.98,65.08,67.47,65.41,71.23,69.59,71.82,67.67,66.83,67.07,68.66,71.25,67.91,64.68,66.19,69.67,68.69,67.37,68.8,67.14,70.65,68.7,69.85,66.31,65.06,66.76,65.51,67.91,65.83,66.39,60.92,63.98,65.19,64.22,64.74,66.83,57.96
apparentTemperatureHighTime,1579743900,1579828560,1579917780,1579997400,1580090160,1580173680,1580274480,1580346600,1580430960,1580518740,1580620260,1580693220,1580793000,1580867760,1580953500,1581035460,1581127500,1581212640,1581310260,1581386460,1581472860,1581559020,1581642720,1581731640,1581815640,1581902100,1582004100,1582075020,1582162260,1582249740,1582333920,1582432200,1582509420,1582607700,1582693080,1582768140,1582853220,1582937700,1583038920,1583110980,1583198220,1583258400,1583373900,1583467440,1583543640,1583631540,1583718420,1583803080,1583889120,1583987400,1584075540,1584151500,1584237540,1584322560,1584409140
apparentTemperatureLow,63.92,61.44,62.88,64.81,63.88,64.42,65.63,63.21,62.96,63.88,65.58,66.55,61.75,60.11,58.9,60.65,51.87,57.44,59.54,56.56,61.55,58.4,58.84,63.92,65.22,65.09,65.08,60.53,63.18,65.69,56.82,53.39,56.47,59.51,62.09,62.73,65,57.14,60.33,64.7,65.14,54.07,53.87,55.21,58.32,62.07,62.86,58.41,53.67,52.64,56.02,55.34,59.85,54.9,52.51
apparentTemperatureLowTime,1579802820,1579883940,1579971480,1580058780,1580141460,1580232180,1580318340,1580390460,1580490960,1580574660,1580664720,1580751540,1580842800,1580921700,1581008640,1581078360,1581183180,1581268800,1581343860,1581439560,1581523920,1581614160,1581699300,1581782760,1581879600,1581959520,1582048800,1582131900,1582218480,1582311600,1582383840,1582477200,1582565100,1582651380,1582734960,1582824480,1582913220,1582996020,1583080860,1583162520,1583262000,1583342220,1583429520,1583501880,1583602500,1583667540,1583773620,1583862840,1583945520,1584032040,1584119400,1584207000,1584268860,1584385200,1584466800
apparentTemperatureMax,66.81,67.99,68.29,69.32,67.25,69.32,67.57,69.31,68.1,67.22,67.71,69.5,72.15,65.7,67.16,68.17,66.24,63.78,65.98,65.08,67.47,65.41,71.23,69.59,71.82,67.67,67.04,67.07,68.66,71.25,68.12,64.68,66.19,69.67,68.69,67.37,68.8,67.14,70.65,68.7,69.85,67.88,65.06,66.76,65.51,67.91,65.83,66.39,60.92,63.98,65.19,64.22,64.74,66.83,59.28
apparentTemperatureMaxTime,1579743900,1579828560,1579917780,1579997400,1580090160,1580173680,1580274480,1580346600,1580430960,1580518740,1580620260,1580693220,1580793000,1580867760,1580953500,1581035460,1581127500,1581212640,1581310260,1581386460,1581472860,1581559020,1581642720,1581731640,1581815640,1581902100,1581944160,1582075020,1582162260,1582249740,1582282800,1582432200,1582509420,1582607700,1582693080,1582768140,1582853220,1582937700,1583038920,1583110980,1583198220,1583233200,1583373900,1583467440,1583543640,1583631540,1583718420,1583803080,1583889120,1583987400,1584075540,1584151500,1584237540,1584322560,1584356400
