,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia,North Macedonia
Lat,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086,41.6086
Long,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453,21.7453
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,45.35,41.04,42.7,49.99,48.82,49.76,54.89,47.7,51.99,53.92,60.47,62.36,62.98,65.36,33.62,25.44,38.16,41.15,43.67,46.09,57.57,53.72,54.93,52.2,52.98,56.24,55.72,63.63,59.18,39.73,54.07,45.85,58.38,61.18,64.86,68.95,54.25,55.37,53.34,62.04,71.98,68.05,56.56,54.27,59.83,54.87,51.51,52.1,52.9,60.27,71.56,75.99,66.39,45.72,55
apparentTemperatureHighTime,1579698240,1579785300,1579868940,1579957740,1580041440,1580124060,1580217600,1580306160,1580390280,1580476740,1580563200,1580649840,1580736780,1580823540,1580900040,1580986560,1581081420,1581165660,1581253680,1581340740,1581430320,1581514980,1581601200,1581678540,1581773340,1581861060,1581946740,1582033560,1582120860,1582196280,1582292700,1582379460,1582466220,1582546260,1582638300,1582723440,1582796940,1582890420,1582984020,1583070960,1583156040,1583234160,1583319240,1583416560,1583502960,1583574480,1583666040,1583760840,1583847900,1583934720,1584021180,1584109260,1584195900,1584259020,1584366720
apparentTemperatureLow,24.67,24.72,26.46,30.47,36.31,33.65,38.98,32.69,27.04,30.96,34.74,33.86,38.47,28.17,20.16,19.31,26.87,21.38,24.08,27.67,31.95,29.13,29.07,38.06,30.11,28.63,32.36,40.12,37.36,33.32,34.71,27.61,30.22,33.47,35.34,44.76,30.03,31.53,28.39,35.63,42.27,51.31,37.66,33.24,43.92,43.88,37.51,36.52,34.17,39.98,42.9,47.02,42.28,39.24,30.25
apparentTemperatureLowTime,1579757880,1579844460,1579930440,1580016660,1580104260,1580190780,1580277540,1580364060,1580448000,1580533080,1580620560,1580706120,1580794560,1580883900,1580970180,1581053700,1581118980,1581224400,1581310920,1581397200,1581481680,1581572940,1581638340,1581746400,1581831180,1581915360,1582001460,1582091820,1582182000,1582264080,1582352580,1582433760,1582519800,1582606620,1582693740,1582782480,1582854720,1582934400,1583038320,1583106600,1583210880,1583301660,1583385420,1583470260,1583556720,1583643360,1583722680,1583820060,1583899440,1583987340,1584074220,1584160620,1584243780,1584337080,1584416280
apparentTemperatureMax,45.35,41.04,42.7,49.99,48.82,49.76,54.89,47.7,51.99,53.92,60.47,62.36,62.98,65.36,36.6,25.58,38.16,41.15,43.67,46.09,57.57,53.72,54.93,52.2,52.98,56.24,55.72,63.63,59.18,44.99,54.07,45.85,58.38,61.18,64.86,68.95,54.25,55.37,53.34,62.04,71.98,68.05,57.12,54.27,59.83,54.87,51.51,52.1,52.9,60.27,71.56,75.99,66.39,46,55
apparentTemperatureMaxTime,1579698240,1579785300,1579868940,1579957740,1580041440,1580124060,1580217600,1580306160,1580390280,1580476740,1580563200,1580649840,1580736780,1580823540,1580857200,1580943600,1581081420,1581165660,1581253680,1581340740,1581430320,1581514980,1581601200,1581678540,1581773340,1581861060,1581946740,1582033560,1582120860,1582160460,1582292700,1582379460,1582466220,1582546260,1582638300,1582723440,1582796940,1582890420,1582984020,1583070960,1583156040,1583234160,1583276400,1583416560,1583502960,1583574480,1583666040,1583760840,1583847900,1583934720,1584021180,1584109260,1584195900,1584226800,1584366720
