,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway
Lat,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472,60.472
Long,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689,8.4689
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,17.76,29,20.11,27.05,27.81,31.92,17.77,29.52,22.32,24.83,30.47,17.18,17.35,15.24,29.1,34.52,33,29.15,27.55,21.33,23.46,22.74,18.91,23.62,27.4,29.02,28.7,25.47,27.23,29.09,28.59,25.15,22.5,26.24,17.02,21.88,22.25,24.12,15.89,22.27,31.31,26.99,30.76,29.08,33.05,30.17,31.16,34.13,28.11,29.61,24.92,15.25,23.95,33.18,29.91
apparentTemperatureHighTime,1579697940,1579802400,1579845600,1579975200,1580036400,1580122320,1580209260,1580304000,1580391540,1580478900,1580555040,1580641380,1580731380,1580820780,1580908680,1580986620,1581081120,1581167760,1581271200,1581339660,1581426360,1581508500,1581600000,1581693840,1581771660,1581850800,1581945120,1582019220,1582119720,1582214580,1582304640,1582351200,1582456260,1582550220,1582636680,1582725300,1582815900,1582895340,1582983660,1583071020,1583155920,1583240520,1583330640,1583414400,1583502960,1583582400,1583685900,1583759640,1583848620,1583933580,1584017460,1584090780,1584190080,1584273780,1584366360
apparentTemperatureLow,14.66,19,17.51,22.83,23.26,14.81,17.53,3.7,14.41,20.24,10.79,-0.86,10.91,4.38,22.37,19.01,11.57,17.22,20.47,12.03,11.93,6.37,1.61,12.98,21.66,18.48,20.66,8.81,6.19,12.34,24.78,13.09,6.98,7.05,9.5,7.57,-1.32,5.96,12.04,19.18,19.69,20.28,4.7,1.6,2.1,19.21,19.82,16.14,19.67,11.47,12.68,-6.41,13.09,15.8,17.93
apparentTemperatureLowTime,1579716300,1579849200,1579888800,1580011740,1580061600,1580194800,1580234400,1580366940,1580407980,1580494080,1580624220,1580707680,1580799600,1580859660,1580939040,1581058800,1581133560,1581206880,1581318000,1581401040,1581489240,1581571020,1581659700,1581704880,1581789900,1581896940,1582005360,1582091820,1582158540,1582257420,1582354800,1582438500,1582522980,1582597260,1582689120,1582752300,1582849080,1582924200,1583029080,1583127000,1583173380,1583287380,1583386500,1583468220,1583559300,1583608080,1583727240,1583788680,1583906760,1583992980,1584080520,1584163920,1584209520,1584316440,1584402780
apparentTemperatureMax,20.69,29.21,26.73,29.83,28.34,32.1,26.76,29.52,22.32,24.83,30.62,17.18,17.35,15.43,29.1,34.52,33,29.15,28.73,28.55,23.46,22.74,18.91,23.62,27.4,29.02,28.7,25.47,27.23,29.09,28.59,30.5,23.11,26.24,17.02,21.88,22.25,24.12,15.89,25.61,31.31,26.99,30.76,29.08,33.05,30.17,31.16,34.13,31.88,29.61,24.92,21.25,23.95,33.18,29.91
apparentTemperatureMaxTime,1579652160,1579805520,1579820400,1579981080,1580076000,1580087040,1580166000,1580304000,1580391540,1580478900,1580527260,1580641380,1580731380,1580781360,1580908680,1580986620,1581081120,1581167760,1581278880,1581299340,1581426360,1581508500,1581600000,1581693840,1581771660,1581850800,1581945120,1582019220,1582119720,1582214580,1582304640,1582336620,1582419480,1582550220,1582636680,1582725300,1582815900,1582895340,1582983660,1583094180,1583155920,1583240520,1583330640,1583414400,1583502960,1583582400,1583685900,1583759640,1583871600,1583933580,1584017460,1584066360,1584190080,1584273780,1584366360
apparentTemperatureMin,13.9,18.95,16.25,18.32,22.83,23.97,13.15,10.85,3.53,15.6,15.81,5.31,-0.86,2.7,4.38,22.59,17.23,11.57,17.22,15.44,12.03,11.93,6.37,1.61,18.68,19.42,18.48,17.34,7.11,6.19,12.34,18.05,9.53,6.98,7.05,7.57,4.02,-1.32,7.08,12.04,19.18,20.19,12.43,4.57,1.6,2.1,20.08,16.14,17.96,19.54,11.47,0.34,-6.41,14.23,15.8
apparentTemperatureMinTime,1579673520,1579734000,1579874880,1579910220,1580011740,1580150100,1580201640,1580335200,1580369580,1580445840,1580594400,1580680800,1580707680,1580805180,1580859660,1580943600,1581112800,1581133560,1581206880,1581372000,1581401040,1581489240,1581571020,1581659700,1581721200,1581890400,1581896940,1582063200,1582149600,1582158540,1582257420,1582393320,1582491600,1582522980,1582597260,1582752300,1582840800,1582849080,1582930800,1583029080,1583127000,1583215980,1583359200,1583445600,1583468220,1583559300,1583622000,1583788680,1583794800,1583964000,1583992980,1584136800,1584163920,1584229080,1584316440
cloudCover,0.34,0.69,0.19,0.91,0.96,0.98,0.97,0.94,0.48,0.82,0.5,0.09,0.63,0.52,0.48,0.48,0.36,0.6,0.87,0.82,0.55,0.41,0.48,0.61,0.81,0.75,0.44,0.16,0.07,0.93,0.46,0.75,0.1,0.4,1,0.96,0.99,0.42,0.98,1,0.96,1,0.96,0.17,0.71,0.67,0.96,0.55,0.91,0.67,0.41,0.47,0.6,0.87,0.75
