,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman,Oman
Lat,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Long,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,81.87,81.13,80.81,83.64,79.75,73.95,75.79,77.29,78.51,81.38,81.71,81.27,83.85,80.07,81.96,82.75,84.45,83.81,84.42,85.19,84.26,83.84,80.2,80.51,83.68,85.17,87.57,87.15,88.76,89.9,88.49,88.45,90.95,92.05,94.32,92.71,91.23,87.83,87.69,88.06,88.91,91.19,88.02,85.7,86.05,87.11,88.13,88.31,87.8,85.96,86.93,89.02,88.9,87.55,88.98
apparentTemperatureHighTime,1579690620,1579776840,1579863840,1579955520,1580032680,1580119680,1580212680,1580298720,1580385120,1580465640,1580554920,1580642280,1580724300,1580816760,1580903520,1580990820,1581073800,1581156360,1581242700,1581332040,1581422520,1581500700,1581591900,1581674700,1581761400,1581854400,1581939840,1582026720,1582113240,1582193760,1582284840,1582372140,1582457400,1582538820,1582630860,1582711920,1582797840,1582890000,1582974120,1583063700,1583147700,1583236680,1583319540,1583409300,1583495640,1583582040,1583668500,1583754720,1583841240,1583927580,1584014160,1584097680,1584185880,1584272820,1584356700
apparentTemperatureLow,60.28,59.14,64.74,66.12,51.3,52.57,47.41,51.18,51.94,54.4,56.28,58.05,53,47.86,55.62,58.14,57.28,56.19,56.4,58.89,61.35,53.83,51.28,52.41,51.26,54.48,59.26,54.62,55.89,59.56,64.28,64.59,61.51,62.42,61.9,63.51,60.01,55.76,57.31,62.43,62.63,60.07,55.24,56.42,58.59,59.95,60.47,59.16,61.83,59.23,60.85,56.29,56.55,62.65,63.27
apparentTemperatureLowTime,1579744200,1579831080,1579917660,1580004480,1580090340,1580177280,1580263260,1580349660,1580436000,1580522520,1580608860,1580695320,1580782080,1580868000,1580954460,1581040980,1581127320,1581213600,1581299880,1581386580,1581472560,1581559380,1581645480,1581732060,1581819840,1581904800,1581991140,1582077540,1582163940,1582250400,1582336080,1582416180,1582509600,1582595880,1582682400,1582770720,1582855380,1582941420,1583027820,1583114280,1583200620,1583287680,1583373540,1583459760,1583546160,1583632620,1583719200,1583805480,1583892000,1583978280,1584064800,1584151740,1584237420,1584323400,1584410760
apparentTemperatureMax,81.87,81.13,80.81,83.64,79.75,73.95,75.79,77.29,78.51,81.38,81.71,81.27,83.85,80.07,81.96,82.75,84.45,83.81,84.42,85.19,84.26,83.84,80.2,80.51,83.68,85.17,87.57,87.15,88.76,89.9,88.49,88.45,90.95,92.05,94.32,92.71,91.23,87.83,87.69,88.06,88.91,91.19,88.02,85.7,86.05,87.11,88.13,88.31,87.8,85.96,86.93,89.02,88.9,87.55,88.98
apparentTemperatureMaxTime,1579690620,1579776840,1579863840,1579955520,1580032680,1580119680,1580212680,1580298720,1580385120,1580465640,1580554920,1580642280,1580724300,1580816760,1580903520,1580990820,1581073800,1581156360,1581242700,1581332040,1581422520,1581500700,1581591900,1581674700,1581761400,1581854400,1581939840,1582026720,1582113240,1582193760,1582284840,1582372140,1582457400,1582538820,1582630860,1582711920,1582797840,1582890000,1582974120,1583063700,1583147700,1583236680,1583319540,1583409300,1583495640,1583582040,1583668500,1583754720,1583841240,1583927580,1584014160,1584097680,1584185880,1584272820,1584356700
apparentTemperatureMin,56.69,60.28,59.14,64.74,62.23,51.3,52.57,47.41,51.18,51.94,54.4,56.28,58.05,53,47.86,55.62,58.14,57.28,56.19,56.4,58.89,61.35,53.83,51.28,52.41,51.26,54.48,59.26,54.62,55.89,59.56,64.28,64.59,61.51,62.42,61.9,63.51,60.01,55.76,57.31,62.43,62.63,60.07,55.24,56.42,58.59,59.95,60.47,59.16,61.83,59.23,60.85,56.29,56.55,62.65
apparentTemperatureMinTime,1579659480,1579744200,1579831080,1579917660,1580065200,1580090340,1580177280,1580263260,1580349660,1580436000,1580522520,1580608860,1580695320,1580782080,1580868000,1580954460,1581040980,1581127320,1581213600,1581299880,1581386580,1581472560,1581559380,1581645480,1581732060,1581819840,1581904800,1581991140,1582077540,1582163940,1582250400,1582336080,1582416180,1582509600,1582595880,1582682400,1582770720,1582855380,1582941420,1583027820,1583114280,1583200620,1583287680,1583373540,1583459760,1583546160,1583632620,1583719200,1583805480,1583892000,1583978280,1584064800,1584151740,1584237420,1584323400
cloudCover,0.12,0.18,0.13,0.24,0.3,0,0,0,0.06,0,0.05,0.22,0.16,0.4,0.23,0.66,0.38,0.33,0.41,0.32,0.35,0.59,0.38,0,0,0.07,0.03,0.35,0.14,0.41,0.71,0.32,0.59,0.76,0.22,0,0,0.2,0.06,0,0,0,0,0,0,0,0,0.16,0,0,0,0.41,0.88,0.79,0.32
dewPoint,52.17,55.16,55.23,56.53,43.57,39.53,40.2,34.37,35.17,22.15,40.86,49.15,42.46,29.52,34.89,48.63,51.76,46.57,50.6,51.15,53.91,46.43,35.53,39.93,35.25,33.58,44.48,49.8,47.01,48.53,58.52,59.84,55.64,53.48,52.31,53.8,44.17,34.96,41.72,41.92,53.51,49.42,28.78,33.83,46.46,47.7,47.49,45.09,34.32,40.94,46.1,38.84,34.06,47.47,55.27
humidity,0.57,0.63,0.62,0.57,0.43,0.45,0.47,0.38,0.41,0.24,0.47,0.55,0.45,0.33,0.36,0.55,0.57,0.48,0.56,0.57,0.6,0.46,0.37,0.46,0.36,0.32,0.5,0.58,0.52,0.52,0.66,0.65,0.59,0.53,0.46,0.5,0.4,0.29,0.42,0.37,0.54,0.45,0.25,0.33,0.49,0.47,0.47,0.42,0.3,0.39,0.44,0.33,0.36,0.51,0.57
icon,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,cloudy,partly-cloudy-day,partly-cloudy-day
moonPhase,0.93,0.96,0.99,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.78,0.81,0.84,0.88,0.91,0.94,0.97,0,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.25,0.28,0.31,0.35,0.38,0.42,0.46,0.5,0.54,0.58,0.62,0.65,0.69,0.73,0.76
ozone,263.5,258.4,254.5,252.6,249,259.1,261.3,257.5,253,245.8,245.5,249.5,252.4,263.7,263.5,267.3,270.5,273.6,270.8,266.3,264.4,262.1,261.2,262.3,257.7,261.4,264.3,263.1,269.2,279.4,284.4,281.4,279.5,275.8,274.8,273.2,265.9,268.5,268.2,264.3,263.1,266.4,274.4,273,276.9,283,285.9,287.7,294,290.7,285.1,280.8,277.8,276.9,280.6
precipIntensity,0,0.0001,0,0.0002,0.0001,0.0001,0,0.0002,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0,0.0001,0,0.0001,0.0001,0.0001,0,0.0001,0,0,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0,0,0
precipIntensityMax,0.0001,0.0002,0.0002,0.0015,0.0007,0.0004,0.0002,0.0003,0.0003,0.0002,0.0003,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0002,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0003,0.0004,0.0006,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,0.0003,0.0002,0.0003,0.0002,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004,0.0004,0,0,0.0001
precipIntensityMaxTime,1579651560,1579744800,1579845600,1579975860,1579982400,1580121300,1580238000,1580284800,1580365500,1580418000,1580505900,1580590440,1580756400,1580762100,1580915100,1580947200,1581056400,1581152400,1581237300,1581328800,1581368400,1581518040,1581580500,1581692760,1581723360,1581843600,1581936900,1582052400,1582056000,1582194900,1582265460,1582342080,1582426800,1582567200,1582603200,1582663620,1582772400,1582871100,1582978020,1583011500,1583136000,1583184420,1583312400,1583431080,1583453460,1583593200,1583631000,1583765220,1583787600,1583924700,1583992020,1584043800,1584156300,1584218820,1584306000
precipProbability,0.02,0.03,0.04,0.08,0.08,0.03,0.01,0.03,0.03,0.04,0.06,0.05,0.03,0.06,0.03,0.04,0.03,0.01,0.06,0.06,0.04,0.04,0.07,0.02,0.03,0.03,0.02,0.06,0.03,0.01,0.05,0.08,0.08,0.03,0.04,0.05,0.02,0.02,0.01,0.03,0.03,0.05,0.02,0.02,0.02,0.02,0.04,0.05,0.03,0.02,0.02,0.02,0,0,0.01
precipType,,rain,,rain,rain,rain,,rain,rain,rain,rain,rain,,rain,rain,rain,rain,,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,,rain,rain,rain,rain,rain,rain,rain,,rain,,rain,rain,rain,,rain,,,rain,rain,rain,rain,rain,rain,,,
pressure,1017.5,1017.5,1017.4,1017.2,1017,1018.9,1018.6,1018.8,1018.7,1016.8,1017.1,1018.4,1018.9,1017.3,1017.5,1018.7,1018.3,1018.8,1018.1,1015.9,1014.9,1018.6,1021.5,1019.6,1017.6,1017.4,1017.2,1017.2,1015.1,1012.9,1014.2,1017.4,1017.3,1015.9,1014.1,1013.7,1013.9,1012.7,1012.1,1012.5,1013.8,1014.2,1013.1,1012.7,1013.7,1014.4,1013.8,1012.2,1012.4,1015.3,1016.1,1016.5,1016,1013.8,1014.2
summary,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Overcast throughout the day.,Clear throughout the day.
