,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay
Lat,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425,-23.4425
Long,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438,-58.4438
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,104.22,88.69,99.1,98.14,99.85,101.1,103.25,111.52,81.7,98.59,104.09,110.35,115.72,111.76,112.73,114.78,117.79,118.32,115.96,112.09,105.45,112.21,115.86,115.45,119,116.97,115.26,114.83,116.95,114.88,87.42,83.59,90.22,102.85,104.36,93.39,90.3,95.06,95.79,96.86,96.95,97.62,97.61,98.85,98.55,101.12,103.61,101.84,103.64,100.6,103.6,108.12,110.51,103.52,111.05
apparentTemperatureHighTime,1579709220,1579798980,1579894500,1579967700,1580057700,1580142120,1580230800,1580330400,1580399880,1580494320,1580575560,1580653020,1580744820,1580839440,1580932080,1581011220,1581095460,1581175500,1581261420,1581349740,1581450720,1581526500,1581619560,1581709680,1581784380,1581871380,1581960960,1582045260,1582140480,1582211700,1582303200,1582391700,1582477140,1582573860,1582649700,1582735560,1582832040,1582909380,1582995480,1583091240,1583178420,1583249040,1583338500,1583427060,1583514360,1583606880,1583683740,1583783520,1583869500,1583956080,1584033060,1584113820,1584198840,1584291720,1584381720
apparentTemperatureLow,74.96,69.69,68.28,67.21,70.85,77.73,74.89,73.72,71.32,74.32,75.85,78.5,79.62,77.15,85.32,76.78,77.36,78.6,78.48,73.87,76.42,78.78,89.76,90.89,88.71,92.51,96.45,78.88,83.23,76.07,64.87,56.56,62.29,83.3,75.4,59.58,60.33,64.44,68.23,70.81,71.56,69.14,67.07,67.53,65.26,77.59,79.9,77.79,74.84,73.19,78.34,83.3,76.86,78.65,77.92
apparentTemperatureLowTime,1579766340,1579852080,1579939140,1580025420,1580111760,1580198520,1580286360,1580382000,1580456940,1580543400,1580630100,1580718240,1580803140,1580890740,1580976120,1581062820,1581148740,1581234540,1581321720,1581408060,1581494640,1581579720,1581667200,1581753420,1581840000,1581926340,1582012740,1582100280,1582186080,1582272240,1582358640,1582444860,1582530420,1582617180,1582713900,1582790340,1582878780,1582963200,1583049780,1583136240,1583222760,1583309220,1583395440,1583481660,1583567880,1583652840,1583747700,1583827560,1583913540,1583999880,1584085740,1584173160,1584259080,1584348300,1584431640
apparentTemperatureMax,104.22,88.69,99.1,98.14,99.85,101.1,103.25,111.52,84.99,98.59,104.09,110.35,115.72,111.76,112.73,114.78,117.79,118.32,115.96,112.09,105.45,112.21,115.86,115.45,119,116.97,115.26,114.83,116.95,114.88,87.42,83.59,90.22,102.85,104.36,93.39,90.3,95.06,95.79,96.86,96.95,97.62,97.61,98.85,98.55,101.12,103.61,101.84,103.64,100.6,103.6,108.12,110.51,103.52,111.05
apparentTemperatureMaxTime,1579709220,1579798980,1579894500,1579967700,1580057700,1580142120,1580230800,1580330400,1580353200,1580494320,1580575560,1580653020,1580744820,1580839440,1580932080,1581011220,1581095460,1581175500,1581261420,1581349740,1581450720,1581526500,1581619560,1581709680,1581784380,1581871380,1581960960,1582045260,1582140480,1582211700,1582303200,1582391700,1582477140,1582573860,1582649700,1582735560,1582832040,1582909380,1582995480,1583091240,1583178420,1583249040,1583338500,1583427060,1583514360,1583606880,1583683740,1583783520,1583869500,1583956080,1584033060,1584113820,1584198840,1584291720,1584381720
