,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru
Lat,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19
Long,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152,-75.0152
apparentTemperatureLow,73.08,73.28,71.9,75.29,76.53,78.72,73.5,70.16,73.39,73.22,74.74,77.95,74.79,74.08,73.83,73.88,72.42,72.42,71.98,72.53,72.23,72.52,72.96,73.08,74.92,74.69,75.11,75.52,72.87,76.35,73.03,71.59,72.77,74.22,74.19,74,72.45,74.85,73.31,70.41,72.39,73.39,72.25,72.9,71.74,74.7,72.46,71.78,72.77,71.9,73.2,73.97,76.52,76.7,74.51
precipIntensity,0.0462,0.0504,0.0148,0.0073,0.0001,0.0008,0.016,0.1157,0.0023,0.0183,0.0184,0.0007,0.0264,0.0127,0.0238,0.0262,0.0333,0.0087,0.0418,0.042,0.0151,0.0054,0.0032,0.0267,0.0143,0.0093,0.0013,0.0018,0.0045,0.0034,0.0175,0.1034,0.0004,0.0067,0.0145,0.0446,0.0696,0.0151,0.0171,0.0297,0.001,0.0059,0.0159,0.0012,0.0081,0.0073,0.0165,0.023,0.0227,0.0045,0.0105,0.0043,0.0027,0.0052,0.0177
temperatureHighTime,1579722840,1579807200,1579896300,1579981980,1580068500,1580154420,1580242020,1580317260,1580411520,1580501640,1580583900,1580672940,1580759520,1580845860,1580926500,1581014340,1581100020,1581191940,1581279840,1581349140,1581452640,1581537300,1581621540,1581709620,1581782160,1581883260,1581968760,1582057080,1582131720,1582228560,1582314720,1582389480,1582487460,1582573980,1582659900,1582747500,1582826700,1582919160,1583003940,1583086440,1583178300,1583261640,1583334840,1583434680,1583515560,1583610360,1583695620,1583782860,1583867280,1583955720,1584042300,1584125820,1584214800,1584293580,1584382980
temperatureMax,85.88,81.26,85.71,91.9,95.66,98.86,91.81,79.4,92.87,90.22,90.01,93.8,85.84,88.99,90.46,89.2,82.31,93.03,83.92,82.09,85.1,90.1,92.34,85.23,86.86,87.97,95.7,91.55,90.71,94.66,87.82,77.2,88.81,92.73,92.51,85.92,83.5,88.83,90.81,80.11,96.95,95.91,87.37,93.29,87.31,96.4,86.67,87.82,93.25,91.71,96.71,98.11,96.31,94.06,91.48
windSpeed,2.09,2.11,2.07,2.25,2.74,2.66,2.08,2.51,1.69,2.14,2.97,2.55,2.2,1.86,2.37,2.99,1.92,3.14,1.81,2.03,1.99,2.19,2.19,1.75,2.26,3.16,2.83,2.41,2.63,2.9,2.05,1.77,2.11,2.07,2,2.22,2.1,2.08,1.74,1.98,2.33,2.05,2.12,2.54,1.9,2.53,2.02,2.04,2.29,2.7,2.14,2.57,2.82,2.23,1.86
apparentTemperatureMin,74.3,73.08,73.28,71.9,75.29,76.53,78.41,72.78,70.16,73.39,73.22,74.74,75.18,74.79,74.08,73.83,73.88,72.42,72.42,71.98,72.53,72.23,72.52,72.96,73.08,74.92,74.69,75.11,75.52,72.87,76.35,73.03,71.59,72.77,74.22,74.19,74,72.45,74.85,73.3,70.41,72.39,73.39,72.25,72.9,71.74,74.7,72.46,71.78,72.77,71.9,73.2,73.97,76.52,76.7
