,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
Lat,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194,51.9194
Long,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451,19.1451
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,30.94,29.08,27.8,27.98,29.98,35.88,31.24,30.33,31.44,40.79,52.51,37.07,36.3,38.37,29.77,30.25,30.6,39.8,39.69,40.9,31.34,32.13,37.77,34.94,37.69,54.88,55.05,39.69,43.18,39.4,33.7,42.66,38.09,35.7,51.59,36.89,34,34.7,37.19,54.03,42.07,52.52,41.4,45.02,37.46,35.43,43.26,51.93,53.23,51.91,57.97,42.75,34.05,42.14,55.09
apparentTemperatureHighTime,1579711740,1579785540,1579870920,1579965900,1580046420,1580130360,1580223300,1580317260,1580407200,1580463180,1580561340,1580649120,1580747640,1580796000,1580909820,1581012000,1581085080,1581167520,1581253740,1581333420,1581425100,1581515280,1581600480,1581677400,1581773280,1581858360,1581937620,1582033200,1582120860,1582205700,1582290480,1582394400,1582478940,1582555680,1582637460,1582710180,1582812420,1582896780,1582983000,1583069100,1583150280,1583241780,1583330400,1583416500,1583503260,1583572800,1583676120,1583760420,1583847180,1583931660,1584013020,1584108300,1584194220,1584280440,1584365400
apparentTemperatureLow,21.59,19.44,20.36,25.08,24.3,24.29,22.37,27.2,29.67,37.35,33.22,31.11,35.93,22.5,21.71,27.04,17.53,19.25,29.76,28.66,23.97,23.77,27.47,22.78,28.85,41.2,36.29,28.49,29.15,27.57,23.62,32.8,25.77,27.15,31.85,25.69,26.67,21.53,33.07,33.33,30.48,30.63,27.89,26.89,30.71,30.1,23.8,32.71,36.43,36.15,29.86,24.06,17.36,25.11,32.22
apparentTemperatureLowTime,1579762200,1579842360,1579907040,1580022000,1580094300,1580176320,1580281200,1580364120,1580441460,1580504400,1580626800,1580707620,1580754720,1580886000,1580958180,1581058800,1581137460,1581223980,1581278040,1581395760,1581485700,1581569220,1581646080,1581744060,1581814740,1581892080,1582008720,1582089540,1582157520,1582236840,1582344300,1582427460,1582507980,1582587960,1582695840,1582781340,1582842480,1582952640,1583000520,1583114280,1583197140,1583298780,1583386140,1583466600,1583557500,1583643360,1583729640,1583818020,1583883600,1583971140,1584075300,1584162180,1584247740,1584323760,1584421680
apparentTemperatureMax,30.94,29.08,27.8,27.98,29.98,35.88,31.24,30.33,33.32,40.79,52.51,50.34,36.78,38.39,29.77,31.55,32.75,39.8,39.69,40.9,31.34,32.13,37.77,34.94,37.69,54.88,55.05,41.92,43.18,39.4,33.7,42.98,41.05,35.7,51.59,37.92,34,34.7,37.19,54.03,42.07,52.52,41.4,45.02,37.46,37.33,43.26,51.93,53.23,51.91,57.97,42.75,34.05,42.14,55.09
apparentTemperatureMaxTime,1579711740,1579785540,1579870920,1579965900,1580046420,1580130360,1580223300,1580317260,1580414760,1580463180,1580561340,1580598000,1580767200,1580795460,1580909820,1581026400,1581039840,1581167520,1581253740,1581333420,1581425100,1581515280,1581600480,1581677400,1581773280,1581858360,1581937620,1581980400,1582120860,1582205700,1582290480,1582398120,1582412400,1582555680,1582637460,1582671600,1582812420,1582896780,1582983000,1583069100,1583150280,1583241780,1583330400,1583416500,1583503260,1583536860,1583676120,1583760420,1583847180,1583931660,1584013020,1584108300,1584194220,1584280440,1584365400
