,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar
Lat,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548,25.3548
Long,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839,51.1839
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,77.2,63.08,67.23,73.42,61.15,65.11,70.09,71.05,73.41,73.55,78.34,72.03,70.14,70.8,77.35,80.48,84.87,88.52,81.32,70.64,65.23,59.88,66.35,73.32,78.75,79.91,83.22,87.62,88.75,87.92,78,82.86,85.8,89.7,92.94,76.75,75.23,77.37,81.33,87.77,80.37,75.98,76.31,79.56,83,86.03,84.47,78.37,84.25,84.16,85.77,87.3,88,91.04,89.44
apparentTemperatureHighTime,1579689720,1579766280,1579859700,1579957020,1580040060,1580118840,1580205540,1580292420,1580378340,1580465280,1580554260,1580636820,1580723580,1580810280,1580901360,1580989560,1581069720,1581156060,1581242460,1581327780,1581408180,1581500940,1581588120,1581674520,1581760800,1581848400,1581938640,1582020000,1582106640,1582193040,1582278840,1582365660,1582451820,1582538220,1582627500,1582704240,1582797300,1582884900,1582973460,1583059380,1583142060,1583228400,1583316240,1583402220,1583489940,1583575920,1583661480,1583747640,1583834100,1583921400,1584007440,1584093720,1584180240,1584265860,1584354660
apparentTemperatureLow,60.89,55.36,47.64,52.74,54.3,46.11,45.58,46.56,43.19,46.98,57.05,50.15,45.97,50.21,53,56.15,59.77,61.17,63.51,57.56,41.88,42.34,45.45,47.29,47.19,54.7,57.5,57,62.64,60.23,57.95,57.01,62.33,65.21,70.81,53.48,55.19,52.22,54.06,57.07,57.39,56.84,55.59,50.9,51.78,54.44,56.69,54.89,52.99,52.1,54.63,64.67,67.06,61.92,62.76
apparentTemperatureLowTime,1579745400,1579831620,1579917480,1580004960,1580090340,1580176740,1580263260,1580349660,1580435940,1580521920,1580594280,1580694900,1580781540,1580867820,1580954040,1581040620,1581126840,1581213120,1581299880,1581386580,1581474060,1581558960,1581645600,1581717600,1581820320,1581903420,1581990840,1582077540,1582156440,1582250340,1582336560,1582422960,1582501920,1582595760,1582682820,1582767840,1582854840,1582939560,1583027820,1583114160,1583200320,1583286540,1583373240,1583459880,1583546100,1583632620,1583718960,1583805300,1583892000,1583978340,1584064740,1584136200,1584228540,1584323940,1584410100
apparentTemperatureMax,77.2,64.19,67.23,73.42,61.15,65.11,70.09,71.05,73.41,73.55,78.34,72.03,70.14,70.8,77.35,80.48,84.87,88.52,81.32,70.64,65.23,59.88,66.35,73.32,78.75,79.91,83.22,87.62,88.75,87.92,78,82.86,85.8,89.7,92.94,76.75,75.23,77.37,81.33,87.77,80.37,75.98,76.31,79.56,83,86.03,84.47,78.37,84.25,84.16,85.77,87.3,88,91.04,89.44
apparentTemperatureMaxTime,1579689720,1579726800,1579859700,1579957020,1580040060,1580118840,1580205540,1580292420,1580378340,1580465280,1580554260,1580636820,1580723580,1580810280,1580901360,1580989560,1581069720,1581156060,1581242460,1581327780,1581408180,1581500940,1581588120,1581674520,1581760800,1581848400,1581938640,1582020000,1582106640,1582193040,1582278840,1582365660,1582451820,1582538220,1582627500,1582704240,1582797300,1582884900,1582973460,1583059380,1583142060,1583228400,1583316240,1583402220,1583489940,1583575920,1583661480,1583747640,1583834100,1583921400,1584007440,1584093720,1584180240,1584265860,1584354660
