,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania
Lat,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432,45.9432
Long,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668,24.9668
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,30.06,23.22,34.93,40.41,45.7,44.3,42.62,28.65,27.48,39.06,45.78,42.64,37.53,43.77,31.4,21.93,22.38,23.14,37.4,44.21,39.67,29.58,33.37,45.33,38.29,46.84,53.08,52.21,44.36,37.14,39.57,36.1,44.54,38,58.36,60.22,32.2,44.99,39.95,54.97,54.82,64.06,61.77,35.77,53.22,58.8,45.18,45.34,45.12,44.49,64.95,66.83,51.52,47.13,53.43
apparentTemperatureHighTime,1579687860,1579787580,1579863960,1579957080,1580038500,1580123220,1580209560,1580295720,1580381760,1580467380,1580557560,1580640960,1580716080,1580813760,1580910000,1580997120,1581084060,1581159300,1581249420,1581332940,1581411720,1581508200,1581591600,1581679020,1581776400,1581857460,1581944520,1582024080,1582110060,1582204800,1582289100,1582379940,1582466340,1582520400,1582638300,1582725300,1582790340,1582890660,1582985580,1583068980,1583147460,1583242260,1583319660,1583405940,1583501160,1583587800,1583668680,1583755260,1583847120,1583924100,1584021000,1584097620,1584184320,1584280380,1584366480
apparentTemperatureLow,15.69,19.17,22.46,29.28,26.25,32.43,26.49,21.62,23.63,32.56,36.04,35.55,31.88,26.48,12.94,17.6,7.37,15.04,18.47,25.94,21.26,22.11,19.39,28.46,24.32,24.49,29.63,33.86,27.53,31.22,26.01,25.29,35.4,26.29,30.56,30.53,22.25,24.19,25.85,30.45,35.05,39.72,32.15,25.5,33.66,39.14,39.22,40.43,36.27,39.63,41.99,37.93,29.74,21.33,27.17
apparentTemperatureLowTime,1579736460,1579842480,1579906800,1579977420,1580101800,1580151660,1580255220,1580354580,1580407560,1580491800,1580616420,1580676000,1580787840,1580882400,1580968740,1581031200,1581133320,1581224040,1581313920,1581397740,1581463980,1581551340,1581637080,1581746400,1581828900,1581914700,1582001280,1582089660,1582178400,1582231440,1582341180,1582414500,1582524000,1582587780,1582692960,1582783200,1582868340,1582940520,1583005740,1583115120,1583193300,1583297340,1583385480,1583465760,1583553060,1583642580,1583727900,1583806200,1583899800,1583960160,1584065040,1584156900,1584252000,1584334980,1584415140
apparentTemperatureMax,30.06,25.36,34.93,40.41,45.7,44.3,42.62,33.75,27.48,39.06,45.78,42.64,39.05,43.77,31.4,21.93,22.38,23.14,37.4,44.21,39.67,29.58,33.37,45.33,38.29,46.84,53.08,52.21,44.36,37.14,39.57,36.1,44.54,43.14,58.36,60.22,41.15,44.99,39.95,54.97,54.82,64.06,61.77,37.51,53.22,58.8,45.18,45.34,45.12,44.49,64.95,66.83,51.52,47.13,53.43
apparentTemperatureMaxTime,1579687860,1579813200,1579863960,1579957080,1580038500,1580123220,1580209560,1580264880,1580381760,1580467380,1580557560,1580640960,1580691600,1580813760,1580910000,1580997120,1581084060,1581159300,1581249420,1581332940,1581411720,1581508200,1581591600,1581679020,1581776400,1581857460,1581944520,1582024080,1582110060,1582204800,1582289100,1582379940,1582466340,1582506060,1582638300,1582725300,1582757880,1582890660,1582985580,1583068980,1583147460,1583242260,1583319660,1583359200,1583501160,1583587800,1583668680,1583755260,1583847120,1583924100,1584021000,1584097620,1584184320,1584280380,1584366480
