,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
Lat,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Long,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,-23.91,-7.56,18.16,22.26,11.24,4.63,19.62,22.06,-15.17,-15.89,-11.22,-26.01,-17.43,-5.93,4.68,16.25,18.37,12.18,22.4,-5.55,-1.11,4.19,3.84,9.47,13.24,10.36,11.09,15.71,10.71,21.93,24.33,27.1,22.82,15.94,20.02,16.85,7.58,12.41,14.88,15.5,11.51,21.43,17.43,20.63,1.24,-4.94,18.29,23.13,16.9,14.12,26.81,30.25,31.1,30.15,29.25
apparentTemperatureHighTime,1579686780,1579780800,1579867200,1579953600,1580025360,1580104380,1580197860,1580285640,1580384640,1580457300,1580543040,1580634420,1580731200,1580803680,1580904000,1580975940,1581040680,1581162780,1581206400,1581292800,1581422400,1581493800,1581581220,1581674220,1581753720,1581840720,1581926580,1582012920,1582099260,1582184040,1582268220,1582350660,1582429560,1582531620,1582617840,1582704360,1582791240,1582891200,1582963200,1583038920,1583150400,1583221320,1583323200,1583366400,1583481360,1583569560,1583668800,1583734800,1583822100,1583928000,1583999580,1584093720,1584172260,1584258660,1584345840
apparentTemperatureLow,-24.52,-7.56,16.97,4.7,3.48,3.67,8.7,-23.19,-24.41,-26.5,-38.22,-29.46,-17.43,-10.37,4.68,11.32,-0.41,10.75,-13.17,-13.07,-1.12,-4.29,-7.76,4.14,-9.38,-0.58,7.42,5.15,10.38,17.64,15.28,21.48,-5.14,0.34,1.72,-9.38,-0.24,7.44,2.94,-0.22,8.2,6.31,17.43,-4.77,-24.43,-13.03,17.19,9.38,5.23,14.12,22.84,18.11,23.03,23.23,-3.23
apparentTemperatureLowTime,1579696740,1579780800,1579914000,1580000400,1580086800,1580126400,1580255760,1580346000,1580432400,1580492640,1580605200,1580648340,1580731200,1580848560,1580904000,1581001380,1581094980,1581166860,1581296400,1581382800,1581469200,1581555600,1581642000,1581728400,1581814800,1581901200,1581945000,1582074000,1582113600,1582235280,1582320720,1582416420,1582499040,1582592280,1582675800,1582754640,1582843680,1582938000,1583013360,1583104200,1583189460,1583273280,1583323200,1583456400,1583542800,1583594580,1583715600,1583802000,1583888400,1583928000,1584050760,1584142980,1584234000,1584306060,1584406800
apparentTemperatureMax,-18.71,-3.35,19.86,22.47,14.97,10.73,19.62,22.06,-6.24,-15.89,-11.22,-26.01,-16.71,-5.93,8.93,16.25,18.37,15.27,23.17,3.11,0.57,4.19,3.84,9.52,13.24,12.2,11.4,15.71,12.59,21.93,25.99,27.1,25.1,15.94,20.02,16.85,7.58,14.35,15.15,15.5,11.58,21.43,18.42,20.91,6.6,-4.94,20.71,23.13,20.45,17.83,26.81,30.25,31.1,30.15,29.25
apparentTemperatureMaxTime,1579626840,1579795200,1579881600,1579956300,1579971600,1580140800,1580197860,1580285640,1580317200,1580457300,1580543040,1580634420,1580745600,1580803680,1580918400,1580975940,1581040680,1581177600,1581202440,1581267600,1581436800,1581493800,1581581220,1581689700,1581753720,1581868800,1581872400,1582012920,1582045200,1582184040,1582290060,1582350660,1582390800,1582531620,1582617840,1582704360,1582791240,1582905600,1582981500,1583038920,1583151300,1583221320,1583337600,1583356620,1583437440,1583569560,1583683200,1583734800,1583783460,1583859600,1583999580,1584093720,1584172260,1584258660,1584345840
apparentTemperatureMin,-35.89,-23.55,-1.76,16.45,4.67,3.12,11.27,-2.25,-23.44,-24.59,-33.68,-38.49,-26.35,-16.38,-10.37,7.94,2.98,-0.41,4.02,-13.61,-13.12,-1.73,-4.43,-7.88,3.2,-9.38,-0.96,7.91,5.14,10.44,17.64,15.28,5.22,-5.14,0.34,1.72,-10.61,-0.24,7.38,2.94,-0.22,8.2,6.31,0.7,-7.19,-24.54,-11.87,17.18,9.18,5.2,16.86,22.84,18.11,22.93,21.06
