,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Lat,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843,12.9843
Long,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872,-61.2872
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Humid and mostly cloudy throughout the day.,Possible drizzle in the morning.,Possible light rain in the morning and afternoon.,Humid and mostly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Possible light rain in the morning.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the morning.,Humid and mostly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible drizzle in the morning.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain overnight.,Possible light rain in the morning and afternoon.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Possible drizzle in the evening and overnight.,Possible drizzle in the morning.,Humid and partly cloudy throughout the day.
icon,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,rain,rain,rain,rain,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,clear-day,rain,rain,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,clear-day,clear-day,clear-day,rain,rain,partly-cloudy-day
sunriseTime,1579689180,1579775580,1579861980,1579948380,1580034780,1580121180,1580207580,1580293980,1580380380,1580466780,1580553180,1580639520,1580725920,1580812320,1580898720,1580985120,1581071520,1581157860,1581244260,1581330660,1581417000,1581503400,1581589800,1581676140,1581762540,1581848940,1581935280,1582021680,1582108080,1582194420,1582280820,1582367160,1582453560,1582539900,1582626300,1582712640,1582799040,1582885380,1582971780,1583058120,1583144460,1583230860,1583317200,1583403600,1583489940,1583576340,1583662680,1583749020,1583835420,1583921760,1584008100,1584094500,1584180840,1584267180,1584353580
sunsetTime,1579730520,1579816980,1579903380,1579989840,1580076240,1580162700,1580249100,1580335560,1580421960,1580508420,1580594820,1580681280,1580767680,1580854080,1580940540,1581026940,1581113400,1581199800,1581286200,1581372660,1581459060,1581545460,1581631920,1581718320,1581804720,1581891180,1581977580,1582063980,1582150380,1582236840,1582323240,1582409640,1582496040,1582582440,1582668900,1582755300,1582841700,1582928100,1583014500,1583100960,1583187360,1583273760,1583360160,1583446560,1583532960,1583619360,1583705760,1583792160,1583878620,1583965020,1584051420,1584137820,1584224220,1584310620,1584397020
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
