,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia
Lat,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165,44.0165
Long,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059,21.0059
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,42.04,33.51,40.56,50.24,52.02,38.92,50.34,46.42,41.11,55.59,61.7,58.43,57.6,59.34,24.77,29.97,31.35,42.03,51.61,53.89,46.48,46.81,52.8,42.35,47.51,54.89,61.39,55.01,51.26,37.08,50.89,44.08,57.8,53.26,65.04,66.05,35.14,33.91,47.64,59.85,68.01,65.93,43.68,51.12,55.91,55.99,38.92,43.7,38.3,58.66,71.97,69.44,53.42,42.41,54.11
apparentTemperatureHighTime,1579698360,1579786440,1579871400,1579957800,1580041260,1580114940,1580216640,1580298540,1580391540,1580476440,1580562540,1580649780,1580730060,1580824380,1580911740,1580995920,1581092880,1581168720,1581254040,1581341700,1581410940,1581515760,1581600180,1581687660,1581773760,1581859200,1581946620,1582020060,1582118100,1582206900,1582292160,1582378560,1582463640,1582551180,1582638300,1582726500,1582811820,1582898700,1582981380,1583068860,1583154780,1583241120,1583301600,1583415240,1583505000,1583575500,1583681940,1583762820,1583849820,1583934600,1584019560,1584105180,1584195840,1584270000,1584365160
apparentTemperatureLow,23.3,16.72,23.56,26.33,37.71,26.45,28.71,25.87,20.87,36.57,37.74,37.49,37.43,21.92,14.26,23.5,25.34,18.75,21.51,32.62,32.11,23.77,30.12,33.33,24.61,25.92,32.1,36.49,29.28,29.62,27.14,22.92,36.25,26.55,38.26,26.29,25.16,26.06,25.05,46.19,54.06,42.55,31.85,29.41,36.23,32.17,30.48,32.7,35.05,38.59,44.2,43.05,35.19,26.04,27.42
apparentTemperatureLowTime,1579737120,1579841460,1579926960,1580015220,1580082240,1580189880,1580269620,1580365080,1580446740,1580535180,1580612040,1580706420,1580793900,1580886000,1580968680,1581024240,1581141900,1581224100,1581310620,1581396900,1581486300,1581570060,1581637560,1581745860,1581829920,1581914760,1582001700,1582089660,1582182000,1582266780,1582329180,1582433580,1582520640,1582605660,1582691760,1582776840,1582847760,1582951800,1583038500,1583126160,1583211600,1583305200,1583385720,1583463780,1583557320,1583650800,1583728920,1583823600,1583905680,1583988840,1584075600,1584158880,1584252840,1584316260,1584419400
apparentTemperatureMax,42.04,33.51,40.56,50.24,52.02,40.16,50.34,46.42,41.11,55.59,61.7,58.43,57.6,59.34,25.76,29.97,31.35,42.03,51.61,53.89,46.48,46.81,52.8,42.35,47.51,54.89,61.39,55.01,51.26,38.8,50.89,44.08,57.8,53.26,65.04,66.05,40.8,33.91,47.64,59.85,68.01,65.93,47.85,51.12,55.91,55.99,38.92,43.7,38.3,58.66,71.97,69.44,53.42,42.59,54.11
apparentTemperatureMaxTime,1579698360,1579786440,1579871400,1579957800,1580041260,1580087160,1580216640,1580298540,1580391540,1580476440,1580562540,1580649780,1580730060,1580824380,1580857200,1580995920,1581092880,1581168720,1581254040,1581341700,1581410940,1581515760,1581600180,1581687660,1581773760,1581859200,1581946620,1582020060,1582118100,1582155360,1582292160,1582378560,1582463640,1582551180,1582638300,1582726500,1582758000,1582898700,1582981380,1583068860,1583154780,1583241120,1583276400,1583415240,1583505000,1583575500,1583681940,1583762820,1583849820,1583934600,1584019560,1584105180,1584195840,1584226800,1584365160
apparentTemperatureMin,22.91,23.3,16.72,23.56,26.33,35.16,26.45,28.71,25.87,20.87,36.57,37.74,37.49,26.51,16.54,14.26,23.53,25.34,18.75,21.51,32.62,32.11,23.77,30.12,33.33,24.61,25.92,32.1,36.49,29.26,29.62,27.14,22.92,33.25,26.55,38.26,26.29,25.16,26.06,25.05,46.19,51.28,34.85,30.72,29.41,36.23,31.76,30.48,32.27,35.05,38.59,44.2,43.05,26.24,26.04
apparentTemperatureMinTime,1579670340,1579737120,1579841460,1579926960,1580015220,1580134380,1580189880,1580269620,1580365080,1580446740,1580535180,1580612040,1580706420,1580853600,1580940000,1580968680,1581055020,1581141900,1581224100,1581310620,1581396900,1581486300,1581570060,1581637560,1581745860,1581829920,1581914760,1582001700,1582089660,1582182960,1582266780,1582329180,1582433580,1582581600,1582605660,1582691760,1582776840,1582847760,1582951800,1583038500,1583126160,1583272800,1583328180,1583445600,1583463780,1583557320,1583657460,1583728920,1583829720,1583905680,1583988840,1584075600,1584158880,1584309600,1584316260
cloudCover,0.09,0.32,0.03,0.49,0.53,0.99,0.71,0.87,0.4,0.62,0.38,0.56,1,0.93,1,0.65,0.9,0.4,0,0.65,0.93,0.95,0.11,0.95,0.49,0.02,0.4,0.64,0.78,0.84,0.41,0.62,0.87,0.89,0.55,0.73,0.78,0.88,0.39,0.7,0.74,1,1,0.43,0.88,0.64,1,0.99,1,0.9,0.15,0.22,0.99,0.78,0.01
dewPoint,22.3,24.38,20.94,28.06,33.94,36.49,34.68,34.87,29.36,28.84,37.98,39.42,40.16,39.59,30.71,18.81,28.16,23.34,25.9,31.09,38.13,31.28,29.15,36.01,35.07,32.14,31.67,36.44,31.93,32.91,27.8,27.75,28.68,31.53,32.24,36.12,31.98,31.3,27.02,30.17,36.76,39.93,41.68,29.45,33.55,40.19,35.63,34.53,38.2,37.41,42.06,40.69,31.26,30.21,23.33
