,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles
Lat,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796,-4.6796
Long,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492,55.492
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,94.09,97.43,94.09,91.72,93.39,94.63,92.91,91.26,81.22,87.19,83.63,88.43,90.19,90.33,90.3,90.62,92.34,91.59,90.68,91.59,91.55,92.88,90.4,89.8,88.54,92.39,91.9,91.18,92.37,94.14,94.19,96.67,94.98,94.95,89.55,92.47,90.64,94.74,84.82,93.94,94.08,91.33,92.64,89.01,95.21,92.79,92.55,90.93,92.85,89.76,93.28,92.86,94.78,91.32,98.12
apparentTemperatureHighTime,1579683420,1579768440,1579849500,1579939620,1580040120,1580109000,1580197980,1580285640,1580368020,1580455500,1580547360,1580627520,1580717160,1580803200,1580892600,1580974080,1581059040,1581149880,1581238740,1581318420,1581408540,1581494640,1581579840,1581670200,1581757680,1581840240,1581929760,1582026240,1582100940,1582185600,1582275120,1582357860,1582442040,1582530720,1582616040,1582710900,1582793280,1582876860,1582959720,1583048700,1583136360,1583220060,1583312280,1583391360,1583484420,1583564820,1583654580,1583742060,1583829720,1583910540,1584000840,1584086880,1584173160,1584260460,1584346260
apparentTemperatureLow,84.18,83.28,82.28,79.04,82.1,79.28,81.03,78.13,77.5,76.3,78.76,79.36,79.67,81.48,83.23,81.56,80.88,78.9,80.76,79.92,79.48,79.95,78.6,78.33,79.5,81.24,79.67,80.99,83.42,83.46,84.16,84.9,82.16,79.66,77.68,78.74,81.92,79.3,79.99,82.32,81.63,82.81,78.72,79.28,82.67,79.37,81.79,79.96,78.8,78.91,81.93,81.36,79.18,81.5,82.72
apparentTemperatureLowTime,1579731300,1579824360,1579908540,1579995840,1580078820,1580171160,1580246280,1580342700,1580428860,1580520660,1580594220,1580674620,1580753040,1580864700,1580937240,1581020340,1581119880,1581198840,1581300000,1581361440,1581461520,1581537720,1581629040,1581722820,1581796980,1581904500,1581989640,1582071180,1582151340,1582242540,1582322520,1582415580,1582491960,1582590660,1582643760,1582751460,1582846260,1582925820,1582992180,1583104260,1583197980,1583273220,1583359620,1583441880,1583543280,1583627520,1583716320,1583794860,1583889000,1583971020,1584053100,1584142500,1584237120,1584310140,1584394620
apparentTemperatureMax,94.09,97.43,94.09,91.72,93.39,94.63,92.91,91.26,81.22,87.19,83.63,88.43,90.19,90.33,90.3,90.62,92.34,91.59,90.68,91.59,91.55,92.88,90.4,89.8,88.54,92.39,91.9,91.18,92.37,94.14,94.19,96.67,94.98,94.95,89.55,92.47,90.64,94.74,84.82,93.94,94.08,91.33,92.64,89.01,95.21,92.79,92.55,90.93,92.85,89.76,93.28,92.86,94.78,91.32,98.12
apparentTemperatureMaxTime,1579683420,1579768440,1579849500,1579939620,1580040120,1580109000,1580197980,1580285640,1580368020,1580455500,1580547360,1580627520,1580717160,1580803200,1580892600,1580974080,1581059040,1581149880,1581238740,1581318420,1581408540,1581494640,1581579840,1581670200,1581757680,1581840240,1581929760,1582026240,1582100940,1582185600,1582275120,1582357860,1582442040,1582530720,1582616040,1582710900,1582793280,1582876860,1582959720,1583048700,1583136360,1583220060,1583312280,1583391360,1583484420,1583564820,1583654580,1583742060,1583829720,1583910540,1584000840,1584086880,1584173160,1584260460,1584346260
