,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
Lat,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833,1.2833
Long,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333,103.8333
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,104.47,104.24,99.14,99.73,101.31,102.88,104.05,97.92,101.08,100.15,101.55,101.33,99.52,97.99,99.91,101.74,101.51,98.28,96.92,100.73,102.27,103.46,106.44,104.26,100.49,103.31,99.51,99.28,102.63,102.18,101.46,101.18,101.78,99.95,102.37,105.03,102.9,103.54,101.1,103.3,103.89,106.1,104.42,99.33,104.2,106.25,104.69,104.94,107.7,106.48,106.86,104.11,105.38,107.56,106.77
apparentTemperatureHighTime,1579670340,1579756200,1579843260,1579929360,1580015640,1580101620,1580191140,1580270400,1580362620,1580447040,1580534400,1580621400,1580707980,1580793000,1580879940,1580966580,1581052500,1581138060,1581225420,1581314520,1581396840,1581484140,1581572340,1581659280,1581743280,1581829560,1581919920,1582004880,1582089600,1582175520,1582262880,1582347960,1582434720,1582518360,1582608900,1582694040,1582782540,1582867560,1582956060,1583041620,1583128020,1583211840,1583299140,1583380020,1583474280,1583556960,1583643780,1583736720,1583820120,1583900580,1583991960,1584076380,1584164520,1584249720,1584334980
apparentTemperatureLow,79.49,79.41,78.32,79.28,82.15,81.68,79.35,78.16,79.7,81.53,79.41,79.62,78.5,78.05,79.66,81.7,78.54,78.82,78.14,79.74,79.69,81.21,79.83,79.56,79.45,79.04,79.93,81.28,78.36,78.91,78.38,79.01,78.82,79.72,79.78,80.78,81.66,79.21,78.68,78.98,81.74,80.7,83.57,80.82,82.23,82.05,80.59,82.43,83.95,81.43,79.65,84.89,86.38,85.03,83.6
apparentTemperatureLowTime,1579717800,1579815780,1579905660,1579992120,1580070180,1580161380,1580247600,1580316960,1580404920,1580496780,1580586360,1580664540,1580770260,1580840160,1580923500,1581010440,1581115620,1581198540,1581275160,1581358380,1581442020,1581531360,1581630720,1581716880,1581806520,1581892980,1581972300,1582059420,1582132800,1582221480,1582308420,1582395060,1582478760,1582565220,1582651620,1582738440,1582842720,1582927080,1583013420,1583099940,1583185740,1583272560,1583358420,1583429580,1583531460,1583601960,1583707260,1583793840,1583877540,1583963100,1584053280,1584120480,1584223080,1584308280,1584389220
apparentTemperatureMax,104.47,104.24,99.14,99.73,101.31,102.88,104.05,97.92,101.08,100.15,101.55,101.33,99.52,97.99,99.91,101.74,101.51,98.28,96.92,100.73,102.27,103.46,106.44,104.26,100.49,103.31,99.51,99.28,102.63,102.18,101.46,101.18,101.78,99.95,102.37,105.03,102.9,103.54,101.1,103.3,103.89,106.1,104.42,99.33,104.2,106.25,104.69,104.94,107.7,106.48,106.86,104.11,105.38,107.56,106.77
apparentTemperatureMaxTime,1579670340,1579756200,1579843260,1579929360,1580015640,1580101620,1580191140,1580270400,1580362620,1580447040,1580534400,1580621400,1580707980,1580793000,1580879940,1580966580,1581052500,1581138060,1581225420,1581314520,1581396840,1581484140,1581572340,1581659280,1581743280,1581829560,1581919920,1582004880,1582089600,1582175520,1582262880,1582347960,1582434720,1582518360,1582608900,1582694040,1582782540,1582867560,1582956060,1583041620,1583128020,1583211840,1583299140,1583380020,1583474280,1583556960,1583643780,1583736720,1583820120,1583900580,1583991960,1584076380,1584164520,1584249720,1584334980
apparentTemperatureMin,79.34,79.49,79.41,78.32,79.28,82.15,81.68,78.97,78.16,79.7,81.53,79.41,79.62,78.5,78.05,79.66,81.7,78.54,78.82,78.14,79.74,79.69,81.21,79.83,79.56,79.45,79.04,79.93,81.28,78.36,78.91,78.38,79.01,78.82,79.72,79.78,80.78,81.66,79.21,78.68,78.98,81.74,80.7,83.57,80.82,82.23,82.05,80.59,82.43,83.95,81.43,79.65,84.89,86.38,85.03
apparentTemperatureMinTime,1579636200,1579717800,1579815780,1579905660,1579992120,1580070180,1580161380,1580310000,1580316960,1580404920,1580496780,1580586360,1580664540,1580770260,1580840160,1580923500,1581010440,1581115620,1581198540,1581275160,1581358380,1581442020,1581531360,1581630720,1581716880,1581806520,1581892980,1581972300,1582059420,1582132800,1582221480,1582308420,1582395060,1582478760,1582565220,1582651620,1582738440,1582842720,1582927080,1583013420,1583099940,1583185740,1583272560,1583358420,1583429580,1583531460,1583601960,1583707260,1583793840,1583877540,1583963100,1584053280,1584120480,1584223080,1584308280
cloudCover,0.51,0.39,0.34,0.36,0.49,0.82,0.59,0.97,0.82,0.52,0.66,0.79,0.77,0.73,0.76,0.9,0.7,0.94,0.93,0.79,0.74,0.98,0.79,0.39,0.31,0.65,0.66,0.2,0.31,0.57,0.38,0.3,0.12,0.35,0.7,0.61,0.71,0.64,0.3,0.71,0.61,0.78,0.74,0.97,0.86,0.69,0.84,0.57,0.79,0.28,0.49,0.24,0.61,0.7,0.47
dewPoint,77.94,77.44,75.17,75.18,76.77,77.86,78.43,78.4,76.69,76.12,76.97,76.83,75.1,74.26,75.2,75.75,75.32,73.71,77.51,77.91,78.89,78.73,78.43,78.08,76.63,77.37,76.38,77.25,76.58,76.73,77.51,76.6,76.59,78.01,76.65,76.8,76.45,76.5,75.21,75.64,76.67,77.3,77.67,78.64,78.01,78.63,78.05,77.88,78.76,78.88,77.67,77.53,78.38,78.33,78.01
humidity,0.88,0.86,0.8,0.81,0.84,0.87,0.88,0.96,0.88,0.82,0.84,0.86,0.79,0.79,0.82,0.8,0.79,0.77,0.93,0.93,0.93,0.9,0.87,0.87,0.84,0.86,0.83,0.87,0.82,0.84,0.89,0.86,0.84,0.91,0.84,0.82,0.81,0.81,0.78,0.8,0.83,0.83,0.84,0.93,0.87,0.89,0.86,0.85,0.86,0.86,0.83,0.83,0.84,0.83,0.82
