,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
Lat,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Long,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,53.81,53.57,53.25,50.22,53.56,54.97,58.24,59.06,57.71,60.99,63.12,59.93,61.91,65.51,60.69,57.6,57.65,56.15,58.12,61.95,61.8,58.94,61.09,58.73,62.8,63.9,59.83,59.05,62.67,63.41,68.88,70.47,71.41,71.29,65.8,63.18,66.28,68.25,58.01,59.27,57.69,58.37,63.63,61.48,57.64,62.64,64.42,66.89,73.83,78.97,79.32,73.98,72.67,69.56,48.18
apparentTemperatureHighTime,1579701660,1579788300,1579874400,1579953240,1580046480,1580132880,1580219520,1580305320,1580392740,1580478660,1580565840,1580652540,1580739660,1580825700,1580911260,1580998200,1581084660,1581170340,1581257040,1581343440,1581434220,1581516540,1581601680,1581689460,1581775560,1581862020,1581948180,1582034580,1582124280,1582207500,1582294140,1582380600,1582466820,1582553400,1582637940,1582729140,1582812240,1582898580,1582984920,1583071980,1583154900,1583254260,1583331000,1583417460,1583502480,1583589720,1583675940,1583762400,1583849400,1583935800,1584021960,1584113040,1584200460,1584280680,1584365280
apparentTemperatureLow,28.6,37.03,40.38,35.64,31.88,44.66,44.05,42.54,43.47,53.04,44.69,39.4,37.36,33.12,29.13,34.75,34.65,36.54,38.19,39.34,45.25,40.28,37.87,36.02,35.02,36.38,35.8,33.12,33.15,30.94,35.14,33.02,37.38,36.32,36.7,33.29,37.24,40.64,39.2,53.31,33.69,52.05,45.06,33.2,33.76,31.42,34.52,39.32,43.96,48.63,50.17,44.19,46.07,33.23,30.78
apparentTemperatureLowTime,1579762800,1579845180,1579910280,1580022000,1580099100,1580160540,1580254980,1580366280,1580419800,1580514240,1580615640,1580705520,1580792640,1580885760,1580965080,1581051720,1581138240,1581224520,1581310680,1581396900,1581483180,1581574440,1581657480,1581742980,1581829320,1581915300,1582002420,1582088340,1582181760,1582261140,1582344540,1582434180,1582520580,1582607700,1582693800,1582783560,1582865940,1582953780,1583038500,1583129160,1583207940,1583305200,1583379660,1583467320,1583556660,1583647320,1583730060,1583816580,1583903340,1583989200,1584076320,1584162780,1584248460,1584338640,1584420600
apparentTemperatureMax,53.81,53.57,53.25,50.22,53.56,54.97,58.24,59.06,57.71,60.99,63.12,59.93,61.91,65.51,60.69,57.6,57.65,56.15,58.12,61.95,61.8,58.94,61.09,58.73,62.8,63.9,59.83,59.05,62.67,63.41,68.88,70.47,71.41,71.29,65.8,63.18,66.28,68.25,58.01,59.27,57.69,58.37,63.63,61.48,57.64,62.64,64.42,66.89,73.83,78.97,79.32,73.98,72.67,69.56,51.36
apparentTemperatureMaxTime,1579701660,1579788300,1579874400,1579953240,1580046480,1580132880,1580219520,1580305320,1580392740,1580478660,1580565840,1580652540,1580739660,1580825700,1580911260,1580998200,1581084660,1581170340,1581257040,1581343440,1581434220,1581516540,1581601680,1581689460,1581775560,1581862020,1581948180,1582034580,1582124280,1582207500,1582294140,1582380600,1582466820,1582553400,1582637940,1582729140,1582812240,1582898580,1582984920,1583071980,1583154900,1583254260,1583331000,1583417460,1583502480,1583589720,1583675940,1583762400,1583849400,1583935800,1584021960,1584113040,1584200460,1584280680,1584313200
apparentTemperatureMin,34.84,28.16,37.03,40.38,33.82,31.88,45.29,44.05,42.54,44.15,50.87,44.69,39.4,37.36,33.12,29.13,34.75,34.65,36.54,38.19,39.34,45.25,40.28,37.87,36.02,35.02,36.38,35.8,33.12,33.15,30.94,35.14,33.02,37.38,36.32,36.7,33.29,37.24,40.64,39.2,39.45,33.69,51.89,45.06,33.2,33.76,31.42,34.52,39.32,43.96,48.63,50.17,44.19,46.07,33.23
apparentTemperatureMinTime,1579676520,1579765440,1579845180,1579910280,1580076000,1580099100,1580248800,1580254980,1580366280,1580425200,1580594400,1580615640,1580705520,1580792640,1580885760,1580965080,1581051720,1581138240,1581224520,1581310680,1581396900,1581483180,1581574440,1581657480,1581742980,1581829320,1581915300,1582002420,1582088340,1582181760,1582261140,1582344540,1582434180,1582520580,1582607700,1582693800,1582783560,1582865940,1582953780,1583038500,1583186400,1583207940,1583308200,1583379660,1583467320,1583556660,1583647320,1583730060,1583816580,1583903340,1583989200,1584076320,1584162780,1584248460,1584338640
cloudCover,0.83,0.6,0.94,0.96,0.45,0.75,1,0.93,0.96,0.92,0.8,0.67,0.48,0.1,0,0.3,0.59,0.62,0.78,0.18,0.72,1,0.75,0.18,0.33,0.04,0.71,0.59,0.09,0,0,0,0.17,0,0.54,0.37,0.23,0.51,0.76,0.89,0.82,0.83,0.9,0.71,0.55,0.68,0.38,0.55,0.6,0.38,0.97,0.63,0.23,0.46,0.79
dewPoint,36.85,35.18,38.47,41.33,38.74,37.25,46.53,45.29,43.18,47.45,49.84,47.11,43.7,41.04,31.32,38.11,39.54,40.44,40.03,43.56,44.34,45.48,43.85,40.6,39.48,41.02,44.35,39.15,33.28,31.6,26.43,24.27,27.9,29.36,35.82,33.75,34.01,32.33,41.03,43.66,38.46,41.47,47.1,43.09,31.48,30.9,33.4,33.16,34.94,41.55,42.29,45.19,45.09,44.42,37.97
humidity,0.73,0.76,0.78,0.84,0.82,0.78,0.8,0.8,0.79,0.82,0.81,0.86,0.81,0.74,0.58,0.78,0.77,0.83,0.82,0.82,0.82,0.82,0.8,0.8,0.76,0.77,0.82,0.69,0.61,0.59,0.48,0.42,0.45,0.47,0.61,0.59,0.6,0.54,0.65,0.72,0.6,0.73,0.74,0.68,0.55,0.49,0.62,0.55,0.49,0.57,0.51,0.57,0.63,0.63,0.78
