,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan
Lat,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628,12.8628
Long,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176,30.2176
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,81,78.61,79.89,81.87,84.23,86.15,87.46,87.05,87.47,86.44,86,87.54,89.25,88.6,89.29,93.93,96.9,93.07,86.94,83.42,79.55,85.36,88.26,93.63,95.54,95.55,92.76,91.13,91.05,87.31,89.1,92.45,91.72,86.36,83.21,87.75,94.76,97.49,95.21,93.79,95.33,97.93,99.14,100.14,101.24,100.65,102.72,103.54,104.22,107.15,103.5,88.67,88.77,94.18,96.75
apparentTemperatureHighTime,1579698960,1579785660,1579872240,1579958460,1580045580,1580131560,1580216040,1580304000,1580392020,1580473320,1580564520,1580650620,1580736900,1580823300,1580909760,1580995320,1581082380,1581166080,1581254580,1581336660,1581428760,1581514200,1581601620,1581687000,1581774300,1581856920,1581946500,1582027260,1582116360,1582201980,1582288980,1582377660,1582464000,1582544160,1582636980,1582725300,1582808580,1582895460,1582981860,1583069100,1583156580,1583241480,1583327580,1583415480,1583501340,1583583480,1583673420,1583759580,1583846880,1583933400,1584006900,1584107700,1584195780,1584280200,1584365220
apparentTemperatureLow,50.97,45.26,51.64,52.32,53.86,51.32,53.86,53.2,57.1,55.73,55.47,56.75,58.7,56.32,56.87,63.56,68.19,63.42,60.95,54,53.46,56.16,54.45,58.3,62.67,63.68,63.76,62.75,64.08,59.84,61.23,62.97,64.23,58.8,56.22,56.99,63.95,62.99,61.12,60.8,61.23,63.14,66.39,65.41,71.13,72.29,74.83,71.35,66.32,72,69.75,67.18,63.86,68.11,64.81
apparentTemperatureLowTime,1579753380,1579831200,1579917360,1580004000,1580090520,1580176620,1580263260,1580349360,1580436000,1580522460,1580608980,1580695200,1580781840,1580868000,1580954280,1581040740,1581126780,1581222240,1581308940,1581393420,1581472560,1581559260,1581645600,1581731880,1581819120,1581904800,1581991200,1582077480,1582163880,1582250280,1582336860,1582423080,1582509660,1582596420,1582682580,1582772160,1582855320,1582941660,1583027760,1583114340,1583200740,1583287140,1583373720,1583460120,1583546760,1583632980,1583720100,1583806020,1583892420,1583979120,1584075780,1584154680,1584237600,1584316800,1584410580
apparentTemperatureMax,81,78.61,79.89,81.87,84.23,86.15,87.46,87.05,87.47,86.44,86,87.54,89.25,88.6,89.29,93.93,96.9,93.07,86.94,83.42,79.55,85.36,88.26,93.63,95.54,95.55,92.76,91.13,91.05,87.31,89.1,92.45,91.72,86.36,83.21,87.75,94.76,97.49,95.21,93.79,95.33,97.93,99.14,100.14,101.24,100.65,102.72,103.54,104.22,107.15,103.5,88.67,88.77,94.18,96.75
apparentTemperatureMaxTime,1579698960,1579785660,1579872240,1579958460,1580045580,1580131560,1580216040,1580304000,1580392020,1580473320,1580564520,1580650620,1580736900,1580823300,1580909760,1580995320,1581082380,1581166080,1581254580,1581336660,1581428760,1581514200,1581601620,1581687000,1581774300,1581856920,1581946500,1582027260,1582116360,1582201980,1582288980,1582377660,1582464000,1582544160,1582636980,1582725300,1582808580,1582895460,1582981860,1583069100,1583156580,1583241480,1583327580,1583415480,1583501340,1583583480,1583673420,1583759580,1583846880,1583933400,1584006900,1584107700,1584195780,1584280200,1584365220
apparentTemperatureMin,52.31,50.97,45.26,51.64,52.32,53.86,51.32,53.86,53.2,57.1,55.73,55.47,56.75,58.7,56.32,56.87,63.56,68.19,63.42,60.95,54,53.46,56.16,54.45,58.3,62.67,63.68,63.76,62.75,64.08,59.84,61.23,62.97,64.23,58.8,56.22,56.99,63.95,62.99,61.12,60.8,61.23,63.14,66.39,65.41,71.13,72.29,74.83,71.35,66.32,72,69.75,67.18,63.86,68.11
apparentTemperatureMinTime,1579666800,1579753380,1579831200,1579917360,1580004000,1580090520,1580176620,1580263260,1580349360,1580436000,1580522460,1580608980,1580695200,1580781840,1580868000,1580954280,1581040740,1581126780,1581222240,1581308940,1581393420,1581472560,1581559260,1581645600,1581731880,1581819120,1581904800,1581991200,1582077480,1582163880,1582250280,1582336860,1582423080,1582509660,1582596420,1582682580,1582772160,1582855320,1582941660,1583027760,1583114340,1583200740,1583287140,1583373720,1583460120,1583546760,1583632980,1583720100,1583806020,1583892420,1583979120,1584075780,1584154680,1584237600,1584316800
cloudCover,0.01,0.05,0.05,0.09,0,0,0.3,0.04,0.07,0.67,0.11,0.47,0.17,0.43,0.45,0.15,0.08,0.11,0.32,0.3,0.21,0.45,0.28,0,0,0.01,0.24,0.05,0.36,0.39,0.78,0.02,0.03,0.39,0.43,0.01,0.1,0,0.05,0.1,0.09,0.27,0.21,0.15,0.06,0.09,0.26,0.31,0.07,0.55,0.56,0.81,0.76,0.3,0.44
dewPoint,15.69,9.83,10.55,12.7,19.66,24.48,14.87,17.13,14.62,25.47,20.77,16.31,17.2,9.59,9,10.6,15.04,20.23,15.3,13.49,13.63,12,11.73,18.44,22.43,35.47,31.01,27,29.25,27.58,15.58,13.9,13.15,19.24,21,12.59,16.87,20.7,8.55,8.18,9.25,7.74,2.45,8.28,19.54,15.39,12.41,7.08,5.43,17.37,43.43,41.06,28.05,22.57,12.25
