,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
Lat,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Long,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,25.83,32.33,26.55,25.55,35.24,30.71,32.39,23.24,26.95,25.18,34.38,27.42,20.65,23.81,30.71,21.99,34.2,29.38,26.79,32.34,30.22,23.74,23.97,26.29,29.56,34.24,33.06,32.7,26.31,22.45,32.01,36.08,27.06,24.99,28.41,25.11,20.76,21.16,24.31,14.32,12.33,15.69,20.53,18.41,34.6,34.67,31.55,36.45,33.34,35.83,33.58,18.86,24.59,35.2,33.68
apparentTemperatureHighTime,1579693860,1579794060,1579870380,1579966080,1580028960,1580143020,1580211840,1580317680,1580400240,1580450400,1580571420,1580640840,1580746080,1580816820,1580911200,1580968800,1581084000,1581167220,1581246000,1581332220,1581419220,1581508560,1581596580,1581677820,1581764580,1581846960,1581944460,1582030920,1582105860,1582221600,1582282620,1582372140,1582450860,1582542120,1582631700,1582723740,1582809660,1582896300,1582982400,1583068620,1583154840,1583244000,1583327760,1583431200,1583499480,1583582280,1583690400,1583759220,1583844000,1583932800,1584018600,1584093060,1584196800,1584295200,1584367200
apparentTemperatureLow,24.42,24.51,19.09,23.91,19.45,29.54,18.67,23.22,24.7,23.08,23.08,15.61,12.47,11.58,19.72,15.6,16.04,24,25.36,21.84,15.41,13.15,13.64,12.42,16.84,23,25.79,23.69,9.5,22.45,27.43,21.99,17.96,14.23,5.5,6.68,3.16,9.82,6.7,7.06,9.98,13.97,14.08,13.27,14.08,17.3,28.94,20.53,28.02,22.07,12.55,7.1,16.52,17.03,20.58
apparentTemperatureLowTime,1579755420,1579849200,1579914360,1579975560,1580073360,1580194800,1580281200,1580320800,1580454000,1580493600,1580626320,1580713200,1580779140,1580839320,1580948760,1581037980,1581137640,1581231600,1581271200,1581399780,1581481740,1581575340,1581643320,1581713520,1581800940,1581915060,1582005660,1582074660,1582166220,1582221600,1582308000,1582423380,1582504500,1582606800,1582681140,1582779660,1582866660,1582956720,1583043420,1583129040,1583182920,1583258400,1583391600,1583455560,1583557560,1583621340,1583733600,1583816520,1583883300,1583981700,1584071340,1584151440,1584220500,1584335160,1584385380
apparentTemperatureMax,25.83,32.33,28.96,27.8,35.24,30.71,32.39,25.88,26.95,27.46,34.38,27.43,22.03,23.81,30.71,22.86,34.2,29.38,29.1,32.34,30.22,23.74,23.97,26.29,29.56,34.24,33.06,32.7,26.31,24.71,32.01,36.08,27.06,24.99,28.41,25.11,20.76,21.16,24.31,15.85,12.33,15.69,20.53,18.5,34.6,34.67,33.41,36.45,33.34,35.83,33.58,19.93,24.59,35.82,33.68
apparentTemperatureMaxTime,1579693860,1579794060,1579820400,1579989600,1580028960,1580143020,1580211840,1580252400,1580400240,1580508000,1580571420,1580598000,1580684400,1580816820,1580911200,1580965800,1581084000,1581167220,1581210360,1581332220,1581419220,1581508560,1581596580,1581677820,1581764580,1581846960,1581944460,1582030920,1582105860,1582236000,1582282620,1582372140,1582450860,1582542120,1582631700,1582723740,1582809660,1582896300,1582982400,1583017200,1583154840,1583244000,1583327760,1583432700,1583499480,1583582280,1583704800,1583759220,1583844000,1583932800,1584018600,1584054000,1584196800,1584302280,1584367200
