,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
Lat,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182,46.8182
Long,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275,8.2275
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,43.81,38.33,42.55,38.95,39.09,41.4,33.66,25.64,41.11,42.58,41.6,37.77,38.7,22.03,25.32,35.73,39.08,39.26,37.88,36.32,26.24,29,31.53,37.02,45.66,43.58,43.78,32.23,26.34,42.82,38.07,47.89,45.25,51.98,41.96,17.92,26.2,33.1,31.42,40.61,33.37,32.55,35.04,31.24,26.8,31.86,40.93,30.68,33.1,45.47,45.74,33.17,34.47,43.14,47.46
apparentTemperatureHighTime,1579697760,1579777620,1579870200,1579953900,1580044020,1580127900,1580197440,1580306040,1580385480,1580468460,1580554920,1580666400,1580752800,1580796000,1580915400,1580997480,1581076620,1581163380,1581249540,1581314400,1581407760,1581515400,1581595260,1581688260,1581772620,1581851100,1581937320,1582023960,1582104600,1582205340,1582292640,1582378140,1582455780,1582549980,1582624440,1582700460,1582822920,1582898520,1582977660,1583067840,1583155140,1583241360,1583329500,1583416140,1583488080,1583586540,1583675220,1583760960,1583863200,1583934240,1584010680,1584110400,1584179580,1584278220,1584364140
apparentTemperatureLow,27.68,28.33,25.95,29.14,25.95,25.97,20.52,23.81,32.73,29.93,32.52,35.76,19.08,13.44,14.58,23.61,23.39,21.89,25.84,23.51,17.9,18.82,24.04,24.46,33.31,34.94,26.06,20.68,22.69,26.2,27.61,35.58,36.67,31.01,17.33,11.48,14.08,23.17,25.25,20.17,17.52,15.66,23.2,21.14,20.07,15.39,28.75,19.23,33.1,32.44,29.56,27.47,21.31,23.4,31.71
apparentTemperatureLowTime,1579761420,1579847220,1579930020,1580016540,1580108400,1580169180,1580267700,1580340960,1580408340,1580535720,1580613780,1580706780,1580799600,1580840100,1580937060,1581024420,1581141480,1581228180,1581271920,1581400740,1581488100,1581569940,1581660840,1581714660,1581831840,1581919200,1582007280,1582070460,1582135200,1582266300,1582327800,1582430460,1582522680,1582610400,1582697400,1582783140,1582847340,1582957320,1583003880,1583122680,1583215860,1583279700,1583346240,1583475540,1583562720,1583623740,1583692320,1583802480,1583863200,1583985960,1584082800,1584145320,1584251700,1584333480,1584419460
apparentTemperatureMax,43.81,38.33,42.55,38.95,39.09,41.4,33.66,28.5,41.11,42.58,41.6,38.25,41.15,41.52,25.32,35.73,39.08,39.26,37.88,40.24,30.65,29,31.53,37.02,45.66,43.58,43.78,32.23,27.89,42.82,38.07,47.89,45.25,51.98,41.96,26.58,26.2,33.1,31.42,40.61,33.37,32.55,35.04,31.24,28.79,31.86,40.93,32.21,36.2,45.47,45.74,38,34.47,43.14,47.46
apparentTemperatureMaxTime,1579697760,1579777620,1579870200,1579953900,1580044020,1580127900,1580197440,1580335020,1580385480,1580468460,1580554920,1580674560,1580767200,1580770800,1580915400,1580997480,1581076620,1581163380,1581249540,1581308160,1581382920,1581515400,1581595260,1581688260,1581772620,1581851100,1581937320,1582023960,1582148760,1582205340,1582292640,1582378140,1582455780,1582549980,1582624440,1582671600,1582822920,1582898520,1582977660,1583067840,1583155140,1583241360,1583329500,1583416140,1583452980,1583586540,1583675220,1583708400,1583877600,1583934240,1584010680,1584054000,1584179580,1584278220,1584364140
