,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*,Taiwan*
Lat,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7
Long,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,72.15,72.24,72.84,67.83,64.44,62.67,52.46,57.17,55.95,57.98,59.21,60.32,63.29,57.09,64.14,67.1,67.12,67.02,63.95,65.22,62.84,70,72.87,73.1,74.77,67.44,59.43,59.09,62.51,65.46,66.71,69.37,70.25,72.25,72.65,72.53,71.78,70.88,70.96,71.88,70.65,69.84,66.28,59.52,66.39,71.86,74.15,73.53,67.58,66.21,68.79,72.75,59.13,60.82,65.57
apparentTemperatureHighTime,1579665720,1579753140,1579841040,1579917960,1580015040,1580100360,1580176740,1580271600,1580359620,1580445780,1580532300,1580617260,1580705280,1580781720,1580875020,1580961420,1581047400,1581137160,1581223500,1581309960,1581396660,1581481800,1581568920,1581652440,1581742020,1581824520,1581912060,1582001040,1582086120,1582173780,1582259160,1582343760,1582433340,1582519620,1582604520,1582689120,1582775940,1582865160,1582948980,1583038020,1583124180,1583208300,1583287920,1583382960,1583467080,1583556420,1583642880,1583726400,1583816820,1583900880,1583989500,1584074760,1584159420,1584244920,1584333900
apparentTemperatureLow,52.61,48.44,53.79,54.19,46.08,45,41,39.89,31.54,31.85,37.66,41.15,43.14,45.05,42.68,47.95,48.36,43.7,43.15,46.32,50.33,51.07,52.32,53.51,52.69,51.14,42.61,39.65,42.89,43.98,45.55,50.84,50.1,51.48,51.41,51.76,51.21,50.9,49.96,50.97,49.36,50.23,53.22,49.15,51.2,53.72,53.87,55.56,52.66,51.99,54.17,57.17,50.66,43.47,47.66
apparentTemperatureLowTime,1579727580,1579813620,1579900200,1579986720,1580073060,1580160060,1580246100,1580332560,1580417700,1580504100,1580590800,1580677260,1580763540,1580849760,1580937000,1581022860,1581109500,1581195840,1581276480,1581365700,1581455100,1581541020,1581627720,1581714180,1581800760,1581897600,1581973800,1582059480,1582145700,1582232400,1582318500,1582405440,1582491540,1582577160,1582664520,1582751040,1582837380,1582923960,1583010240,1583096520,1583182800,1583269260,1583363460,1583442420,1583514420,1583614860,1583701080,1583788740,1583874540,1583960220,1584046680,1584133980,1584220500,1584305760,1584382500
apparentTemperatureMax,72.15,72.24,72.84,67.83,64.44,62.67,52.46,57.17,55.95,57.98,59.21,60.32,63.29,57.09,64.14,67.1,67.12,67.02,63.95,65.22,62.84,70,72.87,73.1,74.77,67.44,59.43,59.09,62.51,65.46,66.71,69.37,70.25,72.25,72.65,72.53,71.78,70.88,70.96,71.88,70.65,69.84,66.28,59.52,66.39,71.86,74.15,73.53,67.58,66.21,68.79,72.75,59.76,60.82,65.57
apparentTemperatureMaxTime,1579665720,1579753140,1579841040,1579917960,1580015040,1580100360,1580176740,1580271600,1580359620,1580445780,1580532300,1580617260,1580705280,1580781720,1580875020,1580961420,1581047400,1581137160,1581223500,1581309960,1581396660,1581481800,1581568920,1581652440,1581742020,1581824520,1581912060,1582001040,1582086120,1582173780,1582259160,1582343760,1582433340,1582519620,1582604520,1582689120,1582775940,1582865160,1582948980,1583038020,1583124180,1583208300,1583287920,1583382960,1583467080,1583556420,1583642880,1583726400,1583816820,1583900880,1583989500,1584074760,1584115200,1584244920,1584333900
apparentTemperatureMin,48.26,52.61,48.44,53.79,50.9,46.08,43.39,41,34.98,31.54,31.85,37.66,41.15,43.14,45.05,42.68,47.95,46.24,43.7,43.15,46.32,50.33,51.07,52.32,53.51,52.69,46.37,41.85,39.65,42.89,43.98,45.55,50.84,50.1,51.48,51.41,51.76,51.21,50.9,49.96,50.97,49.36,50.23,52.34,49.15,51.2,53.72,53.87,55.56,52.66,51.99,54.17,54.55,44.94,43.47
apparentTemperatureMinTime,1579622400,1579727580,1579813620,1579900200,1580050800,1580073060,1580223600,1580246100,1580395680,1580417700,1580504100,1580590800,1580677260,1580763540,1580849760,1580937000,1581022860,1581174000,1581195840,1581276480,1581365700,1581455100,1581541020,1581627720,1581714180,1581800760,1581951600,1582038000,1582059480,1582145700,1582232400,1582318500,1582405440,1582491540,1582577160,1582664520,1582751040,1582837380,1582923960,1583010240,1583096520,1583182800,1583269260,1583420400,1583442420,1583514420,1583614860,1583701080,1583788740,1583874540,1583960220,1584046680,1584198000,1584283500,1584305760
