,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania
Lat,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369,-6.369
Long,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888,34.8888
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,79.96,78.22,79.55,74.35,78.73,82.63,73.64,76.84,78.81,84.44,76.83,76.52,77.81,85.16,82.22,77.53,87.58,88.5,87.9,89.76,89.89,86.88,83.86,75.32,81.77,84.57,88.86,89.26,88.91,90.17,90.48,91.15,91.23,90.98,81.56,83.46,87.86,77.03,85.07,89.22,77.53,79.05,72.52,79.35,85.8,86.63,87.81,79.13,87.15,85.86,81.87,79.36,83.91,92.48,86.27
apparentTemperatureHighTime,1579691160,1579775580,1579863840,1579953360,1580043180,1580123460,1580217000,1580299800,1580389860,1580469120,1580554140,1580649060,1580731740,1580813700,1580900460,1580991000,1581081360,1581166620,1581249180,1581335400,1581417720,1581513180,1581588420,1581684600,1581764580,1581860580,1581945180,1582026660,1582116360,1582197360,1582281960,1582377180,1582459320,1582544880,1582624920,1582725720,1582797900,1582890120,1582981920,1583057220,1583153940,1583229540,1583323680,1583405460,1583492640,1583586960,1583661720,1583750220,1583846160,1583925000,1584018480,1584108000,1584194880,1584266280,1584356460
apparentTemperatureLow,67.12,66.09,67.03,66.87,67.04,65.59,64.18,63.45,61.57,65.34,64.65,65.84,64.51,66.21,64.91,63.74,65.03,63.73,64.36,64.65,67.42,65.35,65.89,63.67,64.14,63.86,66.39,65.79,66.82,65.63,66.57,67.54,68.36,66.75,65.45,64.57,66.36,64.12,65.82,66.08,66.09,65.21,63.52,64.63,65.89,65.61,65.23,66.2,66.48,66.45,67.82,66.2,64.31,66.67,66.08
apparentTemperatureLowTime,1579744440,1579830660,1579917360,1580003940,1580091300,1580176920,1580263080,1580341740,1580436300,1580522040,1580608560,1580696040,1580782380,1580868600,1580954820,1581041880,1581128400,1581214140,1581300780,1581386340,1581473340,1581559560,1581646020,1581731100,1581810660,1581904680,1581991860,1582078140,1582163700,1582249860,1582336800,1582424220,1582509240,1582596480,1582682160,1582773420,1582855140,1582935180,1583026200,1583114580,1583200980,1583286480,1583373600,1583450040,1583546640,1583625060,1583719140,1583805840,1583892780,1583979060,1584057060,1584156060,1584237720,1584323940,1584411300
apparentTemperatureMax,79.96,78.22,79.55,74.35,78.73,82.63,73.64,76.84,78.81,84.44,76.83,76.52,77.81,85.16,82.22,77.53,87.58,88.5,87.9,89.76,89.89,86.88,83.86,75.32,81.77,84.57,88.86,89.26,88.91,90.17,90.48,91.15,91.23,90.98,81.56,83.46,87.86,77.03,85.07,89.22,77.53,79.05,72.52,79.35,85.8,86.63,87.81,79.13,87.15,85.86,81.87,79.36,83.91,92.48,86.27
apparentTemperatureMaxTime,1579691160,1579775580,1579863840,1579953360,1580043180,1580123460,1580217000,1580299800,1580389860,1580469120,1580554140,1580649060,1580731740,1580813700,1580900460,1580991000,1581081360,1581166620,1581249180,1581335400,1581417720,1581513180,1581588420,1581684600,1581764580,1581860580,1581945180,1582026660,1582116360,1582197360,1582281960,1582377180,1582459320,1582544880,1582624920,1582725720,1582797900,1582890120,1582981920,1583057220,1583153940,1583229540,1583323680,1583405460,1583492640,1583586960,1583661720,1583750220,1583846160,1583925000,1584018480,1584108000,1584194880,1584266280,1584356460
